Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: KPS_NPL,Mass List Match: KPS_Psychoactive Substances_v2,Mass List Match: KPS_Pharmaceuticals_Oct22,MS2,Reference Ion,Group Area: CRH_FST1,Group Area: CRH_FST2,Group Area: CRH_FST3,Group Area: CRH_FST4,Group Area: CRH_FST5,Group Area: CRH_INLET,Group Area: LANDFILL_EG_0_3Y,Group Area: LANDFILL_EG_3_10Y,Group Area: LANDFILL_EG_Y104,Group Area: LANDFILL_OP_Y104,Group Area: LYSIMETER_CONTROL_EG_140622,Group Area: LYSIMETER_CONTROL_EG_171221,Group Area: LYSIMETER_CONTROL_EG_250122,Group Area: LYSIMETER_CONTROL_OP_140622,Group Area: LYSIMETER_CONTROL_OP_171221,Group Area: LYSIMETER_CONTROL_OP_260122,Group Area: LYSIMETER_EG_0_3Y_14062022,Group Area: LYSIMETER_EG_03Y_171221,Group Area: LYSIMETER_EG_03Y_250122,Group Area: LYSIMETER_EG_3_10Y__171221,Group Area: LYSIMETER_EG_104_171221,Group Area: LYSIMETER_EG3_104_140622,Group Area: LYSIMETER_EG3_104_250122,Group Area: LYSIMETER_EG3_104_250122_20221003231510,Group Area: LYSIMETER_EG104_140622,Group Area: LYSIMETER_OP_0_3Y_171221,Group Area: LYSIMETER_OP_0_3Y_250122,Group Area: LYSIMETER_OP_3_10Y_171221,Group Area: LYSIMETER_OP_3_10Y_250122,Group Area: LYSIMETER_OP_10Y_140622,Group Area: LYSIMETER_OP_10Y_171222,Group Area: LYSIMETER_OP_7104_250122,Group Area: LYSIMETER_OP0_34_140622,Group Area: LYSIMETER_OP3_104_140622,Group Area: Thailand_sample_1,Group Area: Thailand_sample_2,Group Area: Thailand_sample_3,Group Area: Thailand_sample_4,Group Area: Thailand_sample_5,Group Area: Thailand_sample_6,Group Area: Thailand_sample_7,Group Area: Thailand_sample_8,Peak Rating: BLANK_2.raw (F1),Peak Rating: BLANK_3.raw (F2),Peak Rating: BLANK_4.raw (F3),Peak Rating: BLANK_5.raw (F4),Peak Rating: Blank_6.raw (F5),Peak Rating: BLANK1.raw (F6),Peak Rating: CRH_FST1.raw (F7),Peak Rating: CRH_FST2.raw (F8),Peak Rating: CRH_FST3.raw (F9),Peak Rating: CRH_FST4.raw (F10),Peak Rating: CRH_FST5.raw (F11),Peak Rating: CRH_INLET.raw (F12),Peak Rating: LANDFILL_EG_0_3Y.raw (F13),Peak Rating: LANDFILL_EG_3_10Y.raw (F14),Peak Rating: LANDFILL_EG_Y104.raw (F15),Peak Rating: LANDFILL_OP_Y104.raw (F16),Peak Rating: LYSIMETER_CONTROL_EG_140622.raw (F17),Peak Rating: LYSIMETER_CONTROL_EG_171221.raw (F18),Peak Rating: LYSIMETER_CONTROL_EG_250122.raw (F19),Peak Rating: LYSIMETER_CONTROL_OP_140622.raw (F20),Peak Rating: LYSIMETER_CONTROL_OP_171221.raw (F21),Peak Rating: LYSIMETER_CONTROL_OP_260122.raw (F22),Peak Rating: LYSIMETER_EG_0_3Y_14062022.raw (F23),Peak Rating: LYSIMETER_EG_03Y_171221.raw (F24),Peak Rating: LYSIMETER_EG_03Y_250122.raw (F25),Peak Rating: LYSIMETER_EG_3_10Y__171221.raw (F26),Peak Rating: LYSIMETER_EG_104_171221.raw (F27),Peak Rating: LYSIMETER_EG3_104_140622.raw (F28),Peak Rating: LYSIMETER_EG3_104_250122.raw (F29),Peak Rating: LYSIMETER_EG3_104_250122_20221003231510.raw (F30),Peak Rating: LYSIMETER_EG104_140622.raw (F31),Peak Rating: LYSIMETER_OP_0_3Y_171221.raw (F32),Peak Rating: LYSIMETER_OP_0_3Y_250122.raw (F33),Peak Rating: LYSIMETER_OP_3_10Y_171221.raw (F34),Peak Rating: LYSIMETER_OP_3_10Y_250122.raw (F35),Peak Rating: LYSIMETER_OP_10Y_140622.raw (F36),Peak Rating: LYSIMETER_OP_10Y_171222.raw (F37),Peak Rating: LYSIMETER_OP_7104_250122.raw (F38),Peak Rating: LYSIMETER_OP0_34_140622.raw (F39),Peak Rating: LYSIMETER_OP3_104_140622.raw (F40),Peak Rating: QC_1.raw (F41),Peak Rating: QC_2.raw (F42),Peak Rating: QC_3.raw (F43),Peak Rating: QC_4.raw (F44),Peak Rating: QC_5.raw (F45),Peak Rating: QC_6.raw (F46),Peak Rating: QC_7.raw (F47),Peak Rating: QC_8.raw (F48),Peak Rating: QC_9.raw (F49),Peak Rating: QC_10.raw (F50),Peak Rating: QC_11.raw (F51),Peak Rating: QC_12.raw (F52),Peak Rating: QC_13.raw (F53),Peak Rating: QC_14.raw (F54),Peak Rating: QC_15.raw (F55),Peak Rating: Thailand_sample_1.raw (F56),Peak Rating: Thailand_sample_2.raw (F57),Peak Rating: Thailand_sample_3.raw (F58),Peak Rating: Thailand_sample_4.raw (F59),Peak Rating: Thailand_sample_5.raw (F60),Peak Rating: Thailand_sample_6.raw (F61),Peak Rating: Thailand_sample_7.raw (F62),Peak Rating: Thailand_sample_8.raw (F63)
,FALSE,PEG n7,C14 H30 O8,Full match,Full match,No results,-0.34,326.19396,327.20133,8.593,223370241.2,1,89,55.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,223370241.2,,,,11085961.17,,,,,,,,,,,,,,49042.75894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,10,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,,,3.6,,
,FALSE,PEG n7,C14 H30 O8,Full match,Full match,No results,-0.48,326.19391,327.20131,8.207,222501716.8,1,89.7,82.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,1069639.656,2429577.057,,140264368.2,,,,,,,,,,,,,,,,18092866.79,,,,,,,,,151505.9232,290216.8746,,,,,,,,,,,,,,,,,,,8.9,8.9,,10,,,,,,,,,,,,,,,,7.3,,,,,,,,,,10,,,,,,,,,,8.9,,8.9,,8.6,8.6,,,,,,
,FALSE,PEG n7,C14 H30 O8,Full match,Full match,No results,-0.52,326.1939,327.20128,8.826,175503585.3,1,88.6,81.4,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,9948928.157,,,,,,,,,,,,,,,,,,,89240.24694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,8.9,8.9,10,,8.9,,7.3,,,,,,,,4.5,,,,,,
,FALSE,Tetradecyl Sulfuric Acid,C14 H30 O4 S,Not the top hit,Invalid mass,Full match,2.63,294.18725,295.19453,22.111,153158032.2,1,69.4,8.5,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,153158032.2,,,,39749236.56,,,80482395.28,44281770.02,60839797.7,33304745.53,,81195632.81,,44300033.46,26671472.21,35153737.4,114419361.3,45435803.48,58340097.29,,29796856.87,29178258.95,31231019.47,31407562.36,28839575.65,,38066608.2,,30388761.87,,94337155.74,,,69271890.54,,,,,,,,8.9,7.3,,,,,7.3,,,,6.7,,,7.3,8.9,7.3,8.9,,8.9,,8.9,10,10,6.7,8.9,10,,10,10,10,10,8.9,,10,,8.9,,7.3,,,3.5,10,10,10,7.3,8.9,10,10,7.3,5.7,,,,,,8.9,,,,,,,
,FALSE,"2,5-Anhydro-6-{[(4-chlorophenyl)sulfonyl]amino}-4,6-dideoxy-4-[4-(2-methoxyphenyl)-1-piperazinyl]-D-galactitol",C23 H30 Cl N3 O6 S,No match,Full match,No results,-1.67,511.15353,512.16081,16.927,147402078.8,1,76.7,8.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,147402078.8,,,,93051564.13,,,101499634.5,,,,,,,,,,,,,,,,,,127301368.7,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,6.7,,,6.7,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,7.3,,,,,,7.3,,,,,,,,,
,FALSE,"2,5-Anhydro-6-{[(4-chlorophenyl)sulfonyl]amino}-4,6-dideoxy-4-[4-(2-methoxyphenyl)-1-piperazinyl]-D-galactitol",C23 H30 Cl N3 O6 S,No match,Full match,No results,-1.7,511.15351,512.16079,17.125,133889580.9,1,78.6,8.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,133889580.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,
,FALSE,PEG n14,C28 H58 O15,No match,Full match,No results,-0.36,634.37734,652.41115,9.997,131253248.5,2,89.2,81.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+NH4]+1,,,,,,,,,,,,,,,,,,,,,,,131253248.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,
,FALSE,Paraldehyde,C6 H12 O3,Full match,No results,Full match,0.63,132.07873,133.086,7.965,129867724.6,0,,,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,,,,80792.22558,,405713.4593,113319940.8,,,,110608722,,129867724.6,67169788.93,,,,,,103263321.5,128980394.1,63705367.44,108748096.3,,126463201.6,87879635.84,,115698628.2,3758885.379,,124762726.2,,,,1453732.784,56304.95005,,117262.8762,,172865.1846,,,,,,,,,,,,2.8,,5.7,7.3,,,,7.3,,7.3,7.3,,,,,,7.3,7.3,7.3,7.3,,7.3,7.3,,7.3,8.9,,7.3,,,,,,,,,,,,,,,,,,,10,5.8,,9.3,,9.7
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.59,370.22006,388.254,9.234,127656567.2,2,92.7,79.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+NH4]+1,,,,,,,,,,,,,,738093.509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,10,,8.9,,,,,,,,,,,,,,,,,,
,FALSE,"[(2R,2'S,4'aS,5'R,5''S,6'R,8'aS)-2'-(acetyloxy)-5''-(furan-3-yl)-6'-methyl-2'',8'-dioxo-octahydrodispiro[oxirane-2,1'-naphthalene-5',3''-oxolane]-8'a-yl]methyl acetate",C24 H28 O9,Not the top hit,Full match,No results,-0.05,460.17331,483.16249,15.159,122600098.2,4,71.6,8.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+Na]+1,,,8045253.307,6893423.224,,9159980.495,,,,,,,,,,,,,,,,,,,,,,,,,,14988470.02,,,,,,,119549558.4,122600098.2,,115770878.5,,,,,,,,,10,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,7.3,7.3,,7.3
,FALSE,PEG n12,C24 H50 O13,No match,Full match,No results,-0.27,546.32499,569.31386,9.916,110020064.5,2,86,79.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+Na]+1,,,,,,,,,1063588.861,,,,,,,,,,,,,,,,,,,,,,496219.2784,,,,,,12445.27149,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,7.3,,,,,,,,,,,,,7.6,,,,,
,FALSE,Paraldehyde,C6 H12 O3,Full match,No results,Full match,0.64,132.07873,133.08601,7.811,108658479.7,0,,,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,95354410.07,62244.47492,,89697910.59,,,60426830.65,,85685057.43,133283.467,,,,,42661.428,16839862.62,,,,,,,,108658479.7,,,,,85983.97014,,,,,,,,,,,,,,,,,,,,7.3,5.2,,7.3,,,7.3,,7.3,6.1,,,,,5.8,10,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,5.5,,,
,FALSE,PEG n13,C26 H54 O14,No match,Full match,No results,-0.03,590.35134,591.35889,10.031,104924227.7,1,90.5,82.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,559531.1724,,,,,,,,955229.7524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,10,,,,,,,,,,,,,10,,7.3,10,,10,,,,,,,,,,,,,
,FALSE,PEG n14,C28 H58 O15,No match,Full match,No results,-0.33,634.37736,652.41121,9.981,100868316.8,1,89,81.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+NH4]+1,,,,,,,,,,,,,,,,,,,,,,100868316.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,10,10,,,,,,,,,
,FALSE,"2,5-Anhydro-6-{[(4-chlorophenyl)sulfonyl]amino}-4,6-dideoxy-4-[4-(2-methoxyphenyl)-1-piperazinyl]-D-galactitol",C23 H30 Cl N3 O6 S,No match,Full match,No results,-1.59,511.15357,512.16085,17.368,99296352.14,1,76,8.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,,,99296352.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
,FALSE,PEG n14,C28 H58 O15,No match,Full match,No results,-0.45,634.37729,635.38483,10.132,97313459.89,1,86.5,79.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,502666.4969,,97313459.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,PEG n14,C28 H58 O15,No match,Full match,No results,-0.4,634.37732,635.38485,10.182,96960699.38,2,86.1,70.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,224704.7891,,,,,,,,,,,,,319474.5293,,,,96960699.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,9.7,,,,10,,,,,,,,,7.3,,10,10,10,10,,,,,,,,,,,,,
,FALSE,PEG n14,C28 H58 O15,No match,Full match,No results,-0.37,634.37733,635.38491,9.916,94011638.8,1,90.2,82.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,216267.6175,,,,24541902.52,75806451.22,,,68511947.94,,,42968647.38,,,,,,,,,54047902.55,,,,,22208.64273,,,94011638.8,1140493.888,1181593.633,,,,711148.5343,,,,,,,,,,,,,,9.7,,,,10,10,,,10,,,10,,,,,,,,,10,,,,,7.1,,,10,,,,,,,,,,,,,,,,9.5,10,,,,9.5,,
,FALSE,Furoylleucin,C11 H15 N O4,Full match,Not the top hit,Full match,0.37,225.10019,226.10747,7.915,92952390.8,2,81.7,9.1,No matches found,No matches found,Multiple matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,64557.10364,,,,332416.5271,,,,,,,,,,,,,,,,,,,,,,,92952390.8,,,,,,,,,,,,,,,,,,,,,6.3,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7.3,3.5,1,,,,,,,7.3,
