"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
1179,"(+-)-alminoprofen_7.213","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc016_2",682250.007919269,7.2,"2","sc016","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen_4.64","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc020_1",3375367.2590001,5.7,"1","sc020","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen_7.213","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc023_1",3633992.05578108,6.2,"1","sc023","kps_pharmaceuticals_oct22","Single match found"
3529,"(+/-)-3,4-(Methylenedioxy)amphetamine_14.005","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.32,179.09469,180.10196,14.005,2700607.39017756,3,81.1,50.7,"DDA for preferred ion","[M+H]+1","sc007_1",2700607.39017756,5.7,"1","sc007","itn_kps","Single match found"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.217","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.32,179.09469,180.10197,2.217,4450756.12295063,3,91.6,61.7,"DDA for preferred ion","[M+H]+1","sc009_1",4216760.08550982,5.7,"1","sc009","itn_kps","Single match found"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.217","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.32,179.09469,180.10197,2.217,4450756.12295063,3,91.6,61.7,"DDA for preferred ion","[M+H]+1","sc014_2",2854980.66148447,5.1,"2","sc014","itn_kps","Single match found"
1163,"(+/-)-3,4-(Methylenedioxy)amphetamine_4.416","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.36,179.09469,180.10197,4.416,7627839.5951919,2,70,44.2,"DDA for preferred ion","[M+H]+1","sc015_2",6389527.6833987,5.1,"2","sc015","itn_kps","Single match found"
6785,"(-)-Ifosfamide_8.03","(-)-Ifosfamide","C7 H15 Cl2 N2 O2 P","No match","Not the top hit","Full match",-0.47,260.0247,261.03198,8.03,1136146.68434978,4,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc016_1",273961.357441913,6.8,"1","sc016","kps_pharmaceuticals_oct22","Single match found"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_19.459","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,19.459,22069841.0805852,3,72.4,8.6,"DDA for preferred ion","[M+H]+1","sc001_1",618469.698773351,7.7,"1","sc001","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc002_1",754906.990680159,5.3,"1","sc002","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc005_1",964771.556474316,6.4,"1","sc005","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc008_1",2276728.35624669,8.4,"1","sc008","mz_cloud","No matches found"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_19.459","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,19.459,22069841.0805852,3,72.4,8.6,"DDA for preferred ion","[M+H]+1","sc010_2",1434034.86212866,7,"2","sc010","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc011_1",2414907.34259206,7.8,"1","sc011","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc012_1",1673874.40797325,7.8,"1","sc012","mz_cloud","No matches found"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_19.459","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,19.459,22069841.0805852,3,72.4,8.6,"DDA for preferred ion","[M+H]+1","sc013_2",453718.404149856,6.6,"2","sc013","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc014_1",6662330.57260567,6.7,"1","sc014","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc015_1",1822666.26018587,5.7,"1","sc015","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","sc016_1",1328108.68755854,5.9,"1","sc016","mz_cloud","No matches found"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_19.459","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,19.459,22069841.0805852,3,72.4,8.6,"DDA for preferred ion","[M+H]+1","sc017_1",254204.584211755,6.8,"1","sc017","mz_cloud","No matches found"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_19.459","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,19.459,22069841.0805852,3,72.4,8.6,"DDA for preferred ion","[M+H]+1","sc018_2",864378.249184736,5.3,"2","sc018","mz_cloud","No matches found"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_19.459","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,19.459,22069841.0805852,3,72.4,8.6,"DDA for preferred ion","[M+H]+1","sc020_1",4509737.96256554,5.1,"1","sc020","mz_cloud","No matches found"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_19.459","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,19.459,22069841.0805852,3,72.4,8.6,"DDA for preferred ion","[M+H]+1","sc023_1",4324141.42591958,5.7,"1","sc023","mz_cloud","No matches found"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one_20.009","(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3","No match","Full match","No results",2.37,418.17026,419.17754,20.009,17089356.4004251,1,62.1,8.1,"DDA for preferred ion","[M+H]+1","solution_x2",134605.508900632,6.5,"2","solution","mz_cloud","No matches found"
1831,"(1S,2S,4aR,7R,8aR)-1-[(3Z)-5-hydroxy-3-methylpent-3-en-1-yl]-2,5,5,8a-tetramethyl-decahydronaphthalene-2,7-diol_20.163","(1S,2S,4aR,7R,8aR)-1-[(3Z)-5-hydroxy-3-methylpent-3-en-1-yl]-2,5,5,8a-tetramethyl-decahydronaphthalene-2,7-diol","C20 H36 O3","Full match","Full match","No results",0.08,324.26647,347.25569,20.163,5086807.64598585,4,99.3,10,"DDA for preferred ion","[M+Na]+1","sc008_1",5086807.64598585,8.4,"1","sc008","mz_cloud","No matches found"
1902,"(2-Nitro-1-propenyl)benzene_7.933","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.21,163.06336,164.07064,7.933,4963925.30407342,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_1",2783923.57763158,6.2,"1","sc003","itn_cyp_metabolites","Single match found"
1902,"(2-Nitro-1-propenyl)benzene_7.933","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.21,163.06336,164.07064,7.933,4963925.30407342,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc004_1",2757537.54296586,7.3,"1","sc004","itn_cyp_metabolites","Single match found"
1902,"(2-Nitro-1-propenyl)benzene_7.933","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.21,163.06336,164.07064,7.933,4963925.30407342,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",3951082.92068736,9.5,"1","sc007","itn_cyp_metabolites","Single match found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",267748.835367732,6.8,"1","sc008","itn_cyp_metabolites","Single match found"
1015,"(2-Nitro-1-propenyl)benzene_5.86","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.2,163.06336,164.07064,5.86,8570959.40624703,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",8304677.0270453,8.4,"1","sc009","itn_cyp_metabolites","Single match found"
1015,"(2-Nitro-1-propenyl)benzene_5.86","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.2,163.06336,164.07064,5.86,8570959.40624703,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc015_2",442266.002039085,6.6,"2","sc015","itn_cyp_metabolites","Single match found"
1902,"(2-Nitro-1-propenyl)benzene_7.933","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.21,163.06336,164.07064,7.933,4963925.30407342,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc020_1",1143057.87567194,5.9,"1","sc020","itn_cyp_metabolites","Single match found"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid_13.959","(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4","No match","Full match","No results",0.26,425.23157,426.23884,13.959,2987830.0633961,1,83.1,66,"DDA for preferred ion","[M+H]+1","sc003_1",2362158.7749977,6.2,"1","sc003","mz_cloud","No matches found"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid_13.959","(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4","No match","Full match","No results",0.26,425.23157,426.23884,13.959,2987830.0633961,1,83.1,66,"DDA for preferred ion","[M+H]+1","sc004_1",2883275.75256597,6.7,"1","sc004","mz_cloud","No matches found"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid_13.959","(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4","No match","Full match","No results",0.26,425.23157,426.23884,13.959,2987830.0633961,1,83.1,66,"DDA for preferred ion","[M+H]+1","sc007_1",2739580.94883382,7.8,"1","sc007","mz_cloud","No matches found"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid_13.959","(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4","No match","Full match","No results",0.26,425.23157,426.23884,13.959,2987830.0633961,1,83.1,66,"DDA for preferred ion","[M+H]+1","sc020_2",955733.720059454,7.5,"2","sc020","mz_cloud","No matches found"
2067,"(2E)-5-hydroxy-N-[3-(5-{3-[(2E)-5-hydroxy-3-methylpent-2-enamido]propyl}-3,6-dioxopiperazin-2-yl)propyl]-3-methylpent-2-enamide_13.948","(2E)-5-hydroxy-N-[3-(5-{3-[(2E)-5-hydroxy-3-methylpent-2-enamido]propyl}-3,6-dioxopiperazin-2-yl)propyl]-3-methylpent-2-enamide","C22 H36 N4 O6","Not the top hit","Full match","No results",-3,452.26213,475.25132,13.948,4596480.91719899,2,95,9.8,"DDA for preferred ion","[M+Na]+1","sc020_1",3436079.08790692,5.1,"1","sc020","mz_cloud","No matches found"
3363,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide_7.489","(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O","Full match","Full match","No results",0.51,223.19373,224.201,7.489,2833137.21917058,1,90.8,58.7,"DDA for preferred ion","[M+H]+1","sc003_1",2393501.24585806,8.4,"1","sc003","mz_cloud","No matches found"
3363,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide_7.489","(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O","Full match","Full match","No results",0.51,223.19373,224.201,7.489,2833137.21917058,1,90.8,58.7,"DDA for preferred ion","[M+H]+1","sc004_1",2688395.36488621,5.7,"1","sc004","mz_cloud","No matches found"
5410,"(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol_20.13","(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol","C20 H38 O2","Full match","Full match","No results",0.38,310.2873,333.27652,20.13,1644381.12131907,3,96.8,9.8,"DDA for preferred ion","[M+Na]+1","sc010_1",1620118.77595377,7.3,"1","sc010","mz_cloud","No matches found"
5410,"(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol_20.13","(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol","C20 H38 O2","Full match","Full match","No results",0.38,310.2873,333.27652,20.13,1644381.12131907,3,96.8,9.8,"DDA for preferred ion","[M+Na]+1","sc014_1",1394947.66514915,7.5,"1","sc014","mz_cloud","No matches found"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide_19.274","(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3","No match","Full match","No results",-3.05,392.27754,415.26675,19.274,3825410.78803066,1,74.6,8.7,"DDA for preferred ion","[M+Na]+1","sc003_2",1240934.08213243,5.9,"2","sc003","mz_cloud","No matches found"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide_19.274","(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3","No match","Full match","No results",-3.05,392.27754,415.26675,19.274,3825410.78803066,1,74.6,8.7,"DDA for preferred ion","[M+Na]+1","sc004_1",1353210.49330234,6.4,"1","sc004","mz_cloud","No matches found"
