"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc002"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc003"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc004"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc005"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc007"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc008"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc009"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc010"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc015"
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"sc020"
9429,"(4aR,7aS)-6-Isobutyl-4-(4-pyridinylmethyl)hexahydropyrrolo[3,4-b][1,4]oxazin-3(2H)-one","C16 H23 N3 O2",0.7,289.17923,290.18651,7.277,"sc008"
918,"(4aS,9aR)-2-Benzoyl-7-[2-(1H-imidazol-4-yl)ethyl]decahydro-6H-pyrido[3,4-d]azepin-6-one","C21 H26 N4 O2",-3.55,366.20428,389.19351,17.585,"sc020"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",3.6,374.12262,375.1299,9.574,"sc003"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",3.6,374.12262,375.1299,9.574,"sc004"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",3.6,374.12262,375.1299,9.574,"sc007"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",3.6,374.12262,375.1299,9.574,"sc016"
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",3.6,374.12262,375.1299,9.574,"sc020"
8068,"(7E,13E)-11,12-Dihydroxy-3-isobutyl-4,5,8-trimethyl-3,3a,4,6a,9,10,11,12-octahydro-1H-cycloundeca[d]isoindole-1,15(2H)-dione","C24 H35 N O4",0.29,401.25672,402.26396,19.047,"sc013"
736,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",0.4,260.10496,261.11224,10.546,"qc15x"
736,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",0.4,260.10496,261.11224,10.546,"sc009"
7776,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",0.66,260.10503,261.11231,16.86,"sc010"
8423,"(R)-Dipivefrine","C19 H29 N O5",0.36,351.2047,352.21198,5.53,"sc011"
4858,"(R)-Praziquantel","C19 H24 N2 O2",0.54,312.18395,313.19122,16.067,"sc003"
4858,"(R)-Praziquantel","C19 H24 N2 O2",0.54,312.18395,313.19122,16.067,"sc004"
4858,"(R)-Praziquantel","C19 H24 N2 O2",0.54,312.18395,313.19122,16.067,"sc016"
3632,"(S)-(-)-Cathinone","C9 H11 N O",0.58,149.08415,150.09143,12.441,"sc007"
4072,"(S)-(-)-Cathinone","C9 H11 N O",0.59,149.08415,150.09143,2.409,"sc009"
5084,"(S)-(-)-Cathinone","C9 H11 N O",0.47,149.08413,150.09141,11.722,"sc010"
4072,"(S)-(-)-Cathinone","C9 H11 N O",0.59,149.08415,150.09143,2.409,"sc015"
5084,"(S)-(-)-Cathinone","C9 H11 N O",0.47,149.08413,150.09141,11.722,"sc018"
1416,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.45,248.15259,249.15987,8.831,"qc15x"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"sc001"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc002"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc003"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc004"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"sc005"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc007"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc008"
1416,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.45,248.15259,249.15987,8.831,"sc009"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"sc010"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"sc011"
1416,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.45,248.15259,249.15987,8.831,"sc012"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"sc013"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc014"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc015"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc016"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"sc017"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"sc018"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc020"
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"sc023"
1239,"(S)-Rolipram","C16 H21 N O3",0.24,275.15221,276.15949,8.754,"sc014"
1239,"(S)-Rolipram","C16 H21 N O3",0.24,275.15221,276.15949,8.754,"sc015"
1239,"(S)-Rolipram","C16 H21 N O3",0.24,275.15221,276.15949,8.754,"sc023"
7731,"(S)-Warfarin","C19 H16 O4",-1.97,308.10425,331.09346,5.214,"sc005"
5971,"(Z)-Hexadec-9-enoic acid","C16 H30 O2",0.39,254.22468,255.23196,20.666,"sc007"
5133,"(±)-Abscisic acid","C15 H20 O4",0.36,264.13625,265.14353,18.784,"sc001"
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"sc004"
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"sc007"
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"sc008"
5133,"(±)-Abscisic acid","C15 H20 O4",0.36,264.13625,265.14353,18.784,"sc010"
5133,"(±)-Abscisic acid","C15 H20 O4",0.36,264.13625,265.14353,18.784,"sc011"
5133,"(±)-Abscisic acid","C15 H20 O4",0.36,264.13625,265.14353,18.784,"sc013"
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"sc014"
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"sc015"
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"sc016"
2949,"(±)-Abscisic acid","C15 H20 O4",0.31,264.13624,265.14352,17.161,"sc020"
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"sc023"
8568,"1,10-Phenanthroline","C12 H8 N2",0.4,180.06882,181.0761,8.701,"sc007"
5419,"1,10-Phenanthroline","C12 H8 N2",0.37,180.06881,181.07609,8.161,"sc014"
5419,"1,10-Phenanthroline","C12 H8 N2",0.37,180.06881,181.07609,8.161,"sc015"
5419,"1,10-Phenanthroline","C12 H8 N2",0.37,180.06881,181.07609,8.161,"sc016"
3386,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.4,239.18863,240.1959,10.336,"sc003"
3386,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.4,239.18863,240.1959,10.336,"sc004"
2069,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.43,239.18863,240.19591,10.943,"sc014"
2069,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.43,239.18863,240.19591,10.943,"sc015"
6418,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.36,239.18862,240.19589,7.649,"sc016"
2069,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.43,239.18863,240.19591,10.943,"sc023"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",0.09,200.09498,201.10226,9.393,"sc003"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",0.09,200.09498,201.10226,9.393,"sc004"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",0.09,200.09498,201.10226,9.393,"sc007"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",0.09,200.09498,201.10226,9.393,"sc016"
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",0.09,200.09498,201.10226,9.393,"sc020"
782,"1,2-Benzodiazepine","C9 H8 N2",0.63,144.06884,145.07612,9.908,"sc007"
5528,"1,3,4,10-Tetrahydro-9(2H)-acridinone","C13 H13 N O",0.15,199.09974,200.10702,7.763,"sc007"
8106,"1,3,8-trimethyl-5-morpholino-1,2,3,4,7,8-hexahydropyrido[2,3-d]pyrimidine-2,4,7-trione","C14 H18 N4 O4",0.96,306.1331,307.14038,9.141,"sc004"
8106,"1,3,8-trimethyl-5-morpholino-1,2,3,4,7,8-hexahydropyrido[2,3-d]pyrimidine-2,4,7-trione","C14 H18 N4 O4",0.96,306.1331,307.14038,9.141,"sc007"
3325,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.02,201.11536,202.12264,16.145,"sc003"
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.04,201.11536,202.12263,9.476,"sc004"
3325,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.02,201.11536,202.12264,16.145,"sc008"
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.04,201.11536,202.12263,9.476,"sc014"
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.04,201.11536,202.12263,9.476,"sc015"
2158,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",0.09,201.11538,202.12266,7.467,"sc020"
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.04,201.11536,202.12263,9.476,"sc023"
5983,"1,3-Dimethylbutylamine","C6 H15 N",1.97,101.12065,102.12793,1.336,"sc001"
5983,"1,3-Dimethylbutylamine","C6 H15 N",1.97,101.12065,102.12793,1.336,"sc002"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc003"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc004"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc005"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc007"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc009"
5983,"1,3-Dimethylbutylamine","C6 H15 N",1.97,101.12065,102.12793,1.336,"sc010"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc011"
5983,"1,3-Dimethylbutylamine","C6 H15 N",1.97,101.12065,102.12793,1.336,"sc012"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc013"
5983,"1,3-Dimethylbutylamine","C6 H15 N",1.97,101.12065,102.12793,1.336,"sc017"
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"sc018"
2915,"1,3-Dimethylbutylamine","C6 H15 N",1.98,101.12065,102.12793,2.122,"sc020"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.72,138.07941,139.08669,4.424,"sc002"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.72,138.07941,139.08669,4.424,"sc004"
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.72,138.07941,139.08669,4.424,"sc009"
5957,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.71,138.07941,139.08669,7.888,"sc013"
