"peak_number","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample_location","group_area","peak_rating","mass_list_name","mass_list_match"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_1",577725.448135938,8.6,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_2",1242008.60279742,8,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_3",5657757.85638073,7.3,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_6",353526.97115091,8.3,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_8",1803875.74161115,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",247513428.603917,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_op_y104",96441604.6794547,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",193553642.799142,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",243378338.654534,7.8,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",181604419.423001,9.5,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",291999252.057612,7.8,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",149664851.655094,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",131335056.552262,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",194852684.177725,7.8,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",216655731.451106,8.9,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",276939464.054982,7.8,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",136731152.389604,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg104_140622",232158340.118424,8.9,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",152825714.59363,9.5,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",281436426.273525,7.8,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",189414952.417911,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",258144357.221671,8.9,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",34316476.0589914,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",276264161.637991,8.9,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op3_104_140622",231454218.99786,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_1",1189872.75659619,7.5,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_2",3666795.29644707,7.8,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_3",11185364.1084025,8.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_4",128540.773471602,7.4,"kps_pharmaceuticals_oct22","Single match found"
14,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.62,132.07873,133.08601,9.553,291999252.057612,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_6",749612.433101403,7.5,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",216434240.330687,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_op_y104",92072579.5183639,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",176731674.860277,9.5,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",217063077.482655,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",163391729.658141,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",264698154.3199,7.8,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",140235277.588695,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",121520178.225814,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",175212549.733123,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_3_10y_171221",644129.153570783,5.3,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",197778050.537617,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",248735533.396563,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",127876694.305991,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg104_140622",212205881.459999,9.5,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",140117937.480525,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",244141212.927355,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",167977305.367357,9.5,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",232184536.956718,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",38465772.1415192,9.5,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",254415401.149374,8.9,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op3_104_140622",213162464.879113,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_1",1496746.91455162,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_2",3349400.52654932,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_3",13830114.8343184,8.4,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_6",902799.804095818,8,"kps_pharmaceuticals_oct22","Single match found"
16,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.55,132.07872,133.08599,8.985,264698154.3199,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_8",1466032.82938697,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",188113265.951144,8.9,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_op_y104",66477182.8554632,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",149264490.510869,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",187432543.994776,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",129662270.40421,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",232523567.081108,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",106888953.221072,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",95590133.6953803,9.5,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",143712546.275376,9.5,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",163277886.48286,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",213937617.38943,8.9,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",98709076.6927052,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg104_140622",166982145.821628,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",105681299.332116,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",212266658.036691,8.9,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",142622960.294321,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",198124394.525381,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",22312354.4035165,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",220528042.999802,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op3_104_140622",182479891.762813,8.9,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_1",768151.617512534,7,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_2",2049148.57959847,7.8,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_3",6511895.12786811,8.4,"kps_pharmaceuticals_oct22","Single match found"
17,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.64,132.07873,133.08601,10.047,232523567.081108,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_6",398168.941545471,8.3,"kps_pharmaceuticals_oct22","Single match found"
19,"Paraldehyde","C6 H12 O3","Full match","No results","Full match",0.65,132.07873,133.08601,8.339,222831596.716863,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",188608171.109187,8.4,"kps_pharmaceuticals_oct22","Single match found"
