"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","mass_list_name","mass_list_match"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",417410.909548412,7.2,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",848325.825597797,8,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_op_7104_250122",398264.571174946,7.7,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","thailand_sample_1",387932.252428894,7.2,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","thailand_sample_2",597915.894712112,7.5,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","thailand_sample_3",986032.434873436,8.6,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","thailand_sample_4",383181.314241456,8.3,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","thailand_sample_5",424262.629357283,7.2,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","thailand_sample_6",453340.053091869,7.7,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","thailand_sample_8",785616.338289287,8.6,"kps_psychoactive_substances_v2","Multiple matches found"
312,"Flurazepam_1.871","Flurazepam","C21 H23 Cl F N3 O","No match","Invalid mass","Full match",4.03,387.15293,388.1602,1.871,19049293.6974957,1,67.3,47.6,"DDA for preferred ion","[M+H]+1","thailand_sample_7",19049293.6974957,5.7,"kps_psychoactive_substances_v2","Single match found"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.235","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.19,179.09466,180.10194,2.235,18102333.3079857,2,90.4,57.4,"DDA for preferred ion","[M+H]+1","landfill_op_y104",5931114.90996706,5.7,"kps_psychoactive_substances_v2","Multiple matches found"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.235","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.19,179.09466,180.10194,2.235,18102333.3079857,2,90.4,57.4,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",1573486.71615114,5.1,"kps_psychoactive_substances_v2","Multiple matches found"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.235","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.19,179.09466,180.10194,2.235,18102333.3079857,2,90.4,57.4,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",3009199.34822645,5.1,"kps_psychoactive_substances_v2","Multiple matches found"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.235","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.19,179.09466,180.10194,2.235,18102333.3079857,2,90.4,57.4,"DDA for preferred ion","[M+H]+1","thailand_sample_7",18102333.3079857,7.3,"kps_psychoactive_substances_v2","Multiple matches found"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.235","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.19,179.09466,180.10194,2.235,18102333.3079857,2,90.4,57.4,"DDA for preferred ion","[M+H]+1","thailand_sample_8",17183059.073914,6.7,"kps_psychoactive_substances_v2","Multiple matches found"
406,"Amobarbital_8.004","Amobarbital","C11 H18 N2 O3","Full match","Partial match","Full match",0.33,226.13182,227.13909,8.004,15326113.1603085,1,60.1,65,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",5554903.56646446,9.5,"kps_psychoactive_substances_v2","Multiple matches found"
406,"Amobarbital_8.004","Amobarbital","C11 H18 N2 O3","Full match","Partial match","Full match",0.33,226.13182,227.13909,8.004,15326113.1603085,1,60.1,65,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",6086490.48457399,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
406,"Amobarbital_8.004","Amobarbital","C11 H18 N2 O3","Full match","Partial match","Full match",0.33,226.13182,227.13909,8.004,15326113.1603085,1,60.1,65,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",15326113.1603085,9.5,"kps_psychoactive_substances_v2","Multiple matches found"
406,"Amobarbital_8.004","Amobarbital","C11 H18 N2 O3","Full match","Partial match","Full match",0.33,226.13182,227.13909,8.004,15326113.1603085,1,60.1,65,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",389129.581257708,8.3,"kps_psychoactive_substances_v2","Multiple matches found"
423,"Alphaprodine_11.314","Alphaprodine","C16 H23 N O2","Full match","Partial match","Full match",0.64,261.17305,262.18032,11.314,14607648.0638039,4,94.3,71.2,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",14607648.0638039,8.9,"kps_psychoactive_substances_v2","Multiple matches found"
423,"Alphaprodine_11.314","Alphaprodine","C16 H23 N O2","Full match","Partial match","Full match",0.64,261.17305,262.18032,11.314,14607648.0638039,4,94.3,71.2,"DDA for preferred ion","[M+H]+1","landfill_op_y104",1775976.5629918,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
423,"Alphaprodine_11.314","Alphaprodine","C16 H23 N O2","Full match","Partial match","Full match",0.64,261.17305,262.18032,11.314,14607648.0638039,4,94.3,71.2,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",571243.796812851,6.4,"kps_psychoactive_substances_v2","Multiple matches found"
423,"Alphaprodine_11.314","Alphaprodine","C16 H23 N O2","Full match","Partial match","Full match",0.64,261.17305,262.18032,11.314,14607648.0638039,4,94.3,71.2,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",2680894.27276434,7.8,"kps_psychoactive_substances_v2","Multiple matches found"
476,"Barbital_2.798","Barbital","C8 H12 N2 O3","Full match","No results","Full match",0.07,184.0848,185.09208,2.798,13148714.9611146,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_7",13148714.9611146,6.2,"kps_psychoactive_substances_v2","Single match found"
738,"Testosterone propionate_18.706","Testosterone propionate","C22 H32 O3","Full match","Partial match","Full match",-0.21,344.23507,345.24235,18.706,8705160.98369214,8,96.6,91.7,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",249440.841208244,7.2,"kps_psychoactive_substances_v2","Single match found"
738,"Testosterone propionate_18.706","Testosterone propionate","C22 H32 O3","Full match","Partial match","Full match",-0.21,344.23507,345.24235,18.706,8705160.98369214,8,96.6,91.7,"DDA for preferred ion","[M+H]+1","thailand_sample_7",8705160.98369214,7.8,"kps_psychoactive_substances_v2","Single match found"
738,"Testosterone propionate_18.706","Testosterone propionate","C22 H32 O3","Full match","Partial match","Full match",-0.21,344.23507,345.24235,18.706,8705160.98369214,8,96.6,91.7,"DDA for preferred ion","[M+H]+1","thailand_sample_8",6493908.97217484,8.4,"kps_psychoactive_substances_v2","Single match found"
883,"(+/-)-3,4-(Methylenedioxy)amphetamine_3.72","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.19,179.09466,180.10194,3.72,7349462.63947157,2,86.4,53.8,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",3433816.64369214,5.7,"kps_psychoactive_substances_v2","Multiple matches found"
883,"(+/-)-3,4-(Methylenedioxy)amphetamine_3.72","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.19,179.09466,180.10194,3.72,7349462.63947157,2,86.4,53.8,"DDA for preferred ion","[M+H]+1","landfill_op_y104",4544581.82809779,6.7,"kps_psychoactive_substances_v2","Multiple matches found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","crh_inlet",1597847.10629168,9.5,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",1004187.99367746,7.5,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",452476.588554307,7.2,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",167603.907530629,8.5,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",6824352.54665086,8.4,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",212255.641781074,5.2,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",858230.746045052,8,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",1167278.41634561,7.5,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",1102458.79667108,7.5,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",400775.739295178,7.2,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",4009837.9192912,7.3,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",416366.314305649,7.2,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",266818.771905638,6.6,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",154196.045459945,5.2,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",7165826.94496002,8.9,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",521248.039098819,7,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",900722.037345459,7.5,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_250122",190080.948000673,9,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",431624.018223173,7.7,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",1448386.17546714,8.4,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_7104_250122",491856.349226962,6.6,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",314644.755545945,8.8,"kps_psychoactive_substances_v2","Single match found"
900,"Pregabalin_1.316","Pregabalin","C8 H17 N O2","Full match","No results","Full match",0.24,159.12597,160.13324,1.316,7165826.94496002,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op3_104_140622",185138.984801037,5.2,"kps_psychoactive_substances_v2","Single match found"
934,"JWH-203_1.925","JWH-203","C21 H22 Cl N O","No match","Not the top hit","Full match",-3.13,339.13793,340.14521,1.925,6926918.15378553,4,80.3,9,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",6926918.15378553,5.1,"kps_psychoactive_substances_v2","Single match found"
934,"JWH-203_1.925","JWH-203","C21 H22 Cl N O","No match","Not the top hit","Full match",-3.13,339.13793,340.14521,1.925,6926918.15378553,4,80.3,9,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",4406020.12928468,5.7,"kps_psychoactive_substances_v2","Single match found"
934,"JWH-203_1.925","JWH-203","C21 H22 Cl N O","No match","Not the top hit","Full match",-3.13,339.13793,340.14521,1.925,6926918.15378553,4,80.3,9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",1387511.02245023,7.3,"kps_psychoactive_substances_v2","Single match found"
934,"JWH-203_1.925","JWH-203","C21 H22 Cl N O","No match","Not the top hit","Full match",-3.13,339.13793,340.14521,1.925,6926918.15378553,4,80.3,9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",1285914.95006243,5.3,"kps_psychoactive_substances_v2","Single match found"
934,"JWH-203_1.925","JWH-203","C21 H22 Cl N O","No match","Not the top hit","Full match",-3.13,339.13793,340.14521,1.925,6926918.15378553,4,80.3,9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",2069933.01022462,5.7,"kps_psychoactive_substances_v2","Single match found"
952,"JWH 200_16.312","JWH 200","C25 H24 N2 O2","No match","Not the top hit","Full match",-3.27,384.18252,385.1898,16.312,6763850.85999384,4,85.4,9.3,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",6763850.85999384,8.4,"kps_psychoactive_substances_v2","Single match found"
985,"1-Androstenedione_15.836","1-Androstenedione","C19 H26 O2","Full match","Not the top hit","Full match",0.55,286.19344,287.20071,15.836,6535540.98533173,4,76.9,57.5,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",6535540.98533173,8.9,"kps_psychoactive_substances_v2","Multiple matches found"
985,"1-Androstenedione_15.836","1-Androstenedione","C19 H26 O2","Full match","Not the top hit","Full match",0.55,286.19344,287.20071,15.836,6535540.98533173,4,76.9,57.5,"DDA for preferred ion","[M+H]+1","thailand_sample_7",625092.442209389,5.3,"kps_psychoactive_substances_v2","Multiple matches found"
1052,"Oxymesterone_18.604","Oxymesterone","C20 H30 O3","Full match","Not the top hit","Full match",0.17,318.21955,319.22683,18.604,6110149.45627193,11,85.3,9.3,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",6110149.45627193,7.3,"kps_psychoactive_substances_v2","Single match found"
1053,"4,5-Methylenedioxy-2-aminoindane_8.325","4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2","Full match","No results","Full match",0.22,177.07902,178.0863,8.325,6108393.70890263,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",6108393.70890263,7.3,"kps_psychoactive_substances_v2","Single match found"
1053,"4,5-Methylenedioxy-2-aminoindane_8.325","4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2","Full match","No results","Full match",0.22,177.07902,178.0863,8.325,6108393.70890263,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",137313.589467859,6.8,"kps_psychoactive_substances_v2","Single match found"
1053,"4,5-Methylenedioxy-2-aminoindane_8.325","4,5-Methylenedioxy-2-aminoindane","C10 H11 N O2","Full match","No results","Full match",0.22,177.07902,178.0863,8.325,6108393.70890263,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",1848517.91675345,8.4,"kps_psychoactive_substances_v2","Single match found"
