"peak_number","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc009_1",7339833.37405451,8.9,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc009_2",7530348.81050409,8.9,"2","sc009","kps_pharmaceuticals_oct22","Single match found"
3036,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.41,219.12602,220.13329,6.833,3142568.68596935,2,81.5,9.1,"DDA for preferred ion","[M+H]+1","sc009_1",3071260.92562205,7.3,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
3036,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.41,219.12602,220.13329,6.833,3142568.68596935,2,81.5,9.1,"DDA for preferred ion","[M+H]+1","sc009_2",3142568.68596935,5.7,"2","sc009","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc009_1",2267739.27093461,6.2,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc009_2",2656512.25988885,5.1,"2","sc009","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc011_1",972451.314773273,7.5,"1","sc011","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc011_2",965396.646347965,8,"2","sc011","kps_pharmaceuticals_oct22","Single match found"
3036,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.41,219.12602,220.13329,6.833,3142568.68596935,2,81.5,9.1,"DDA for preferred ion","[M+H]+1","sc012_1",277365.067422186,6.8,"1","sc012","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc012_1",265031.662248998,7.4,"1","sc012","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc012_2",257867.049925565,7.9,"2","sc012","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc013_1",692500.353265573,6.4,"1","sc013","kps_pharmaceuticals_oct22","Single match found"
1850,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.45,219.12603,220.1333,7.449,5059801.32630492,3,81.7,9.1,"DDA for preferred ion","[M+H]+1","sc013_1",1723207.2358797,5.1,"1","sc013","kps_pharmaceuticals_oct22","Single match found"
3036,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.41,219.12602,220.13329,6.833,3142568.68596935,2,81.5,9.1,"DDA for preferred ion","[M+H]+1","sc013_1",1149211.53327039,8,"1","sc013","kps_pharmaceuticals_oct22","Single match found"
3036,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.41,219.12602,220.13329,6.833,3142568.68596935,2,81.5,9.1,"DDA for preferred ion","[M+H]+1","sc013_2",1290771.05552977,7.5,"2","sc013","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc013_2",588925.879905096,7.7,"2","sc013","kps_pharmaceuticals_oct22","Single match found"
1076,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,9.926,8137227.74330898,2,73.8,8.7,"DDA for preferred ion","[M+H]+1","sc014_1",8137227.74330898,5.1,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
1076,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,9.926,8137227.74330898,2,73.8,8.7,"DDA for preferred ion","[M+H]+1","sc014_2",7601687.36165396,5.1,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc014_1",5681822.43825251,5.7,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc014_2",7979875.42679937,5.1,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc014_2",7274202.7163582,5.1,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1554,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,9.473,5921536.49497692,1,60.2,46.3,"DDA for preferred ion","[M+H]+1","sc014_1",5921536.49497692,7.3,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
1554,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,9.473,5921536.49497692,1,60.2,46.3,"DDA for preferred ion","[M+H]+1","sc014_2",5476624.83886751,7.3,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
3036,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.41,219.12602,220.13329,6.833,3142568.68596935,2,81.5,9.1,"DDA for preferred ion","[M+H]+1","sc014_2",2493053.47992679,5.7,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc020_1",3375367.2590001,5.7,"1","sc020","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc020_2",3165857.64756506,5.7,"2","sc020","kps_pharmaceuticals_oct22","Single match found"
1380,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.57,219.12605,220.13333,8.373,6539568.89574149,1,71.6,8.6,"DDA for preferred ion","[M+H]+1","sc020_1",6413961.38353309,8.4,"1","sc020","kps_pharmaceuticals_oct22","Single match found"
1380,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.57,219.12605,220.13333,8.373,6539568.89574149,1,71.6,8.6,"DDA for preferred ion","[M+H]+1","sc020_2",6539568.89574149,8.4,"2","sc020","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc020_1",1876051.53342537,6.7,"1","sc020","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc020_2",1851060.27387054,6.7,"2","sc020","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc023_1",3633992.05578108,6.2,"1","sc023","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc023_2",3462434.89627914,6.2,"2","sc023","kps_pharmaceuticals_oct22","Single match found"
1554,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,9.473,5921536.49497692,1,60.2,46.3,"DDA for preferred ion","[M+H]+1","sc023_1",2068645.61218195,6.7,"1","sc023","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc023_1",1859290.98490579,5.1,"1","sc023","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc023_2",1894982.2011061,5.1,"2","sc023","kps_pharmaceuticals_oct22","Single match found"
1076,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,9.926,8137227.74330898,2,73.8,8.7,"DDA for preferred ion","[M+H]+1","sc15_1",5201180.05939418,5.1,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
1076,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,9.926,8137227.74330898,2,73.8,8.7,"DDA for preferred ion","[M+H]+1","sc15_2",4971801.76502483,5.7,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc15_1",4173383.93000505,7.3,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc15_1",7181001.05705052,7.3,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc15_2",7117245.37505029,6.2,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
1554,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,9.473,5921536.49497692,1,60.2,46.3,"DDA for preferred ion","[M+H]+1","sc15_1",5769281.49335787,7.8,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
1554,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,9.473,5921536.49497692,1,60.2,46.3,"DDA for preferred ion","[M+H]+1","sc15_2",5920167.83266944,7.8,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc16_2",682250.007919269,7.2,"2","sc16","kps_pharmaceuticals_oct22","Single match found"
1554,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,9.473,5921536.49497692,1,60.2,46.3,"DDA for preferred ion","[M+H]+1","sc16_1",1018300.82409567,6.4,"1","sc16","kps_pharmaceuticals_oct22","Single match found"
1554,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,9.473,5921536.49497692,1,60.2,46.3,"DDA for preferred ion","[M+H]+1","sc16_2",1007569.68625104,6.4,"2","sc16","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc16_2",161927.434609516,6.5,"2","sc16","kps_pharmaceuticals_oct22","Single match found"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.08,195.12594,196.13323,11.334,5007885.99531316,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc004_2",3957015.33010283,5.1,"2","sc004","kps_pharmaceuticals_oct22","Single match found"
4796,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.18,195.12596,196.13324,11.024,1931043.85519622,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc004_2",709455.924246231,7.5,"2","sc004","kps_pharmaceuticals_oct22","Single match found"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.12,195.12595,196.13323,10.33,6138226.13014879,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",736189.987677405,5.3,"2","sc008","kps_pharmaceuticals_oct22","Single match found"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.08,195.12594,196.13323,11.334,5007885.99531316,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",1094773.06455041,5.3,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
4796,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.18,195.12596,196.13324,11.024,1931043.85519622,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",652777.887036023,5.5,"2","sc008","kps_pharmaceuticals_oct22","Single match found"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.08,195.12594,196.13323,11.334,5007885.99531316,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",2608283.75512497,7.8,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.08,195.12594,196.13323,11.334,5007885.99531316,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_2",3865932.13851956,5.1,"2","sc009","kps_pharmaceuticals_oct22","Single match found"
4092,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.06,195.12594,196.13322,8.53,2321528.63141253,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",586055.759780314,5.5,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
4092,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.06,195.12594,196.13322,8.53,2321528.63141253,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_2",518829.28508941,6.1,"2","sc009","kps_pharmaceuticals_oct22","Single match found"
4736,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.09,195.12595,196.13322,2.039,1966204.67500076,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",1470450.63314706,5.3,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
4736,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.09,195.12595,196.13322,2.039,1966204.67500076,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_2",1966204.67500076,5.1,"2","sc009","kps_pharmaceuticals_oct22","Single match found"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.12,195.12595,196.13323,10.33,6138226.13014879,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",6138226.13014879,5.1,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.12,195.12595,196.13323,10.33,6138226.13014879,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_2",5828671.70876311,5.1,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1973,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.16,195.12596,196.13324,8.966,4810224.80551597,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",4621080.06425224,5.7,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
1973,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.16,195.12596,196.13324,8.966,4810224.80551597,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_2",4374908.10955332,5.7,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
2079,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.19,195.12597,196.13325,9.539,4578420.21867089,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",4578420.21867089,7.8,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
2079,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.19,195.12597,196.13325,9.539,4578420.21867089,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_2",3913805.08090093,8.4,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
4018,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.05,195.12594,196.13321,7.906,2373352.00945052,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",2373352.00945052,5.7,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
4018,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.05,195.12594,196.13321,7.906,2373352.00945052,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_2",2014613.14734418,5.1,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
4092,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.06,195.12594,196.13322,8.53,2321528.63141253,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",2321528.63141253,5.1,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
4796,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.18,195.12596,196.13324,11.024,1931043.85519622,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",1628960.42487928,6.7,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
4796,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.18,195.12596,196.13324,11.024,1931043.85519622,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_2",1931043.85519622,5.1,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
5299,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.2,195.12597,196.13324,8.763,1686517.56114567,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",1686517.56114567,5.1,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
5299,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.2,195.12597,196.13324,8.763,1686517.56114567,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_2",1442236.28199245,5.9,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
7983,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.18,195.12596,196.13324,9.706,771320.600624605,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",755243.647109728,5.3,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
7983,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.18,195.12596,196.13324,9.706,771320.600624605,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_2",771320.600624605,5.9,"2","sc014","kps_pharmaceuticals_oct22","Single match found"
1443,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.2,195.12597,196.13324,9.383,6317448.59051914,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_1",6069308.03427755,6.7,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
1443,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.2,195.12597,196.13324,9.383,6317448.59051914,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_2",6317448.59051914,8.4,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.12,195.12595,196.13323,10.33,6138226.13014879,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_2",1482111.60874986,6.4,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
1680,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.13,195.12595,196.13323,9.976,5508876.96523725,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_1",5508876.96523725,7.3,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
1680,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.13,195.12595,196.13323,9.976,5508876.96523725,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_2",5009755.56653875,8.4,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
1973,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.16,195.12596,196.13324,8.966,4810224.80551597,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_1",4810224.80551597,5.7,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
1973,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.16,195.12596,196.13324,8.966,4810224.80551597,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_2",4213948.14986579,5.1,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
2079,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.19,195.12597,196.13325,9.539,4578420.21867089,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_1",2859298.37048152,7.8,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
2079,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.19,195.12597,196.13325,9.539,4578420.21867089,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_2",3045441.56539999,6.2,"2","sc15","kps_pharmaceuticals_oct22","Single match found"
4018,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.05,195.12594,196.13321,7.906,2373352.00945052,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc15_1",1698396.9915261,6.7,"1","sc15","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc003_1",1492786.05538931,8.6,"1","sc003","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc003_2",1608749.15470013,8.9,"2","sc003","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc004_1",1812777.88813363,8.9,"1","sc004","kps_pharmaceuticals_oct22","Single match found"
