"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","palapye wwtp surface water","kasane wwtp (main) surface water","kasane wwtp (overflow) surface water","maun wwtp (main) waste water","maun wwtp (overflow) surface water","palapye wwtp (eff) waste water","francistown wwtp surface water","ghanzi wwtp surface water","glen valley (reclamation) surface water","glen valley (recreational) surface water","kasane (recreational) surface water","maun beach (before) surface water","maun beach (after) surface water","lecheng stream surface water","lecheng spring surface water","lotsane dam surface water","kasane (main) surface water","mogobane dam surface water","maru-a-pula surface water"
736,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",0.4,260.10496,261.11224,10.546,"mz_cloud",NA,NA,11185218.487969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7776,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",0.66,260.10503,261.11231,16.86,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291744.028614821,NA,NA
8423,"(R)-Dipivefrine","C19 H29 N O5",0.36,351.2047,352.21198,5.53,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144676.431591127,NA,NA,NA,NA,NA,NA,NA,NA
4858,"(R)-Praziquantel","C19 H24 N2 O2",0.54,312.18395,313.19122,16.067,"kps_pharmaceuticals_oct22",1849907.30045236,NA,NA,NA,NA,1531124.25133946,NA,406487.593852829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3632,"(S)-(-)-Cathinone","C9 H11 N O",0.58,149.08415,150.09143,12.441,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,2628955.3211631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4072,"(S)-(-)-Cathinone","C9 H11 N O",0.59,149.08415,150.09143,2.409,"kps_psychoactive_substances_v2",NA,NA,2192107.95262337,NA,912709.768756695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5084,"(S)-(-)-Cathinone","C9 H11 N O",0.47,149.08413,150.09141,11.722,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607955.603411351,NA,710385.255721666
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1896162.64525497,NA,1740884.59985037,256143.655445271,NA,1086451.3794461,1890109.48299386,338151.650030554,2124092.9329702
1153,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.42,248.15258,249.15986,9.453,"kps_pharmaceuticals_oct22",7468252.80747757,1329601.67543801,NA,4002354.41182235,3404351.41362713,5437216.05690414,1685561.08193056,1399271.94272051,4784021.11389697,7666668.08211282,NA,NA,NA,NA,283535.775321322,NA,NA,NA,NA
1416,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.45,248.15259,249.15987,8.831,"kps_pharmaceuticals_oct22",NA,NA,6375046.56265175,NA,NA,NA,NA,NA,NA,NA,NA,272483.540268837,NA,NA,NA,NA,NA,NA,NA
1239,"(S)-Rolipram","C16 H21 N O3",0.24,275.15221,276.15949,8.754,"kps_pharmaceuticals_oct22",NA,NA,NA,2785666.185034,7184538.89989996,NA,NA,NA,NA,2487542.97549102,NA,NA,NA,NA,NA,NA,NA,NA,NA
7731,"(S)-Warfarin","C19 H16 O4",-1.97,308.10425,331.09346,5.214,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,853692.522055182,NA,NA,NA
5971,"(Z)-Hexadec-9-enoic acid","C16 H30 O2",0.39,254.22468,255.23196,20.666,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1423565.2356219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5133,"(±)-Abscisic acid","C15 H20 O4",0.36,264.13625,265.14353,18.784,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695332.548509516,NA,1680513.36107246,689493.715357017,NA,NA,1332372.39765028,NA,NA
901,"(±)-Abscisic acid","C15 H20 O4",0.29,264.13624,265.14351,16.802,"mz_cloud",875863.270139975,3630406.02800895,NA,2024721.86688038,1117097.48159842,NA,1794163.12195434,883197.905868539,NA,9511399.559901,NA,NA,NA,NA,NA,NA,NA,NA,NA
2949,"(±)-Abscisic acid","C15 H20 O4",0.31,264.13624,265.14352,17.161,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,1182190.63368051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8568,"1,10-Phenanthroline","C12 H8 N2",0.4,180.06882,181.0761,8.701,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,336708.810110292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5419,"1,10-Phenanthroline","C12 H8 N2",0.37,180.06881,181.07609,8.161,"kps_pharmaceuticals_oct22",NA,NA,NA,1637891.10817944,700718.308721929,NA,NA,219977.058062695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3386,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.4,239.18863,240.1959,10.336,"mz_cloud",2811771.24685787,NA,NA,NA,NA,2070797.51829175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2069,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.43,239.18863,240.19591,10.943,"mz_cloud",NA,NA,NA,4594618.92990489,2973028.50414808,NA,NA,NA,NA,394775.87713078,NA,NA,NA,NA,NA,NA,NA,NA,NA
6418,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.36,239.18862,240.19589,7.649,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,740267.31404113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,"1,2,3,9-tetrahydro-4H-carbazol-4-one oxime","C12 H12 N2 O",0.09,200.09498,201.10226,9.393,"mz_cloud",4493737.05499169,NA,NA,NA,NA,3727821.30923651,8061909.49394955,1107160.09646561,2447409.34614418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
782,"1,2-Benzodiazepine","C9 H8 N2",0.63,144.06884,145.07612,9.908,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,9569260.25402835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5528,"1,3,4,10-Tetrahydro-9(2H)-acridinone","C13 H13 N O",0.15,199.09974,200.10702,7.763,"mz_cloud",NA,NA,NA,NA,NA,NA,1344780.89260452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8106,"1,3,8-trimethyl-5-morpholino-1,2,3,4,7,8-hexahydropyrido[2,3-d]pyrimidine-2,4,7-trione","C14 H18 N4 O4",0.96,306.1331,307.14038,9.141,"mz_cloud",344411.16982882,NA,NA,NA,NA,NA,732702.84811215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3325,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.02,201.11536,202.12264,16.145,"mz_cloud",NA,694751.874826781,NA,NA,NA,1873848.42274849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.04,201.11536,202.12263,9.476,"mz_cloud",588387.809077563,NA,NA,4036184.01515838,4684301.33283476,NA,NA,NA,NA,1689565.80751913,NA,NA,NA,NA,NA,NA,NA,NA,NA
2158,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",0.09,201.11538,202.12266,7.467,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,1711929.80554322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5983,"1,3-Dimethylbutylamine","C6 H15 N",1.97,101.12065,102.12793,1.336,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294569.60833981,NA,377141.592953737,327845.631397625,NA,1271698.59429796,330591.838769605,NA
4020,"1,3-Dimethylbutylamine","C6 H15 N",2,101.12065,102.12793,1.622,"kps_pharmaceuticals_oct22",1585432.62370165,NA,1774040.15874703,NA,NA,1550100.57824554,1911756.66375667,NA,NA,NA,1704201.96169805,NA,2261832.85465541,NA,NA,812927.460347879,NA,NA,1590068.79445056
2915,"1,3-Dimethylbutylamine","C6 H15 N",1.98,101.12065,102.12793,2.122,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,3273781.00157009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5416,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.72,138.07941,139.08669,4.424,"mz_cloud",1570763.97329795,NA,1297991.19390529,1370274.01652883,1174156.87275571,NA,NA,NA,852894.162114074,NA,NA,NA,NA,NA,278114.367630237,NA,NA,NA,NA
5957,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.71,138.07941,139.08669,7.888,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1430669.61451043,NA,NA,NA,NA,NA,NA
5898,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.69,138.07941,139.08668,6.661,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,647450.654128287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5655,"1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O",0.75,138.07942,139.08669,4.739,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,510732.415494712,NA,NA,NA,NA,NA,NA,NA,NA,NA
3404,"1,3-Indandione","C9 H6 O2",-0.49,146.03671,164.07063,8.216,"kps_psychoactive_substances_v2",NA,NA,2794421.91619316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7963,"1,3-Indandione","C9 H6 O2",1.08,146.03694,147.04415,10.745,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,657789.981040617,NA,NA,NA,NA,NA,NA,NA
4671,"1,4-Benzenediamine","C6 H8 N2",1.6,108.06892,109.0762,1.773,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,2006676.36885514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3321,"1,5-Ditetrahydro-1H-pyrrol-1-ylpentane-1,5-dione","C13 H22 N2 O2",0.38,238.16822,239.1755,9.458,"mz_cloud",NA,NA,NA,2774919.15659891,1879982.98045053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6759,"1,8-Diazabicyclo [5.4.0]undec-7-ene","C9 H16 N2",0.5,152.13142,153.1387,10.615,"mz_cloud",846102.926006238,273095.946363887,NA,NA,NA,1035910.21370119,NA,NA,NA,NA,694181.561420695,141539.081396733,NA,NA,NA,NA,NA,NA,556326.644948501
734,"1-(1,3,3-Trimethyl-2,3-dihydro-1H-indol-2-yliden)acetone","C14 H17 N O",0.42,215.1311,216.13838,10.807,"mz_cloud",NA,NA,NA,11259069.2669038,8109825.2556028,NA,NA,NA,NA,1442613.57617896,NA,NA,NA,NA,NA,NA,NA,NA,NA
3014,"1-(2,3-Dichlorophenyl)piperazine","C10 H12 Cl2 N2",-1.63,230.03738,231.04465,15.673,"mz_cloud",NA,NA,NA,NA,NA,NA,3166072.54843997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6675,"1-(2,6-Dichlorophenyl)-2-indolinone","C14 H9 Cl2 N O",0.11,277.00615,278.01343,17.509,"mz_cloud",421689.08399183,NA,NA,NA,NA,NA,1179773.08930813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4285,"1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O",0.29,189.09027,190.09754,8.845,"mz_cloud",NA,536384.463912308,NA,NA,NA,257466.724287248,2199597.55653128,131638.825724828,1742356.52841759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4892,"1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O",0.34,189.09028,190.09755,9.018,"mz_cloud",1884476.15336187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2354,"1-(2-methoxy-4-nitrophenyl)pyrrolidine","C11 H14 N2 O3",0.43,222.10054,223.10781,5.844,"mz_cloud",NA,NA,2643372.23049839,2999041.36318529,3595094.5353079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7465,"1-(3-Trifluoromethylphenyl)piperazine","C11 H13 F3 N2",0.6,230.10322,231.1105,6.688,"mz_cloud",NA,NA,NA,NA,873935.772986476,NA,NA,NA,NA,929123.598491032,NA,NA,NA,NA,NA,NA,NA,NA,NA
8464,"1-(3-acetyl-2,4,6-trihydroxyphenyl)ethan-1-one","C10 H10 O5",0.04,210.05283,211.06011,1.276,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,167652.070992511,NA,629508.694866583,NA,NA,NA,NA,NA,333857.315624605,NA,252908.73550973
8757,"1-(3-ethyl-2,4-dihydroxy-6-methoxyphenyl)butan-1-one","C13 H18 O4",0.34,238.12059,239.12787,16.783,"mz_cloud",NA,376985.859095436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499923.613906598
7495,"1-(4-Methoxyphenoxy)-3-[(2-{[4-(trifluoromethyl)pyrimidin-2-yl]amino}ethyl)amino]propan-2-ol","C17 H21 F3 N4 O3",-3.29,386.15531,387.16258,9.574,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581105.484078699
3361,"1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one","C19 H24 N4 O",-3.88,324.19375,325.20104,17.507,"mz_cloud",NA,NA,NA,1156371.73091306,NA,NA,NA,NA,NA,NA,195076.799995258,NA,NA,254075.725943106,NA,729911.961988014,692356.074411235,NA,1206031.58355769
6050,"1-(4-chlorophenyl)-3-[2-(3-pyridyl)-1,3-thiazol-4-yl]-1H-pyrazol-5-amine","C17 H12 Cl N5 S",0.73,353.05045,354.05773,10.928,"mz_cloud",NA,NA,NA,1036899.44187076,1393627.32690324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5865,"1-(4-methyl-2-pyridyl)pyrrolidine-2,5-dione","C10 H10 N2 O2",0.21,190.07427,191.08155,11.143,"mz_cloud",NA,NA,NA,NA,NA,1220084.72657695,1315788.92191876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,"1-Androstenedione","C19 H26 O2",-1.26,286.19292,287.2007,16.243,"kps_psychoactive_substances_v2",4067615.48017047,NA,NA,NA,NA,2796419.37608217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",0.35,253.24065,254.24793,20.397,"mz_cloud",4955220.71537689,2533838.90556148,2434155.3860588,3197280.698142,2782563.56194753,3954997.4859305,3196616.96231994,2873221.86595614,2857773.4839809,2852371.82112879,2675085.50080221,2644761.78356786,2503191.10646394,2569204.03198431,1995683.83783008,2215730.8985499,2571553.81161324,2748820.52405849,2602669.38633761
9288,"1-Hydroxybenzotriazol","C6 H5 N3 O",1.16,135.04342,136.05064,1.535,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364590.453383563,NA,NA,NA,NA,NA,NA
6043,"1-Methyladenine","C6 H7 N5",0.61,149.07024,150.07751,2.094,"kps_pharmaceuticals_oct22",NA,NA,510547.65344774,718475.374061436,NA,NA,NA,NA,NA,NA,NA,NA,1396144.04564241,NA,NA,NA,NA,NA,NA
