"peak_number","name","formula","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",749463.092708974
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_eg_0_3y_14062022","kps_pharmaceuticals_oct22",251914.151424318
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_eg_104_171221","kps_pharmaceuticals_oct22",378378.714831362
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",1815980.57149627
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_op0_34_140622","kps_pharmaceuticals_oct22",375567.527870814
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",3245898.10853316
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_op_7104_250122","kps_pharmaceuticals_oct22",227033.396188693
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"thailand_sample_6","kps_pharmaceuticals_oct22",574869.043742523
393,"(S)-MCPG","C10 H11 N O4",209.06884,210.07611,1.731,"thailand_sample_7","kps_pharmaceuticals_oct22",7725239.29539993
393,"(S)-MCPG","C10 H11 N O4",209.06884,210.07611,1.731,"thailand_sample_8","kps_pharmaceuticals_oct22",15731539.9952532
6162,"(S)-Rolipram","C16 H21 N O3",275.15224,276.15952,7.415,"landfill_eg_0_3y","kps_pharmaceuticals_oct22",681307.347770773
6162,"(S)-Rolipram","C16 H21 N O3",275.15224,276.15952,7.415,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",113240.414291265
6162,"(S)-Rolipram","C16 H21 N O3",275.15224,276.15952,7.415,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",125044.592523408
7382,"(dmt)thiazolidine","C6 H11 N O2 S",161.05109,162.05836,1.347,"lysimeter_control_eg_140622","kps_pharmaceuticals_oct22",128924.316252777
7382,"(dmt)thiazolidine","C6 H11 N O2 S",161.05109,162.05836,1.347,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",123624.617532269
1982,"(dmt)thiazolidine","C6 H11 N O2 S",161.05108,162.05835,1.907,"lysimeter_op_0_3y_171221","kps_pharmaceuticals_oct22",3236216.78086929
1982,"(dmt)thiazolidine","C6 H11 N O2 S",161.05108,162.05835,1.907,"lysimeter_op_3_10y_171221","kps_pharmaceuticals_oct22",1061618.72519054
944,"1,10-Phenanthroline","C12 H8 N2",180.06881,181.07606,9.949,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",1226555.84096121
944,"1,10-Phenanthroline","C12 H8 N2",180.06881,181.07606,9.949,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",485134.613148721
944,"1,10-Phenanthroline","C12 H8 N2",180.06881,181.07606,9.949,"lysimeter_op_0_3y_250122","kps_pharmaceuticals_oct22",125089.756043496
944,"1,10-Phenanthroline","C12 H8 N2",180.06881,181.07606,9.949,"thailand_sample_7","kps_pharmaceuticals_oct22",6822870.64925446
944,"1,10-Phenanthroline","C12 H8 N2",180.06881,181.07606,9.949,"thailand_sample_8","kps_pharmaceuticals_oct22",5803229.38956127
4738,"1,4-Dioxane","C4 H8 O2",88.05245,194.1387,1.194,"crh_fst1","kps_pharmaceuticals_oct22",226840.805244437
4738,"1,4-Dioxane","C4 H8 O2",88.05245,194.1387,1.194,"crh_fst2","kps_pharmaceuticals_oct22",118142.014111764
4738,"1,4-Dioxane","C4 H8 O2",88.05245,194.1387,1.194,"crh_fst4","kps_pharmaceuticals_oct22",1130126.17951869
4738,"1,4-Dioxane","C4 H8 O2",88.05245,194.1387,1.194,"crh_fst5","kps_pharmaceuticals_oct22",293410.628490324
4738,"1,4-Dioxane","C4 H8 O2",88.05245,194.1387,1.194,"crh_inlet","kps_pharmaceuticals_oct22",184489.901589486
5538,"1-Hexadecanesulfonic acid","C16 H34 O3 S",306.22178,630.47845,20.301,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",409921.921452487
5538,"1-Hexadecanesulfonic acid","C16 H34 O3 S",306.22178,630.47845,20.301,"lysimeter_op_0_3y_171221","kps_pharmaceuticals_oct22",860279.76003123
4750,"1-Methylhistidine","C7 H11 N3 O2",169.08516,170.09244,1.411,"crh_inlet","kps_pharmaceuticals_oct22",812430.957154519
5966,"17beta-Estradiol","C18 H24 O2",272.1778,273.18507,19.062,"lysimeter_control_op_140622","kps_pharmaceuticals_oct22",101538.05879913
5966,"17beta-Estradiol","C18 H24 O2",272.1778,273.18507,19.062,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",537670.071856086
5966,"17beta-Estradiol","C18 H24 O2",272.1778,273.18507,19.062,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",211935.175136884
5966,"17beta-Estradiol","C18 H24 O2",272.1778,273.18507,19.062,"lysimeter_op3_104_140622","kps_pharmaceuticals_oct22",122510.497229193
5966,"17beta-Estradiol","C18 H24 O2",272.1778,273.18507,19.062,"lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",154531.746020403
5992,"2',3'-Dideoxycytidine","C9 H13 N3 O3",211.09573,212.10301,1.374,"crh_inlet","kps_pharmaceuticals_oct22",582252.105090298
8261,"2',3'-Dideoxycytidine","C9 H13 N3 O3",211.09575,212.10303,7.039,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",154806.322696728
5716,"2',3'-Dideoxycytidine","C9 H13 N3 O3",211.09567,212.10294,4.347,"thailand_sample_8","kps_pharmaceuticals_oct22",806294.5121441
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"landfill_eg_y104","kps_pharmaceuticals_oct22",1208214.06702058
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"landfill_op_y104","kps_pharmaceuticals_oct22",5438094.63565281
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_control_eg_140622","kps_pharmaceuticals_oct22",394680.587598102
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",1784602.61817139
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",265411.14019081
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_control_op_260122","kps_pharmaceuticals_oct22",1081893.29195194
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_eg3_104_250122","kps_pharmaceuticals_oct22",763246.566196594
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_eg3_104_250122_20221003231510","kps_pharmaceuticals_oct22",367687.010133806
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",851876.369449473
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",1128693.83339043
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_eg_0_3y_14062022","kps_pharmaceuticals_oct22",693170.831866471
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_eg_104_171221","kps_pharmaceuticals_oct22",656644.127818111
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",2076642.97826971
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_op0_34_140622","kps_pharmaceuticals_oct22",447184.452565702
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_op3_104_140622","kps_pharmaceuticals_oct22",292720.993446542
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_op_0_3y_171221","kps_pharmaceuticals_oct22",1716621.47633648
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_op_0_3y_250122","kps_pharmaceuticals_oct22",231606.734332663
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_op_10y_140622","kps_pharmaceuticals_oct22",213412.55259866
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",3564197.85588947
1205,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07977,213.08702,1.338,"lysimeter_op_7104_250122","kps_pharmaceuticals_oct22",557971.457683622
483,"2',5'-Dideoxyuridine","C9 H12 N2 O4",212.07985,235.06902,6.289,"thailand_sample_8","kps_pharmaceuticals_oct22",8575174.98925161
3001,"2,3-Dihydroxybenzoylserine","C10 H11 N O6",241.05875,242.06603,1.538,"lysimeter_control_op_140622","kps_pharmaceuticals_oct22",494412.518849171
1663,"2,3-Dihydroxybenzoylserine","C10 H11 N O6",241.05873,242.06601,7.416,"thailand_sample_6","kps_pharmaceuticals_oct22",321966.659320491
1663,"2,3-Dihydroxybenzoylserine","C10 H11 N O6",241.05873,242.06601,7.416,"thailand_sample_7","kps_pharmaceuticals_oct22",3690593.15038473
2748,"2-Aminophenol","C6 H7 N O",109.05291,110.06019,5.569,"crh_inlet","kps_pharmaceuticals_oct22",258694.080093
5166,"2-Aminophenol","C6 H7 N O",109.0529,110.06018,5.97,"landfill_eg_0_3y","kps_pharmaceuticals_oct22",395653.801048171
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",1637661.12495438
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"landfill_op_y104","kps_pharmaceuticals_oct22",1780861.41411215
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",2312065.0300663
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",690801.365586403
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",4503589.32236474
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_control_op_260122","kps_pharmaceuticals_oct22",1007433.83153819
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",2365718.26186353
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",647624.220192842
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_op_0_3y_171221","kps_pharmaceuticals_oct22",4495537.69609693
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_op_0_3y_250122","kps_pharmaceuticals_oct22",1547653.98601629
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"lysimeter_op_3_10y_171221","kps_pharmaceuticals_oct22",4149459.18935825
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"thailand_sample_6","kps_pharmaceuticals_oct22",523233.88852884
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"thailand_sample_7","kps_pharmaceuticals_oct22",18659553.9171054
306,"2-Aminophenol","C6 H7 N O",109.05292,110.06019,1.912,"thailand_sample_8","kps_pharmaceuticals_oct22",19335191.448469
7885,"2-Bromohypoxanthine","C5 H3 Br N4 O",213.94853,214.95581,1.103,"landfill_eg_0_3y","kps_pharmaceuticals_oct22",237160.032991557
7885,"2-Bromohypoxanthine","C5 H3 Br N4 O",213.94853,214.95581,1.103,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",151543.522336118
7885,"2-Bromohypoxanthine","C5 H3 Br N4 O",213.94853,214.95581,1.103,"lysimeter_eg3_104_250122_20221003231510","kps_pharmaceuticals_oct22",237065.664474108
7885,"2-Bromohypoxanthine","C5 H3 Br N4 O",213.94853,214.95581,1.103,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",175679.521707076
7885,"2-Bromohypoxanthine","C5 H3 Br N4 O",213.94853,214.95581,1.103,"lysimeter_op3_104_140622","kps_pharmaceuticals_oct22",111146.80031246
7885,"2-Bromohypoxanthine","C5 H3 Br N4 O",213.94853,214.95581,1.103,"lysimeter_op_3_10y_171221","kps_pharmaceuticals_oct22",160290.738687154
7885,"2-Bromohypoxanthine","C5 H3 Br N4 O",213.94853,214.95581,1.103,"thailand_sample_8","kps_pharmaceuticals_oct22",225881.2532019
3994,"2-Hydroxytryptophan","C11 H12 N2 O3",220.08491,221.09219,1.423,"lysimeter_control_op_140622","kps_pharmaceuticals_oct22",134760.319528069
3994,"2-Hydroxytryptophan","C11 H12 N2 O3",220.08491,221.09219,1.423,"lysimeter_control_op_260122","kps_pharmaceuticals_oct22",157713.249237159
3772,"2-Hydroxytryptophan","C11 H12 N2 O3",220.0849,221.09218,8.863,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",114609.225377912
3994,"2-Hydroxytryptophan","C11 H12 N2 O3",220.08491,221.09219,1.423,"lysimeter_op0_34_140622","kps_pharmaceuticals_oct22",109204.740676681
3994,"2-Hydroxytryptophan","C11 H12 N2 O3",220.08491,221.09219,1.423,"lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",874492.73026131
3994,"2-Hydroxytryptophan","C11 H12 N2 O3",220.08491,221.09219,1.423,"lysimeter_op_3_10y_250122","kps_pharmaceuticals_oct22",117468.961274543
3994,"2-Hydroxytryptophan","C11 H12 N2 O3",220.08491,221.09219,1.423,"lysimeter_op_7104_250122","kps_pharmaceuticals_oct22",149084.424828871
7691,"2-Iminobiotin","C10 H17 N3 O2 S",243.1039,261.13742,17.936,"crh_fst1","kps_pharmaceuticals_oct22",135317.086936938
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"crh_fst3","kps_pharmaceuticals_oct22",153951.829992427
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",138219.994096602
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_control_eg_140622","kps_pharmaceuticals_oct22",148228.279109771
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",148323.535070983
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_control_op_140622","kps_pharmaceuticals_oct22",138301.93258263
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_eg104_140622","kps_pharmaceuticals_oct22",145156.803817379
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_eg3_104_250122","kps_pharmaceuticals_oct22",164706.058310983
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",169073.262662103
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_op_0_3y_250122","kps_pharmaceuticals_oct22",163150.803603331
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",132557.052686641
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"lysimeter_op_3_10y_250122","kps_pharmaceuticals_oct22",176047.365127071
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"thailand_sample_1","kps_pharmaceuticals_oct22",147966.952337508
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"thailand_sample_2","kps_pharmaceuticals_oct22",152248.286442833
6202,"2-Oxo-3-hydroxy-LSD","C20 H25 N3 O3",355.18902,356.1963,19.292,"thailand_sample_3","kps_pharmaceuticals_oct22",671936.970577496
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"landfill_eg_y104","kps_pharmaceuticals_oct22",148785.005250894
8160,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,16.383,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",113036.930360659
6843,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03915,7.673,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",113622.952173717
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",136268.336190185
6843,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03915,7.673,"lysimeter_eg104_140622","kps_pharmaceuticals_oct22",157548.562819172
6843,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03915,7.673,"lysimeter_eg3_104_250122","kps_pharmaceuticals_oct22",165367.993933177
6843,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03915,7.673,"lysimeter_eg3_104_250122_20221003231510","kps_pharmaceuticals_oct22",113051.568566398
6758,"2-Oxobutyric acid","C4 H6 O3",102.03186,103.03914,9.69,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",322332.714722538
6843,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03915,7.673,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",143501.427875025
6783,"2-Oxobutyric acid","C4 H6 O3",102.03192,103.03914,9.121,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",177562.33171747
7206,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,8.469,"lysimeter_op0_34_140622","kps_pharmaceuticals_oct22",151195.253335998
7206,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,8.469,"lysimeter_op_0_3y_171221","kps_pharmaceuticals_oct22",308422.088744838
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"lysimeter_op_0_3y_250122","kps_pharmaceuticals_oct22",155166.417706225
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"lysimeter_op_10y_140622","kps_pharmaceuticals_oct22",159823.238479622
6758,"2-Oxobutyric acid","C4 H6 O3",102.03186,103.03914,9.69,"lysimeter_op_3_10y_171221","kps_pharmaceuticals_oct22",354271.518171867
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"lysimeter_op_3_10y_250122","kps_pharmaceuticals_oct22",146078.939491698
8160,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,16.383,"thailand_sample_1","kps_pharmaceuticals_oct22",130419.308908152
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"thailand_sample_2","kps_pharmaceuticals_oct22",171191.458970224
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"thailand_sample_3","kps_pharmaceuticals_oct22",130668.45401663
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"thailand_sample_4","kps_pharmaceuticals_oct22",153946.677476271
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"thailand_sample_5","kps_pharmaceuticals_oct22",167752.405615441
7356,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,17.062,"thailand_sample_6","kps_pharmaceuticals_oct22",157910.902623504
8160,"2-Oxobutyric acid","C4 H6 O3",102.03187,103.03914,16.383,"thailand_sample_8","kps_pharmaceuticals_oct22",130131.267784971
1348,"2-Phenoxyethanol","C8 H10 O2",138.06755,299.12393,1.419,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",842525.557177611
2699,"2-Pyrrolecarboxylic acid","C5 H5 N O2",111.03216,112.03945,1.635,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",2325647.08601262
920,"2-Pyrrolecarboxylic acid","C5 H5 N O2",111.03218,112.03946,2.128,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",7031316.45562009
4664,"2-Quinolinecarboxylic acid","C10 H7 N O2",173.0477,174.05499,8.876,"crh_fst1","kps_pharmaceuticals_oct22",501690.763788697
4664,"2-Quinolinecarboxylic acid","C10 H7 N O2",173.0477,174.05499,8.876,"crh_fst2","kps_pharmaceuticals_oct22",491493.572294322
4686,"2-Quinolinecarboxylic acid","C10 H7 N O2",173.04771,174.055,9.276,"crh_fst3","kps_pharmaceuticals_oct22",268842.088763434
4664,"2-Quinolinecarboxylic acid","C10 H7 N O2",173.0477,174.05499,8.876,"crh_fst4","kps_pharmaceuticals_oct22",540331.805570271
