"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","feedpump","newdry","olddry","centrin","digesterC","digesterA","digesterB","digesterD"
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",-0.34,253.24048,254.24775,22.289,"mz_cloud",535216721.929229,1155163547.89902,1288523058.79443,1839763938.33376,801452766.168362,1326748060.1014,858758696.277102,861543088.232838
2538,"1-Hexadecanesulfonic acid","C16 H34 O3 S",-1.43,306.22243,630.47914,22.128,"kps_pharmaceuticals_oct22",18532817.6823268,NA,NA,NA,NA,NA,NA,NA
3355,"1-Linoleoyl glycerol","C21 H38 O4",0.31,354.27712,355.2844,21.439,"mz_cloud",8375116.7068566,6201015.0822685,NA,9973285.31454504,NA,8373135.95314277,8027384.49660938,NA
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",-0.1,231.12591,232.13318,17.823,"mz_cloud",NA,6694790.46942359,5787570.30615941,849344.506826716,738627.590199529,NA,6104690.739974,NA
6,"1-Tetradecylamine","C14 H31 N",-0.32,213.24558,214.25286,20.391,"mz_cloud",5821540267.14111,635092750.302864,207781914.622757,540388448.055986,810972852.396949,367585371.489878,188916499.085562,914261734.381226
3655,"1-ethyl-4-(2-phenylethynyl)piperidin-4-ol","C15 H19 N O",0,229.14666,230.15394,18.675,"mz_cloud",8927155.50637613,NA,NA,NA,NA,NA,NA,NA
668,"1-oleoylglycerol","C21 H40 O4",0.18,356.29273,379.28193,23.631,"kps_pharmaceuticals_oct22",83719929.2397563,29512384.2854936,48743271.4231845,34710828.9783252,30466154.2058436,18026345.1409947,24179794.3509379,38102840.702298
2075,"10-HDA","C10 H18 O3",0.14,186.12562,187.1329,22.379,"mz_cloud",9785873.27523394,NA,NA,NA,NA,NA,4439270.40153845,NA
1696,"11(Z),14(Z),17(Z)-Eicosatrienoic acid","C20 H34 O2",0.66,306.25608,307.26332,24.022,"mz_cloud",25410406.9010097,NA,NA,NA,NA,NA,NA,NA
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",0.2,292.13113,293.13841,19.511,"mz_cloud",NA,5249775.7909185,5615110.53034103,4883043.36582575,NA,NA,NA,3155523.99568371
1651,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",0.36,344.19888,345.20616,18.348,"kps_cannabinoids",NA,1519765.75311212,NA,4012950.36986297,NA,NA,NA,NA
2077,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",0.62,344.19897,345.20625,19.107,"kps_cannabinoids",NA,NA,NA,NA,NA,14846068.2126291,6601999.80413291,NA
1356,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",0.68,344.19899,345.20627,19.256,"kps_cannabinoids",NA,NA,NA,NA,23309885.5272508,NA,NA,40362181.4455642
3454,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",0.42,344.1989,345.20618,21.046,"kps_cannabinoids",NA,NA,5531387.02359664,NA,NA,NA,NA,NA
1159,"12-Oxo phytodienoic acid","C18 H28 O3",0.15,292.20389,293.21116,17.538,"mz_cloud",NA,37877932.8287268,NA,2037143.48256959,NA,NA,3379819.42817739,NA
3527,"12-Oxo phytodienoic acid","C18 H28 O3",0.01,292.20385,293.21112,18.199,"mz_cloud",9791165.23868497,NA,NA,NA,NA,NA,NA,NA
4150,"13(S)-HOTrE","C18 H30 O3",0.43,294.21962,295.2269,18.568,"mz_cloud",7957450.46583698,NA,NA,NA,NA,NA,NA,NA
2975,"15-Crown-5","C10 H20 O5",0.22,220.13112,221.1384,14.254,"mz_cloud",NA,14459475.000104,NA,NA,NA,NA,NA,NA
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",0.09,284.23517,285.24243,22.349,"mz_cloud",5460489.91007626,5126778.97432413,5087321.0393814,8104976.71876887,NA,7429872.552785,5872746.74811895,NA
391,"17-Methyltestosterone","C20 H30 O2",0.42,302.22471,303.23195,23.017,"kps_psychoactive_substances_v2",90356564.462422,26886708.2362665,35942361.8056806,27231525.2408758,30923377.0019064,NA,19618205.9062632,34908164.9248134
85,"17-Methyltestosterone","C20 H30 O2",0.55,302.22475,320.25858,19.694,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,488745488.211791,NA,NA
115,"17beta-Estradiol","C18 H24 O2",-0.28,272.17755,273.18483,20.433,"kps_pharmaceuticals_oct22",1110970.51529688,23383795.5333843,NA,10558404.1363587,NA,25990017.5006741,345556802.618214,NA
254,"17beta-Estradiol","C18 H24 O2",-0.29,272.17755,273.18482,20.53,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,91498121.9039792,NA,NA,104962483.50917
312,"17beta-Estradiol","C18 H24 O2",0.07,272.17765,273.18492,20.667,"kps_pharmaceuticals_oct22",NA,NA,113552485.251619,NA,NA,NA,NA,NA
757,"17α-Methyl-androstan-3-hydroxyimine-17β-ol","C20 H33 N O2",0.84,319.2514,320.25868,19.278,"mz_cloud",NA,NA,NA,NA,NA,72845219.5418495,20088444.4166573,NA
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",0.15,157.14669,158.15396,16.304,"mz_cloud",23148936.6617528,10576121.6858293,25235796.4120699,19842517.738855,17233508.4094781,27917020.3763964,18288566.3766142,22249561.9570164
1860,"2,4-Di-tert-butylphenol","C14 H22 O",-0.01,206.16706,207.17434,20.636,"kps_cannabinoids",NA,6902452.31259335,3899938.92901354,20320841.8643517,NA,NA,NA,NA
2461,"2,4-Di-tert-butylphenol","C14 H22 O",0.22,206.16711,207.17439,20.571,"kps_cannabinoids",4726692.45148493,NA,NA,NA,7507119.17790526,11185373.8633068,NA,NA
2221,"2,4-Di-tert-butylphenol","C14 H22 O",-0.1,206.16705,207.17432,20.746,"kps_cannabinoids",NA,NA,NA,NA,NA,NA,8793540.2092531,NA
2457,"2,4-Di-tert-butylphenol","C14 H22 O",0.01,206.16707,207.17434,20.514,"kps_cannabinoids",NA,NA,NA,NA,NA,NA,NA,4416073.89012421
3881,"2,5-Anhydro-4,6-dideoxy-6-{[(1-methyl-1H-pyrazol-4-yl)carbonyl]amino}-4-(4-phenyl-1-piperazinyl)-D-galactitol","C21 H29 N5 O4",-1.13,415.22148,416.22876,18.48,"mz_cloud",NA,NA,NA,9275192.36691307,NA,NA,NA,NA
4655,"2,5-Anhydro-4,6-dideoxy-6-{[(1-methyl-1H-pyrazol-4-yl)carbonyl]amino}-4-(4-phenyl-1-piperazinyl)-D-galactitol","C21 H29 N5 O4",-0.77,415.22164,416.22891,17.681,"mz_cloud",NA,NA,NA,NA,NA,NA,5711250.29594947,NA
4545,"2,5-Anhydro-4,6-dideoxy-6-{[(1-methyl-1H-pyrazol-4-yl)carbonyl]amino}-4-(4-phenyl-1-piperazinyl)-D-galactitol","C21 H29 N5 O4",-1.21,415.22145,416.22873,17.805,"mz_cloud",NA,NA,NA,NA,6121892.67144204,NA,NA,NA
4346,"2-(1,3-benzodioxol-5-yl)-7-ethylimidazo[1,2-a]pyridine","C16 H14 N2 O2",0.03,266.10554,267.11281,17.105,"mz_cloud",NA,NA,NA,NA,NA,4694601.11093566,NA,NA
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",0.43,297.26691,298.27418,22.225,"mz_cloud",57532589.5672663,NA,4985818.01715335,3410550.20309703,4138387.50214541,NA,NA,4498194.54132718
1839,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",0.46,297.26692,298.27419,21.373,"mz_cloud",NA,10759786.8335095,NA,NA,NA,NA,NA,NA
2103,"2-Arachidonoyl glycerol","C23 H38 O4",0.03,378.27702,379.2843,22.307,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,6613917.13419146
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",0.61,320.1738,321.18109,14.561,"mz_cloud",90585179.0245279,30786808.4721785,18654672.7791806,39948401.817329,73648860.1256003,58723526.5126447,53616559.4411878,NA
2511,"2-Ethylmethcathinone","C12 H17 N O",0.04,191.13102,192.1383,16.546,"kps_psychoactive_substances_v2",NA,NA,NA,6062719.03512338,9059259.51628515,17702110.3015185,NA,8219434.70345017
239,"2-Hydroxybenzothiazole","C7 H5 N O S",0.31,151.00923,152.01651,12.502,"mz_cloud",NA,NA,NA,NA,NA,176288203.782019,34835677.4788354,NA
1586,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",-3.81,315.20471,316.21199,6.611,"mz_cloud",NA,NA,NA,23897510.4698943,NA,NA,NA,NA
2489,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",-3.7,315.20474,316.21202,1.274,"mz_cloud",NA,16401152.913635,NA,NA,NA,6863535.76801352,NA,NA
1186,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",-3.86,315.20469,316.21197,7.552,"mz_cloud",14457767.4798825,NA,42659599.0849308,NA,NA,NA,46440617.1287272,35156125.8081411
2925,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-methoxy-1H-benzimidazole","C19 H27 N3 O",0.51,313.21557,314.22285,19.678,"mz_cloud",NA,NA,NA,NA,NA,15012205.9532436,NA,NA
994,"2-benzylideneindan-1-one","C16 H12 O",-0.01,220.08881,221.09609,15.731,"mz_cloud",NA,NA,NA,29467699.2676996,NA,NA,NA,NA
4116,"25iP-NBOMe","C21 H29 N O3",0.24,343.21483,344.2221,21.436,"mz_cloud",8181239.23845789,NA,NA,NA,NA,NA,NA,NA
2281,"2C-G","C12 H19 N O2",1.39,209.14187,227.1754,14.415,"kps_psychoactive_substances_v2",NA,NA,16507662.408904,NA,NA,NA,NA,NA
2236,"2C-P","C13 H21 N O2",0.03,223.15724,224.16451,23.569,"kps_psychoactive_substances_v2",4359266.53930524,NA,3351483.81878404,2965346.85422058,NA,3751505.48929976,NA,NA
2906,"3,3,5,5-Tetramethylpyrroline-N-oxide","C8 H15 N O",0.46,141.11543,142.12271,22.378,"mz_cloud",NA,NA,NA,NA,NA,NA,2703263.98981794,NA
2979,"3,3,5,5-Tetramethylpyrroline-N-oxide","C8 H15 N O",0.41,141.11542,142.1227,10.459,"mz_cloud",14058583.168023,NA,NA,NA,NA,NA,NA,10493289.9597441
176,"3,4-Dimethylaniline","C8 H11 N",1.29,121.08931,122.09658,4.352,"kps_pharmaceuticals_oct22",245303709.594511,43918187.9577646,56754849.0510764,51630419.8218556,51652848.5856124,47428806.654571,46640257.1234743,137528723.073959
2695,"3,5-Dimethyl-1-phenylpyrazole","C11 H12 N2",0.1,172.10007,173.10734,15.501,"mz_cloud",NA,NA,NA,NA,16887406.2882005,NA,NA,17061566.4168146
477,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde","C15 H22 O2",-0.05,234.16197,235.16925,19.669,"mz_cloud",NA,NA,60906654.50444,111896015.151052,NA,NA,56838872.0039551,NA
912,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde","C15 H22 O2",-0.05,234.16197,235.16925,20.135,"mz_cloud",44950835.8878688,NA,NA,NA,NA,NA,NA,NA
2211,"3-(3,4,5-trimethoxyphenyl)propanoic acid","C12 H16 O5",-0.02,240.09977,241.10704,22.649,"mz_cloud",NA,NA,NA,NA,NA,NA,22185120.2307653,NA
2591,"3-Carboxymedetomidine","C13 H14 N2 O2",-0.02,230.10552,231.1128,15.042,"mz_cloud",NA,NA,7641399.55280989,11539419.7661062,NA,NA,10417170.5715813,NA
2251,"3-Hydroxycyclobenzaprine","C20 H21 N O",0.13,291.16235,292.16965,12.719,"mz_cloud",NA,NA,NA,NA,NA,21013931.3470751,NA,NA
1817,"3-Hydroxycyclobenzaprine","C20 H21 N O",0.24,291.16238,292.16966,17.331,"mz_cloud",NA,NA,NA,NA,NA,NA,28932192.8613686,NA
4860,"3-[(2H-1,3-benzodioxol-5-yl)methyl]-4-[(3,4-dimethoxyphenyl)methyl]oxolan-2-one","C21 H22 O6",-0.02,370.14163,371.14891,19.368,"mz_cloud",NA,NA,2965509.67360398,NA,NA,NA,NA,NA
854,"3-amino-2-phenyl-2H-pyrazolo[4,3-c]pyridine-4,6-diol","C12 H10 N4 O2",0.02,242.08038,243.08766,13.375,"mz_cloud",51922416.4829675,16049973.4404969,15562035.1923221,12823767.2315003,10306028.482012,NA,NA,6435971.37427644
3794,"3alpha-Androstanediol","C19 H32 O2",0.27,292.24031,293.24756,22.089,"kps_psychoactive_substances_v2",4784336.89782616,8621795.99955419,NA,NA,NA,NA,NA,NA
3140,"4'-Deoxycirramycin�A1_BTM02228","C29 H44 O10",1.22,552.29412,553.3014,15.423,"itn_cyp_metabolites",NA,NA,13384870.0675135,NA,NA,NA,NA,NA
2897,"4'-Methyl-α-pyrrolidinopropiophenone","C14 H19 N O",-0.12,217.14664,218.15392,18.169,"mz_cloud",15261263.0758244,NA,NA,NA,NA,NA,NA,NA
2514,"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]","C18 H18 O4 S",-0.04,330.09257,331.09984,18.563,"mz_cloud",NA,NA,17417777.2667257,NA,NA,NA,NA,NA
734,"4-Aminotetrahydrobiopterin","C9 H16 N6 O2",1.16,240.13375,241.14103,16.086,"kps_pharmaceuticals_oct22",56081530.2833041,NA,NA,NA,NA,NA,NA,NA
327,"4-Epianhydrotetracycline","C22 H22 N2 O7",0,426.1427,427.14998,18.118,"itn_kps",NA,NA,NA,NA,NA,104837865.385354,109114161.969796,NA
1437,"4-Heptylphenol","C13 H20 O",0.05,192.15143,193.1587,19.488,"kps_pharmaceuticals_oct22",NA,NA,NA,37819277.1735355,NA,5792300.81977783,15650241.8890908,NA
794,"4-Heptylphenol","C13 H20 O",0.07,192.15143,193.15871,19.274,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,21332856.8624278,NA,NA,37606206.0389623
3248,"4-Heptylphenol","C13 H20 O",-0.01,192.15141,193.15869,20.122,"kps_pharmaceuticals_oct22",5953267.75106562,NA,NA,NA,NA,NA,NA,NA
1424,"4-Heptylphenol","C13 H20 O",0.08,192.15143,193.15871,19.111,"kps_pharmaceuticals_oct22",NA,14451050.2104819,24271437.4602836,NA,NA,NA,NA,NA
3108,"4-Hexylresorcinol","C12 H18 O2",0.16,194.13071,195.13799,17.551,"kps_pharmaceuticals_oct22",NA,NA,2079491.08811561,NA,NA,NA,NA,NA
2441,"4-Methoxy PV9","C19 H29 N O2",0.43,303.21996,304.22724,13.228,"mz_cloud",NA,NA,NA,NA,NA,19600677.8466393,NA,NA
1893,"4-Methoxyamphetamine","C10 H15 N O",0.14,165.11539,166.12266,17.851,"kps_psychoactive_substances_v2",NA,7377453.98137875,11379823.1329343,4164218.39732544,1302954.90769475,18490407.8667916,22011001.3283869,924282.139111183
472,"4-Oxosebacic Acid","C10 H16 O5",-0.11,216.09975,239.08898,10.02,"kps_pharmaceuticals_oct22",NA,10276846.6734374,19708493.3293604,17920197.9688385,NA,NA,NA,NA
137,"4-[(6E)-3-Hydroxy-8,10-dimethyl-2-(methylamino)-6-dodecen-1-yl]phenol","C21 H35 N O2",0.6,333.26698,334.27426,17.409,"mz_cloud",NA,NA,255856613.470628,23747431.2667738,NA,NA,NA,NA
1954,"4-[(6E)-3-Hydroxy-8,10-dimethyl-2-(methylamino)-6-dodecen-1-yl]phenol","C21 H35 N O2",0.65,333.267,334.27427,19.006,"mz_cloud",NA,NA,NA,NA,NA,26369883.6816593,NA,NA
146,"4-[(6E)-3-Hydroxy-8,10-dimethyl-2-(methylamino)-6-dodecen-1-yl]phenol","C21 H35 N O2",0.63,333.26699,334.27426,15.514,"mz_cloud",9836061.27087744,12890915.4900963,NA,NA,NA,NA,NA,NA
1914,"4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]benzoic acid","C18 H24 N2 O2",1.09,300.18411,301.19119,17.56,"mz_cloud",NA,4023452.11516593,27116940.3084395,502523.706349261,NA,NA,NA,479956.522757305
3618,"4-amino-1-phenyl-6-(phenylimino)-1,2,5,6-tetrahydro-1,3,5-triazin-2-one","C15 H13 N5 O",0.21,279.11207,280.11934,16.097,"mz_cloud",NA,NA,9221559.57395578,NA,NA,NA,NA,NA
5104,"4-chloro-2-(1H-pyrazol-3-yl)phenol","C9 H7 Cl N2 O",1.14,194.02491,195.03219,21.753,"mz_cloud",2577289.80523051,NA,NA,3030204.56651156,NA,NA,NA,NA
3688,"4-hydroxy-1-phenyl-1,2-dihydroquinolin-2-one","C15 H11 N O2",0.02,237.07898,238.08626,17.895,"mz_cloud",NA,NA,7188610.76414287,NA,NA,NA,NA,NA
2737,"4-hydroxy-3-(3-methylbut-2-en-1-yl)benzoic acid","C12 H14 O3",-0.09,206.09428,207.10155,21.492,"mz_cloud",NA,NA,2362619.46418481,NA,NA,NA,NA,NA
2637,"4-piperidin-4-ylbutal","C9 H17 N O",0.15,155.13104,156.13831,23.522,"kps_pharmaceuticals_oct22",NA,NA,3815867.58228741,3081735.89987394,NA,NA,NA,NA
1477,"4-piperidin-4-ylbutal","C9 H17 N O",0.3,155.13106,156.13834,1.353,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,9316382.68317702,NA,NA
639,"4-piperidin-4-ylbutal","C9 H17 N O",0.51,155.13109,156.13837,2.662,"kps_pharmaceuticals_oct22",86075264.5727213,NA,NA,NA,NA,NA,50695501.7244241,NA
3999,"4-piperidin-4-ylbutal","C9 H17 N O",0.18,155.13104,156.13832,22.709,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,3672819.88817065,NA,NA,NA
4454,"4-{5-[(3R,4S,6R)-6-(Aminomethyl)-1-azabicyclo[2.2.2]oct-3-yl]-1-methyl-1H-pyrazol-3-yl}-N,N-dimethylaniline","C20 H29 N5",0.43,339.24244,340.24972,22.01,"mz_cloud",6199180.42366361,NA,NA,4100501.3872794,NA,NA,NA,NA
436,"4-{[(7-Isopropyl-1,4a-dimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthren-1-yl)methyl]amino}-4-oxobut-2-enoic acid","C24 H33 N O3",0.16,383.2461,384.25338,22.476,"mz_cloud",12287812.4210255,6593121.87945964,6562968.56674359,3365942.57993632,6154049.09596882,NA,NA,NA
263,"5(Z),8(Z),11(Z)-Eicosatrienoic acid methyl ester","C21 H36 O2",0.64,320.27174,321.27901,22.922,"mz_cloud",150347962.890677,26062748.7887799,150294793.086984,51137674.0070094,50642115.9392146,37148096.2120638,124094879.125635,182137220.722198
2334,"5-(4-methylphenyl)-2-phenyl-6H-1,3-thiazin-6-one","C17 H13 N O S",-2.86,279.07099,280.07826,18.246,"mz_cloud",NA,2248526.18468133,15248028.7214797,11287603.3972046,16527065.5581043,NA,NA,13316311.9509149
2766,"5-(tert-butyl)-2-methyl-N-(4-nitrophenyl)-3-furamide","C16 H18 N2 O4",0.55,302.12682,303.1341,12.959,"mz_cloud",NA,NA,NA,7975312.84519056,NA,NA,NA,NA
168,"5-Methoxyindole","C9 H9 N O",0.33,147.06846,148.07574,12.078,"mz_cloud",266042586.807002,NA,NA,NA,NA,NA,NA,NA
791,"5-Methyl-2-[(3S)-1-(1-methyl-4-piperidinyl)-3-pyrrolidinyl]-1,3-benzoxazole","C18 H25 N3 O",0.44,299.19989,300.20717,18.309,"mz_cloud",NA,9399538.32484575,NA,NA,NA,NA,NA,26983216.5882002
2549,"5-Methyl-2-[(3S)-1-(1-methyl-4-piperidinyl)-3-pyrrolidinyl]-1,3-benzoxazole","C18 H25 N3 O",0.15,299.19981,300.20708,17.135,"mz_cloud",NA,NA,18463767.6843619,NA,NA,NA,NA,NA
2289,"5-Phenylvaleric acid","C11 H14 O2",0.07,178.09939,179.10667,19.51,"kps_pharmaceuticals_oct22",NA,21206439.4094604,NA,19276272.6327122,13587247.4297298,NA,NA,12186359.3568023
4982,"5-[5-(methoxycarbonyl)-5,8a-dimethyl-2-methylidene-decahydronaphthalen-1-yl]-3-methylpentanoic acid","C21 H34 O4",-0.18,350.24565,351.25292,21.364,"mz_cloud",1493917.14500212,NA,NA,NA,NA,NA,NA,NA
1174,"5-hydroxy-2,2,6,6-tetramethyl-4-{2-methyl-1-[2,4,6-trihydroxy-3-(2-methylpropanoyl)phenyl]propyl}cyclohex-4-ene-1,3-dione","C24 H32 O7",0.08,432.21484,433.22211,22.695,"mz_cloud",NA,7782916.93351085,8218896.58310507,4400676.29240015,12184489.5289434,NA,46891720.6016268,6421137.93794329
2688,"6-(7-methyloctyl)-1H,3H,4H,6H-furo[3,4-c]furan-1-one","C15 H24 O3",-0.08,252.17252,253.1798,17.62,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,15232346.0269598
2422,"6-Allyl-o-cresol","C10 H12 O",0.26,148.08885,149.09613,18.702,"itn_cyp_metabolites",NA,NA,1693626.24317596,NA,NA,11978972.9115991,10763919.0699017,NA
3909,"6-Hexanoyl-D-erythro-sphingosine","C24 H47 N O3",0.21,397.35568,398.36296,21.542,"mz_cloud",NA,7182594.1298857,6422605.84907438,NA,7662369.20477431,4945654.91788521,4555369.40774476,NA
2307,"7-Hydroxycoumarine","C9 H6 O3",0.09,162.03171,163.03898,20.41,"mz_cloud",2959168.88033441,NA,4175790.94085834,20964933.005631,NA,NA,NA,NA
3556,"7-Hydroxycoumarine","C9 H6 O3",0,162.03169,163.03897,21.82,"mz_cloud",NA,NA,NA,NA,5930872.10649596,NA,NA,NA
5545,"7-chloro-4-piperidinoquinoline","C14 H15 Cl N2",-0.08,246.09236,247.09963,18.544,"mz_cloud",NA,969135.83696119,NA,NA,NA,NA,NA,NA
814,"8-Hydroxychinolin","C9 H7 N O",0.33,145.05281,146.06009,11.007,"itn_kps",25016475.2618997,45688568.3151677,20131704.4238054,20767185.0303922,20298698.331247,NA,NA,45967437.3116095
1420,"8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid","C18 H28 O3",0.14,292.20389,293.21116,19.534,"mz_cloud",NA,38255456.2842878,NA,7574092.44278284,NA,NA,NA,NA
1056,"8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid","C18 H28 O3",0.18,292.2039,293.21117,19.648,"mz_cloud",NA,NA,NA,NA,51818811.1254544,NA,NA,17083207.8118732
2529,"8-{3-Oxo-2-[(2E)-2-penten-1-yl]-1-cyclopenten-1-yl}octanoic acid","C18 H28 O3",0.05,292.20386,293.21114,20.115,"mz_cloud",18597782.3263663,NA,NA,NA,NA,NA,NA,NA
953,"9-Aminocamptothecin","C20 H17 N3 O4",0.19,363.12197,364.12925,9.578,"kps_pharmaceuticals_oct22",NA,NA,10091224.8444761,NA,NA,NA,NA,8605388.03993532
2894,"9-Oxo-10(E),12(E)-octadecadienoic acid","C18 H30 O3",0.49,294.21964,295.22691,17.201,"mz_cloud",NA,NA,NA,3199807.31318725,NA,NA,NA,NA
