"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample_location","group_area","peak_rating","mass_list_name","mass_list_match"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",13569154.9764426,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",13569154.9764426,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",13569154.9764426,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",3495758574.30177,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",3495758574.30177,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",3495758574.30177,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_op_y104",1695659307.31404,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_op_y104",1695659307.31404,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_op_y104",1695659307.31404,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",3361933923.57355,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",3361933923.57355,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",3361933923.57355,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",6358574.56899241,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",6358574.56899241,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",6358574.56899241,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",3585018554.46398,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",3585018554.46398,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",3585018554.46398,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",3157979823.98376,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",3157979823.98376,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",3157979823.98376,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",4127968910.45862,8.9,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",4127968910.45862,8.9,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",4127968910.45862,8.9,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",2790295104.88382,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",2790295104.88382,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",2790295104.88382,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",2316804053.38532,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",2316804053.38532,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",2316804053.38532,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",4216884.90045483,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",4216884.90045483,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",4216884.90045483,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",3068426283.5197,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",3068426283.5197,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",3068426283.5197,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_3_10y_171221",10344561.9726125,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_3_10y_171221",10344561.9726125,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_3_10y_171221",10344561.9726125,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_104_171221",1227005.84104524,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_104_171221",1227005.84104524,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg_104_171221",1227005.84104524,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",3583708437.69379,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",3583708437.69379,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",3583708437.69379,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",4449273525.1311,8.9,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",4449273525.1311,8.9,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",4449273525.1311,8.9,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",2560531929.2167,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",2560531929.2167,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",2560531929.2167,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg104_140622",4053269045.14316,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg104_140622",4053269045.14316,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_eg104_140622",4053269045.14316,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",2552792191.77279,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",2552792191.77279,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",2552792191.77279,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",4058243403.69987,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",4058243403.69987,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",4058243403.69987,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",3024992832.59961,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",3024992832.59961,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",3024992832.59961,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_250122",1621446.8669764,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_250122",1621446.8669764,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_250122",1621446.8669764,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",3970499435.18597,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",3970499435.18597,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",3970499435.18597,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",880574105.040042,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",880574105.040042,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",880574105.040042,9.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_7104_250122",1655244.01567842,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_7104_250122",1655244.01567842,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op_7104_250122",1655244.01567842,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",4313229826.20397,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",4313229826.20397,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",4313229826.20397,7.8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","lysimeter_op3_104_140622",3820350554.922,9.5,"mz_cloud","No matches found"
