"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","lysimeter_control_op_260122","thailand_sample_8","landfill_eg_0_3y","landfill_eg_3_10y","landfill_eg_y104","landfill_op_y104","lysimeter_control_eg_171221","lysimeter_control_eg_250122","lysimeter_control_op_171221","lysimeter_eg_03y_171221","lysimeter_eg_03y_250122","lysimeter_eg_0_3y_14062022","lysimeter_op_10y_140622","lysimeter_op_10y_171222","lysimeter_control_op_140622","lysimeter_eg_3_10y_171221","lysimeter_op_0_3y_171221","thailand_sample_7","crh_fst1","crh_fst5","crh_inlet","lysimeter_eg3_104_140622","lysimeter_eg3_104_250122_20221003231510","lysimeter_op3_104_140622","crh_fst2","crh_fst3","crh_fst4","lysimeter_control_eg_140622","lysimeter_eg104_140622","lysimeter_eg3_104_250122","lysimeter_eg_104_171221","lysimeter_op0_34_140622","lysimeter_op_0_3y_250122","lysimeter_op_3_10y_171221","lysimeter_op_3_10y_250122","lysimeter_op_7104_250122","thailand_sample_1","thailand_sample_2","thailand_sample_3","thailand_sample_5","thailand_sample_6","thailand_sample_4"
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"mz_cloud",NA,NA,NA,NA,822884.506617758,NA,890502.773767772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198263.90945578,1071421.91247657,1306097.6653337,1072660.58853258,1080286.68361994,1143971.89546093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"mz_cloud",6469499.80520564,6358334.03498438,5452450.03292151,5105734.38212597,6648432.31249644,5464844.13614641,NA,6246425.12722442,6397272.19560187,7535425.88263462,6719297.12021893,7254851.37485839,7621874.88077259,6157762.51718305,6746695.27431181,5856363.1195581,6340976.66076406,5527322.57428903,6564240.84509841,7446223.10775904,8856830.50461465,6517161.77482739,6566168.6372909,6868276.10363282,7314359.28534978,8212368.25926525,7281302.37821766,6780237.63527777,6983076.40089912,8085942.92502565,6509802.19840423,6189915.67194859,6219901.00902228,6946030.63486055,6605736.53326411,6714863.80786084,5799058.67522232,5878042.31803888,5317265.76592556,6911030.38954166,6027914.65007053,NA
1493,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.18,418.17018,419.17746,20.938,"mz_cloud",NA,NA,NA,NA,NA,NA,2729710.12498593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2798,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.18,163.06336,164.07063,2.478,"kps_psychoactive_substances_v2",NA,NA,1256059.2792905,2238273.50772596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3824,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.23,163.06337,164.07064,2.138,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,899790.656607016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3008,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.08,163.06334,164.07061,1.306,"kps_psychoactive_substances_v2",389061.892694958,NA,NA,NA,NA,NA,NA,NA,821967.909737436,NA,NA,NA,NA,356391.903148305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132055.455129473,NA,NA,NA,129816.935544188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3708,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.21,163.06336,164.07064,3.363,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,1562977.62234517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2500,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.15,163.06335,164.07063,8.846,"kps_psychoactive_substances_v2",NA,2343138.99991669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2531123.63864458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5710,"(2E)-5-hydroxy-N-[3-(5-{3-[(2E)-5-hydroxy-3-methylpent-2-enamido]propyl}-3,6-dioxopiperazin-2-yl)propyl]-3-methylpent-2-enamide","C22 H36 N4 O6",-0.06,452.26346,475.25266,8.771,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,807676.082360906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5513,"(2R)-5-Methoxy-2-methyl-2,3,8,9-tetrahydro-4H-furo[2,3-H]chromen-4-one","C13 H14 O4",-0.05,234.0892,235.09661,14.597,"mz_cloud",NA,NA,866272.995929436,NA,NA,515399.578187633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3578,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-(propan-2-yloxy)oxane-3,4,5-triol","C9 H18 O6",0.54,222.11046,245.09968,7.092,"mz_cloud",1479812.89995124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1327477.34801049,NA,1114340.53678943,NA,NA,NA,1237205.42192394,1235332.57500194,NA,NA,1655840.87721458,1501803.71464695,NA,NA,NA,NA,NA,NA,NA,NA,NA
6078,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",0.53,254.15194,255.15923,15.65,"mz_cloud",NA,NA,NA,NA,NA,NA,297496.809555233,117664.000530499,NA,NA,172488.045297035,172877.642560802,NA,NA,NA,NA,NA,NA,363126.549347652,238975.167814281,350272.419515018,NA,NA,NA,252587.667464161,294178.235018783,309995.919505461,NA,NA,NA,NA,NA,NA,NA,NA,NA,173598.347974007,323769.506895436,295697.243212918,233439.297538728,120345.947780659,122176.136866097
4335,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",0.47,254.15193,255.15921,16.597,"mz_cloud",110963.373824355,NA,1278236.53442056,NA,287923.001305472,553794.455371573,NA,NA,225460.754374515,NA,NA,NA,278866.411611888,291392.394341928,157644.887774559,205914.148552037,NA,NA,NA,NA,NA,200288.956437568,138162.525830521,240645.920465228,NA,NA,NA,NA,168773.43728081,NA,NA,NA,NA,191709.793482148,102260.444789213,151749.417056425,NA,NA,NA,NA,NA,NA
5714,"(2S)-2-(2-hydroxypropan-2-yl)-2H,3H,7H-furo[3,2-g]chromen-7-one","C14 H14 O4",0.44,246.08932,247.09659,12.927,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,583494.923552184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3128,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",0.22,470.23643,493.22568,10.991,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,1944553.79181546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4579,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",0.57,282.18327,283.19055,16.181,"mz_cloud",NA,NA,NA,NA,NA,NA,1177464.50538061,NA,972102.55040315,NA,NA,NA,NA,NA,NA,NA,981854.403683246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,865956.010877663,NA,NA,NA,NA,NA,NA,NA,NA
7991,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",0.41,282.18323,283.1905,15.773,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212055.831965909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,"(3aS,10aR,10bR)-6,10a-Dimethyl-3-methylene-3,3a,4,5,7,8,10a,10b-octahydrofuro[3',2':6,7]cyclohepta[1,2-b]pyran-2,9-dione","C15 H18 O4",0.57,262.12066,263.12794,14.352,"mz_cloud",NA,3499788.15200734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3459379.76929405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,"(4aS,9aR)-2-Benzoyl-7-[2-(1H-imidazol-4-yl)ethyl]decahydro-6H-pyrido[3,4-d]azepin-6-one","C21 H26 N4 O2",-3.55,366.20428,389.19349,16.72,"mz_cloud",NA,NA,NA,23928389.0883907,NA,1390807.65622098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,"(6E)-10-Heptyl-5,8,9-trihydroxy-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one","C16 H28 O5",0.09,300.1937,323.18292,16.255,"mz_cloud",NA,NA,NA,NA,NA,NA,19104477.9660008,NA,16482960.7962042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2609,"(6E)-10-Heptyl-5,8,9-trihydroxy-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one","C16 H28 O5",0.25,300.19375,323.18297,15.766,"mz_cloud",963700.229520008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2431689.68954515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
459,"(6E)-10-Heptyl-5,8,9-trihydroxy-3,4,5,8,9,10-hexahydro-2H-oxecin-2-one","C16 H28 O5",0.2,300.19373,323.18295,16.169,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9860005.56878994,NA,NA,NA,NA,NA,NA,NA,NA
7598,"(7R,8S)-7,8-Dihydroxy-3,7-dimethyl-6-oxo-7,8-dihydro-6H-isochromene-5-carbaldehyde","C12 H12 O5",0.89,236.06868,237.07596,9.988,"mz_cloud",NA,NA,NA,NA,NA,NA,300775.404819947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5312,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",0.56,260.10501,261.11228,14.93,"mz_cloud",NA,NA,NA,924351.934763191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3910,"(9aR,9bS)-9a-Hydroxy-6,9-dimethyl-3-methylene-3,3a,4,5,9a,9b-hexahydroazuleno[4,5-b]furan-2,7-dione","C15 H16 O4",0.54,260.105,261.11228,13.002,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,1476260.50046381,NA,NA,NA,NA,NA,NA,NA,725306.35656904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1416281.73490668,NA,NA,NA,NA,NA,NA,NA,NA
2650,"(S)-CPW 399","C10 H13 N3 O4",0.51,239.09073,240.098,1.392,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2381927.86217614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196406.842845434,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,"(S)-Histidinol","C6 H11 N3 O",0.45,141.09028,142.09755,2.3,"kps_pharmaceuticals_oct22",NA,NA,30818696.4492669,22016029.6188079,3405646.98830913,1609992.17196215,6377799.83146704,576214.157988345,647741.750435627,10802405.0682278,2084248.8297983,1193028.51626134,NA,NA,NA,3954055.40575074,729660.056333511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425615.335925918,425831.89736158,531738.183957159,NA,547855.358644733,NA,NA,NA,NA,NA,NA,NA,NA
791,"(S)-MCPG","C10 H11 N O4",0.27,209.06887,210.07612,3.222,"kps_pharmaceuticals_oct22",NA,NA,NA,2966512.02648447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1194,"(S)-MCPG","C10 H11 N O4",0.12,209.06883,210.07609,1.349,"kps_pharmaceuticals_oct22",724878.450855389,NA,NA,NA,NA,5477006.79530099,1295181.2701433,NA,1202434.17612295,NA,749463.092708974,251914.151424318,NA,3245898.10853316,542188.987960583,1815980.57149627,NA,NA,NA,NA,NA,NA,327822.825371984,NA,NA,NA,NA,286324.260878993,NA,421219.999507913,378378.714831362,375567.527870814,NA,NA,NA,227033.396188693,NA,NA,NA,NA,574869.043742523,NA
393,"(S)-MCPG","C10 H11 N O4",0.14,209.06884,210.07611,1.731,"kps_pharmaceuticals_oct22",NA,15731539.9952532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7725239.29539993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6162,"(S)-Rolipram","C16 H21 N O3",0.37,275.15224,276.15952,7.415,"kps_pharmaceuticals_oct22",NA,NA,681307.347770773,NA,NA,NA,NA,NA,NA,NA,113240.414291265,NA,NA,NA,NA,125044.592523408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7382,"(dmt)thiazolidine","C6 H11 N O2 S",0.24,161.05109,162.05836,1.347,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,123624.617532269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128924.316252777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,"(dmt)thiazolidine","C6 H11 N O2 S",0.18,161.05108,162.05835,1.907,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3236216.78086929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1061618.72519054,NA,NA,NA,NA,NA,NA,NA,NA
944,"1,10-Phenanthroline","C12 H8 N2",0.32,180.06881,181.07606,9.949,"kps_pharmaceuticals_oct22",NA,5803229.38956127,NA,1226555.84096121,NA,NA,NA,NA,NA,485134.613148721,NA,NA,NA,NA,NA,NA,NA,6822870.64925446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125089.756043496,NA,NA,NA,NA,NA,NA,NA,NA,NA
3304,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.39,239.18862,240.1959,10.049,"mz_cloud",NA,NA,599567.043205156,821218.28821132,NA,NA,545624.789970842,NA,NA,1822731.31508949,NA,NA,NA,NA,NA,235694.567993238,132610.958821674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4893,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",0.42,239.18863,240.19591,9.815,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,313765.613085924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123206.533303236,261502.666122108,NA,NA,NA,NA,NA,NA,NA,NA
2583,"1,2,3,4-Tetramethyl-1,3-cyclopentadiene","C9 H14",0.92,122.10966,123.11694,11.531,"mz_cloud",NA,NA,NA,2455458.77214253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564802.829797495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2309,"1,3,5-Tris(4-benzoylphenyl) benzene","C45 H30 O3",1.04,618.22014,619.22742,8.862,"mz_cloud",2317485.26139714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2326356.71239294,NA,NA,2421659.25550682,NA,NA,NA,NA,NA,NA,2744790.73230046,NA,NA,NA,NA,NA,NA,NA,2462565.82838473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1317,"1,3,5-Tris(4-benzoylphenyl) benzene","C45 H30 O3",0.86,618.22003,619.2273,9.092,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4026783.92699206,3754404.85034055,NA,5024377.21384417,NA,NA
2440,"1,3,7-Trihydroxy-6-methoxy-4,5-diisoprenylxanthone","C24 H26 O6",0.23,410.17303,411.18031,20.88,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,611902.204561025,NA,NA,NA,NA,NA,NA,NA,973454.639597309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2590022.70180376,NA,NA,NA,NA,NA,NA,NA,NA
4811,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",0.04,201.11537,202.12265,8.27,"mz_cloud",NA,NA,1099803.82829155,NA,166271.339682682,345722.93755929,106790.594726899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5771,"1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O",-0.02,201.11536,202.12264,9.654,"mz_cloud",NA,NA,NA,464175.854162982,NA,NA,NA,NA,NA,573404.299977495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
