"","name","formula","category","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_efs_hram_compound_database","mass_list_match_antibiotics_itn_msca_answer_160616_w_dtxsi_ds","psychoactive_substances","pharmaceuticals_oct22","mass_list_match_itn_kps","mass_list_match_clews_list","ms2","reference_ion","count_2","sample","intensity"
"11","(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O","Natural products","Full match","Full match","No results",0.406666666666667,223.193706666667,224.20098,9.63466666666667,2615370.41851356,3,90.0666666666667,69.7333333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",4,"sc_015",226925.345743088
"12","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_001",1065439.50843582
"13","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_002",2107060.85059978
"14","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_003",3890829.76595552
"15","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_005",1013473.6471425
"16","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_007",872032.131159712
"17","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_009",378967.973667451
"18","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_010",526164.694102797
"19","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_014",1345535.92697386
"20","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_015",558641.657564266
"21","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_020",425965.549337651
"22","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",11,"sc_023",1149706.32546994
"23","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_001",9031565.1687317
"24","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_002",11708319.5333414
"25","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_003",6926870.1950368
"26","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_004",10351944.1343217
"27","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_005",10639728.5876314
"28","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_007",4784310.83703773
"29","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_008",10353002.1710836
"30","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_009",8391839.13787918
"31","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_010",8430601.91417606
"32","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_011",6418693.60624937
"33","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_012",8812480.30535572
"34","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_013",7934952.41666774
"35","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_014",7091968.5611729
"36","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_015",6334861.38722127
"37","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_016",7509740.51938553
"38","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_017",7050259.29344121
"39","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_018",7257656.03174929
"40","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_020",5151022.28533234
"41","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",19,"sc_023",4386686.01548818
"42","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",11,"sc_003",1020557.73031393
"43","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",11,"sc_004",68848.0082262029
"44","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",11,"sc_005",56898.8096877313
"45","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",11,"sc_007",370887.407874931
"46","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",11,"sc_008",568598.166800288
"47","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",11,"sc_020",344738.701900963
"48","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",11,"sc_023",1012532.30999411
"49","(3E)-4-methyl-3-(phenylmethylidene)-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione","C17 H14 N2 O2","Others","Full match","Not the top hit","No results",0.37,278.10563,279.11292,17.179,450284.953994329,9,86,53.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",2,"sc_014",439294.995800395
"50","(3E)-4-methyl-3-(phenylmethylidene)-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione","C17 H14 N2 O2","Others","Full match","Not the top hit","No results",0.37,278.10563,279.11292,17.179,450284.953994329,9,86,53.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",2,"sc_016",76124.5676313711
"51","(3R,4R,5R)-N-(3-Amino-3-oxopropyl)-3-{[(3-fluorophenyl)carbamoyl]amino}-4,5-dihydroxy-1-cyclohexene-1-carboxamide","C17 H21 F N4 O5","Industrial/Intermediate","Full match","Not the top hit","No results",4.24,380.15121,381.15838,21.238,966316.644888998,13,41.5,59.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",5,"sc_003",431613.816321531
"52","(3R,4R,5R)-N-(3-Amino-3-oxopropyl)-3-{[(3-fluorophenyl)carbamoyl]amino}-4,5-dihydroxy-1-cyclohexene-1-carboxamide","C17 H21 F N4 O5","Industrial/Intermediate","Full match","Not the top hit","No results",4.24,380.15121,381.15838,21.238,966316.644888998,13,41.5,59.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",5,"sc_007",743632.999533908
"53","(3R,4R,5R)-N-(3-Amino-3-oxopropyl)-3-{[(3-fluorophenyl)carbamoyl]amino}-4,5-dihydroxy-1-cyclohexene-1-carboxamide","C17 H21 F N4 O5","Industrial/Intermediate","Full match","Not the top hit","No results",4.24,380.15121,381.15838,21.238,966316.644888998,13,41.5,59.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",5,"sc_008",115442.114834724
"54","(3R,4R,5R)-N-(3-Amino-3-oxopropyl)-3-{[(3-fluorophenyl)carbamoyl]amino}-4,5-dihydroxy-1-cyclohexene-1-carboxamide","C17 H21 F N4 O5","Industrial/Intermediate","Full match","Not the top hit","No results",4.24,380.15121,381.15838,21.238,966316.644888998,13,41.5,59.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",5,"sc_014",442432.748592073
"55","(3R,4R,5R)-N-(3-Amino-3-oxopropyl)-3-{[(3-fluorophenyl)carbamoyl]amino}-4,5-dihydroxy-1-cyclohexene-1-carboxamide","C17 H21 F N4 O5","Industrial/Intermediate","Full match","Not the top hit","No results",4.24,380.15121,381.15838,21.238,966316.644888998,13,41.5,59.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",5,"sc_023",345136.31977316
"56","(3S,4S,5R)-4-[(2R,3R)-2,3-dihydroxy-3-[(2R,4S,5R,7R,11S,14S,15R)-4,5,11-trihydroxy-2,15-dimethyl-8-oxotetracyclo[8.7.0.0Â?,â·.0ÂaÂa,Âaâµ]heptadec-9-en-14-yl]butyl]-3,5-dimethyloxolan-2-one","C29 H44 O8","Others","Full match","Full match","No results",-4.58,520.30124,521.30852,21.519,27858876.0793216,1,32.4,6.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",1,"sc_011",77572.3082861192
"57","(4-amino-1,2,5-oxadiazol-3-yl)(1-pyrrolidinyl)methanone oxime","C7 H11 N5 O2","Industrial/Intermediate","Full match","Not the top hit","No results",0.12,197.0913,198.09857,4.088,5311694.62907643,4,76.2,47.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",6,"sc_008",559959.922853724
"58","(4-amino-1,2,5-oxadiazol-3-yl)(1-pyrrolidinyl)methanone oxime","C7 H11 N5 O2","Industrial/Intermediate","Full match","Not the top hit","No results",0.12,197.0913,198.09857,4.088,5311694.62907643,4,76.2,47.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",6,"sc_009",338962.269866066
"59","(4-amino-1,2,5-oxadiazol-3-yl)(1-pyrrolidinyl)methanone oxime","C7 H11 N5 O2","Industrial/Intermediate","Full match","Not the top hit","No results",0.12,197.0913,198.09857,4.088,5311694.62907643,4,76.2,47.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",6,"sc_014",4628702.27820109
"60","(4-amino-1,2,5-oxadiazol-3-yl)(1-pyrrolidinyl)methanone oxime","C7 H11 N5 O2","Industrial/Intermediate","Full match","Not the top hit","No results",0.12,197.0913,198.09857,4.088,5311694.62907643,4,76.2,47.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",6,"sc_015",5253946.92394143
"61","(4-amino-1,2,5-oxadiazol-3-yl)(1-pyrrolidinyl)methanone oxime","C7 H11 N5 O2","Industrial/Intermediate","Full match","Not the top hit","No results",0.12,197.0913,198.09857,4.088,5311694.62907643,4,76.2,47.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",6,"sc_020",389157.277998811
"62","(4-amino-1,2,5-oxadiazol-3-yl)(1-pyrrolidinyl)methanone oxime","C7 H11 N5 O2","Industrial/Intermediate","Full match","Not the top hit","No results",0.12,197.0913,198.09857,4.088,5311694.62907643,4,76.2,47.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",6,"sc_023",3411991.94126615
"63","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_001",7231805.04087053
"64","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_002",15709543.146577
"65","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_003",24079701.5377268
"66","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_004",8831442.75262088
"67","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_005",23213147.5078492
"68","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_007",3011937.04371498
"69","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_008",5043154.46144935
"70","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_009",3299532.68186069
"71","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_010",4312024.93851323
"72","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_011",7256153.45986441
"73","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_012",3306948.63325079
"74","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_013",3339457.37231323
"75","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_014",4212826.56125238
"76","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",49,"sc_015",3717185.71581105
