"","name","formula","category","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_efs_hram_compound_database","mass_list_match_antibiotics_itn_msca_answer_160616_w_dtxsi_ds","psychoactive_substances","pharmaceuticals_oct22","mass_list_match_itn_kps","mass_list_match_clews_list","ms2","reference_ion","sc_001","sc_002","sc_003","sc_004","sc_005","sc_007","sc_008","sc_009","sc_010","sc_011","sc_012","sc_013","sc_014","sc_015","sc_016","sc_017","sc_018","sc_020","sc_023","count_2"
"14","(8alpha,10xi)-6-Methyl-8-(2H-tetrazol-2-ylmethyl)ergoline","C17 H20 N6","Others","Not the top hit","Invalid mass","Full match",1.83,308.17551,309.18276,19.373,493303.079940708,6,96.9,9.8,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for other ion","[M+H]+1",NA,NA,NA,NA,NA,418839.329961321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"15","(9Z)-1-Methoxy-1-oxo-9-octadecene-2-sulfonic acid","C19 H36 O5 S","Others","No match","Invalid mass","Full match",3.99,376.22984,377.23712,22.122,432154.181123301,7,83.7,9.2,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",161599.475758976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16","1,1'-(1,2-Cyclohexanediyldiimino)bis(2-methyl-2-propanethiol)","C14 H30 N2 S2","Others","No match","Invalid mass","Full match",3.11,290.185943333333,291.193223333333,19.4823333333333,1032233.76623866,7,54.7666666666667,38.0333333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,543703.416743184,NA,NA,NA,NA,802487.117234302,NA,NA,864084.763587859,NA,NA,NA,NA,5
"17","1,1'-(1,8-Octanediyl)bis(2-amino-1,5-dihydro-4H-imidazol-4-one)","C14 H24 N6 O2","Others","Not the top hit","Invalid mass","Full match",1.716,308.196604,309.203882,19.6314,5345972.50615615,31,93.56,9.7,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",771080.081646218,709481.472343531,1309251.72025316,1743154.46300428,826352.32767713,NA,362881.743986238,1170164.4076919,1166906.65940499,2183461.51520968,16631758.207659,908138.359705475,1435589.7311829,2080785.02450739,868153.430211431,1683349.71573191,3094166.52488083,1791205.28708681,1204164.12750656,28
"18","1,10-Phenanthroline","C12 H8 N2","Industrial/Intermediate","Full match","Invalid mass","Full match",0.34,180.06881,181.07609,9.533,1558941.89919717,4,95.4,9.8,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,143762.469889334,NA,NA,654966.28707674,NA,NA,NA,146142.733758435,1487688.04213576,714458.454558249,213253.043499066,NA,NA,NA,630441.384081007,7
"19","1,12-Diazidododecane","C12 H24 N6","Industrial/Intermediate","Full match","No results","Full match",2.085,252.20677,253.213905,21.5315,1405259.06094884,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",578604.158426274,125911.390620662,212299.793178192,267278.685649044,385765.171790387,NA,136955.074722983,NA,804653.829056236,419901.095005994,343589.515895546,295610.663571803,286614.887952276,187855.660484502,160415.240634363,268218.020035573,339663.752824743,296910.671231152,561528.763929973,28
"20","1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2","Others","Full match","Full match","No results",0.34625,239.1886125,240.19588875,9.029875,1750427.46595898,8,72.45,46.05,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,1222284.99111685,NA,NA,NA,NA,NA,NA,NA,NA,238344.850955712,1894962.00763069,1522265.37299993,644899.728274544,NA,NA,NA,328612.167646065,15
"21","1,2,3,4-Tetrahydroisoquinoline-1-acetic acid","C11 H13 N O2","Others","Full match","Full match","No results",0.2175,191.09467,192.1019525,10.214,2535514.52859483,5,35.125,6.775,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,1972740.42646333,NA,2583723.00169361,NA,NA,NA,NA,2609304.45186814,NA,297490.318732121,NA,318066.441511701,NA,NA,6
"22","1,2,3,4-Tetramethyl-1,3-cyclopentadiene","C9 H14","Others","Full match","Full match","No results",1.025,122.109675,123.11696,14.574,4686548.11592518,2,89.6,56.55,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,2477730.57962251,999989.447702151,657226.608905445,NA,NA,NA,1143207.28918112,NA,NA,NA,NA,NA,4
"23","1,2-Benzodiazepine","C9 H8 N2","Pharmaceuticals","Full match","Partial match","Full match",0.63,144.06884,145.07612,11.278,10608063.5500089,4,95,9.8,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,10231921.7511274,NA,NA,NA,39552.6399119108,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"24","1,2-di(3,4-dimethoxyphenyl)diaz-1-ene","C16 H18 N2 O4","Pharmaceuticals","Full match","Not the top hit","No results",0.59,302.12684,303.13412,15.694,2306336.33780226,10,78.8,8.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,279179.996165567,NA,NA,NA,NA,NA,2138100.44612243,157951.210979697,153386.684373884,NA,1263407.15441271,NA,1071038.7259019,NA,NA,NA,425908.423680018,NA,7
"25","1,3,5-Trimethyl-2-(6-phenyl-1,3,5-hexatrien-1-yl)benzene","C21 H22","Others","Not the top hit","Invalid mass","Full match",0.61,274.17232,275.1796,19.146,768273.214516278,3,51.3,62.4,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,730722.849536346,NA,1
"26","1,3-Dihydro-1,3,3-trimethyl-2H-indol-2-ylidene acetaldehyde","C13 H15 N O","Others","Full match","Full match","No results",0.0466666666666667,201.115373333333,207.460353333333,12.116,3064330.78274269,12,83.2,28.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",76655.7917563147,NA,1489304.48952232,NA,NA,1466752.65641569,865200.19046569,3052781.11422789,NA,NA,NA,NA,688383.018673552,NA,NA,NA,NA,843457.163281861,3966944.85882303,11
"27","1,3-Diiminoisoindoline","C8 H7 N3","Industrial/Intermediate","Full match","Full match","No results",-2.62,145.06362,146.07139,8.478,238445.660042946,1,91.7,9.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226477.227412366,NA,1
"28","1,3-Dimethylbutylamine","C6 H15 N","Psychoactives","Full match","Full match","Full match",1.98,101.12065,102.12793,3.066,2424821.48849601,3,32.2666666666667,27.6333333333333,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",361729.297997156,448046.600132377,1143382.37683244,168920.842925993,707573.034772746,1271706.72379644,NA,1762935.15529632,830640.1600184,1706705.39625658,331162.144201873,1173267.42918463,NA,NA,378341.661618338,334174.78887655,1305522.81368574,1591259.778541,NA,26
"29","1,3-Divinyl-2-imidazolidinone","C7 H10 N2 O","Industrial/Intermediate","Full match","Full match","No results",0.61875,138.07939875,139.08668625,6.078375,1276161.21051856,16,78.025,42.675,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,251579.891726789,NA,NA,NA,NA,NA,984079.127559866,253820.752808559,NA,NA,950760.809301551,1149590.92485129,1155188.04964581,542025.841394013,NA,NA,1155212.69202488,774470.231753992,23
"30","1,3-Indandione","C9 H6 O2","Pharmaceuticals","Full match","Not the top hit","Full match",0.75,146.036885,147.04414,11.3445,1178714.06546738,4,85.8,67.6,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",128535.509712744,NA,NA,108026.88712108,153986.367776372,NA,668438.55833242,NA,636549.135857356,NA,726293.75887818,351678.353852782,246974.8686973,740032.83666693,NA,144317.118398711,448503.678850726,NA,866224.981018514,13
"31","1,4,6-Trimethyl-1H-pyrazolo[3,4-b]pyridin-3-amine","C9 H12 N4","Others","Full match","Full match","No results",0.36,176.10626,177.11354,7.377,158251.114721247,1,77.5,73.4,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,137548.288418779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"32","1,4-Benzenediamine","C6 H8 N2","Pharmaceuticals","Full match","Partial match","Full match",2,108.06896,109.0762,3.168,1980141.09668984,4,93.1,67.1,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,1435642.66577354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979106.31920791,NA,2
"33","1,4-Dioxane","C4 H8 O2","Industrial/Intermediate","Full match","Invalid mass","Full match",2.57,88.05266,127.0156,2.61,393385.240182541,3,45.4,7.3,"No matches found","No matches found","No matches found","Multiple matches found","No matches found","No matches found","DDA for other ion","[M+K]+1",NA,NA,373319.565668108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"34","1,5-Isoquinolinediol","C9 H7 N O2","Industrial/Intermediate","Full match","Full match","No results",0.183333333333333,161.047706666667,162.055006666667,8.63566666666667,2612293.72368001,9,95.9666666666667,76.4333333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,75982.8128279131,3680416.01018402,NA,NA,1936634.48310112,888486.841845818,NA,NA,306891.768045943,NA,946804.442461801,513556.07996858,1149869.09349429,975372.872348682,NA,342677.938584724,2571034.84366035,1769060.66553813,15
"35","1,7-Cyclotridecadiyne","C13 H18","Natural products","Full match","No results","Full match",0.45,174.14093,175.1482,17.25,7014222.75272506,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Multiple matches found","DDA for preferred ion","[M+H]+1",NA,NA,1765761.50991654,NA,NA,NA,NA,NA,NA,759644.655289073,NA,NA,NA,NA,NA,284539.036142029,792142.170183825,2592479.89813421,NA,5
"36","1,8-Diazabicyclo [5.4.0]undec-7-ene","C9 H16 N2","Industrial/Intermediate","Full match","Full match","No results",0.495,152.131425,153.1387,12.282,724049.994564753,2,82.8,9.15,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",76964.9221950198,177898.084824392,657888.842445375,198113.062139713,265157.605410274,651631.255752997,278404.240046589,NA,NA,737189.327413542,143435.562066196,282472.522063155,287978.72241326,NA,NA,101486.571432358,598329.911122792,491812.981050985,497083.611346003,17
"37","1-(1-Aminoethyl)-2-adamantanol","C12 H21 N O","Others","Full match","No results","Full match",0.165,195.162345,196.16962,17.1195,24378046.1344636,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",295187.605717762,301091.927300924,NA,304065.026563788,816202.168046772,802462.224765886,540934.12236919,11347705.8963786,1568730.94536212,1468021.18036549,501861.335077984,1150438.89996086,1135146.34446842,864294.094654077,28350986.7680084,469693.899634361,1640875.15806533,1213475.90833669,NA,18
"38","1-(1-Hexyn-1-yl)-2-[methoxy(phenyl)methyl]benzene","C20 H22 O","Others","Not the top hit","Invalid mass","Full match",0.08,278.16709,279.17436,22.167,589001.505697339,3,76.4,56.9,"No matches found","No matches found","No matches found","No matches found","No matches found","Multiple matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,584961.153800093,NA,NA,NA,NA,NA,NA,NA,343749.527060297,NA,NA,57040.6524038549,210348.588145775,NA,4
"39","1-(2,7-Dimethylpyrazolo[1,5-a]pyrimidin-6-yl)ethan-1-one","C10 H11 N3 O","Others","Full match","Full match","No results",0.29,189.0902675,190.0975425,10.7235,2066474.78526831,12,77.425,8.85,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,898719.156507139,NA,NA,1800274.4265708,494843.069708998,NA,NA,NA,NA,139331.436644795,327482.853348491,1169165.45794375,NA,NA,NA,864776.939616004,NA,11
"40","1-(2-(2-Hydroxyethoxy)ethoxy)dodecan-2-ol","C16 H34 O4","Others","Not the top hit","Invalid mass","Full match",0.535,290.245865,291.25317,20.744,1153818.19147899,6,84.55,9.25,"No matches found","No matches found","No matches found","No matches found","No matches found","Multiple matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,544735.247415101,NA,1699700.69014211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"41","1-(2-methoxy-4-nitrophenyl)pyrrolidine","C11 H14 N2 O3","Others","Full match","Full match","No results",0.403333333333333,222.10053,223.107813333333,6.16066666666667,2161696.52787044,5,61.9333333333333,19.4666666666667,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,88366.1983131847,NA,NA,1614683.40877634,NA,NA,NA,NA,1119462.19373285,NA,NA,NA,NA,NA,NA,4
"42","1-(3-ethyl-2,4-dihydroxy-6-methoxyphenyl)butan-1-one","C13 H18 O4","Others","Full match","Full match","No results",0.42,238.12061,239.127896666667,15.7216666666667,2289301.23911546,4,53,37.4333333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,443803.754761196,NA,NA,NA,265204.456610751,NA,NA,NA,NA,NA,521975.804400717,NA,NA,4
"43","1-(3-methoxy-2-nitrostyryl)pyrrolidine","C13 H16 N2 O3","Others","Full match","Not the top hit","No results",0.38,248.11619,249.12345,10.39,2287574.14553538,5,59,42.4,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1487545.84960386,NA,NA,NA,NA,NA,1
"44","1-(4-Chlorophenyl)-5-methyl-1H-1,2,3,4-tetraazole","C8 H7 Cl N4","Others","Full match","Full match","No results",0.25,194.03597,195.04325,10.29,3255366.2391017,1,69.4,48,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,3249405.28676446,NA,NA,NA,NA,NA,224707.816256684,684266.50065075,NA,NA,NA,NA,NA,3
"45","1-(4-Fluorophenyl)-5-phenyl-1H-pyrazole-3,4-dicarboxylic acid","C17 H11 F N2 O4","Others","Not the top hit","Unused","Full match",1.74,326.07085,327.07816,19.322,1726140.74951188,8,98.2,98.4,"No matches found","No matches found","No matches found","No matches found","No matches found","Multiple matches found","DDA for preferred ion","[M+H]+1",340799.900810278,324234.092274459,358938.997391843,268234.698871289,NA,355312.650470529,408576.993527818,NA,NA,372488.021623815,305850.600689279,463145.745412343,NA,NA,244641.690674913,236914.445405709,434680.223546189,NA,262080.574914397,13
"46","1-(4-Methoxyphenoxy)-3-[(2-{[4-(trifluoromethyl)pyrimidin-2-yl]amino}ethyl)amino]propan-2-ol","C17 H21 F3 N4 O3","Others","Full match","Not the top hit","No results",-3.2,386.15534,387.16261,18.451,2251927.82142418,12,78.4,49.1,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,2072932.73601147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"47","1-(4-benzylpiperazino)-2-(pyridin-2-ylamino)propan-1-one","C19 H24 N4 O","Others","Full match","Not the top hit","No results",-4.19,324.19365,325.20085,19.46,691747.398215932,3,93.5,9.7,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",NA,NA,NA,NA,NA,NA,116633.247857293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"48","1-(4-methyl-2-pyridyl)pyrrolidine-2,5-dione","C10 H10 N2 O2","Others","Full match","Full match","No results",0.25,190.07427,191.08156,12.524,2679629.15714117,3,74.3,71,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,2517644.21531156,NA,NA,1277180.06038293,NA,NA,NA,NA,NA,247924.654765881,NA,NA,NA,NA,NA,NA,NA,3
"49","1-(5,8-Dimethoxy-2,2-dimethyl-2H-chromen-6-yl)ethanone","C15 H18 O4","Others","Full match","Not the top hit","No results",0.44,262.12062,263.1279,12.086,7819171.99258794,13,72.1,8.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,433780.71155171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"50","1-(Allyloxy)-3-[cyclohexyl(methyl)amino]-2-propanol","C13 H25 N O2","Others","Full match","No results","Full match",0.433333333333333,227.188626666667,231.859566666667,16.1991666666667,3685617.50974573,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",1884476.16647711,224378.823360132,260190.425396621,943805.577114292,615532.883475147,350238.106417325,2147573.16765492,NA,858280.745713328,NA,NA,NA,330395.601739152,585448.412234057,411780.741567923,NA,465505.694649617,588106.971098364,4218276.31082209,26
"51","1-(DIMETHYLAMINO)TRIDECANE","C15 H33 N","Others","Full match","Partial match","Full match",0.52,227.26142,228.26869,19.774,5766028.67805345,1,98.3,9.9,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",NA,NA,NA,968203.204017485,986309.994562712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471100.538961485,NA,NA,NA,3
"52","1-Amino-2-hexadecanol","C16 H35 N O","Industrial/Intermediate","Full match","No results","Full match",0.37,257.27196,258.27924,15.4655,23922770.9586484,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",12467891.2843338,22161996.3202782,9964925.36066982,22222712.5953263,21318251.5077461,8677803.82666733,9349951.71002515,11825946.5566558,14219283.2865501,10359452.6321203,11959555.1782864,10128865.9636675,9974257.4229366,9980315.61348576,10718710.2666373,10434214.5228412,10387894.4514797,8034616.21250621,10927097.4600963,20
"53","1-Aminocyclohexanecarboxylic Acid","C7 H13 N O2","Others","Full match","No results","Full match",0.46,143.094693333333,144.10199,8.92133333333333,1144838.61015766,6,64.3,25.05,"Single match found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",NA,NA,NA,100559.670632312,87383.2298512297,514231.685975462,914504.923041364,NA,NA,NA,NA,NA,1739241.55963392,896309.58152152,NA,NA,NA,257600.47756619,291500.682150055,11
"54","1-Benzylimidazole","C10 H10 N2","Pharmaceuticals","Full match","Not the top hit","Full match",0.33,158.08445,159.091725,10.141,696458.019224508,6,67.65,8.35,"No matches found","No matches found","No matches found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,162561.708060266,NA,NA,NA,NA,NA,NA,NA,NA,443417.159772068,NA,NA,NA,92995.8354669833,NA,722913.967384881,5
"55","1-Ethoxy-1,3-dimethoxydodecane","C16 H34 O3","Others","Full match","Invalid mass","Full match",0.54,274.250945,275.258135,21.7225,397629.095611283,6,80.25,9,"No matches found","No matches found","No matches found","No matches found","No matches found","Multiple matches found","DDA for other ion","[M+H]+1",181907.593216332,84180.3745279198,NA,88541.0767426784,114762.318059581,NA,80558.2687033946,68005.9019411242,299182.446177678,112146.364215715,78144.5447600879,62105.7258824364,102506.417920107,78992.6519116127,52668.1149170556,NA,102934.136555995,82036.3932641417,210418.70290614,25
