Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: KPS_Cannabinoids,Mass List Match: ITN_KPS,Mass List Match: ITN_CYP_Metabolites,MS2,Reference Ion,Group Area: 1_feedpumpA,Group Area: 2_feedpumpB,Group Area: 3_feedpumpC,Group Area: 4_centrinA,Group Area: 5_centrinB,Group Area: 6_centrinC,Group Area: 7_newdryA,Group Area: 8_newdryB,Group Area: 9_newdryC,Group Area: 10_olddryA,Group Area: 11_olddryB,Group Area: 12_olddryC,Group Area: 13_digester1A,Group Area: 14_digester1B,Group Area: 15_digester2A,Group Area: 16_digester2B,Group Area: 17_digester3A,Group Area: 18_digester3B,Group Area: 19_digester4A,Group Area: 20_digester4B,Group Area: 21_controlA,Group Area: 22_controlB,Group Area: mix_A5,Group Area: mix_A50,Group Area: mix_A500,Group Area: mix_B5,Group Area: mix_B50,Group Area: mix_B500,Group Area: mix_C5,Group Area: mix_C50,Group Area: mix_C500,Peak Rating: 1_feedpumpA.raw (F1),Peak Rating: 2_feedpumpB.raw (F2),Peak Rating: 3_feedpumpC.raw (F3),Peak Rating: 4_centrinA.raw (F4),Peak Rating: 5_centrinB.raw (F5),Peak Rating: 6_centrinC.raw (F6),Peak Rating: 7_newdryA.raw (F7),Peak Rating: 8_newdryB.raw (F8),Peak Rating: 9_newdryC.raw (F9),Peak Rating: 10_olddryA.raw (F10),Peak Rating: 11_olddryB.raw (F11),Peak Rating: 12_olddryC.raw (F12),Peak Rating: 13_digester1A.raw (F13),Peak Rating: 14_digester1B.raw (F14),Peak Rating: 15_digester2A.raw (F15),Peak Rating: 16_digester2B.raw (F16),Peak Rating: 17_digester3A.raw (F17),Peak Rating: 18_digester3B.raw (F18),Peak Rating: 19_digester4A.raw (F19),Peak Rating: 20_digester4B.raw (F20),Peak Rating: 21_controlA.raw (F21),Peak Rating: 22_controlB.raw (F22),Peak Rating: blank1.raw (F23),Peak Rating: blank2.raw (F24),Peak Rating: blank3.raw (F25),Peak Rating: blank4.raw (F26),Peak Rating: blank5.raw (F27),Peak Rating: blank6.raw (F28),Peak Rating: blank7.raw (F29),Peak Rating: blank8.raw (F30),Peak Rating: mix_A5.raw (F31),Peak Rating: mix_A50.raw (F32),Peak Rating: mix_A500.raw (F33),Peak Rating: mix_B5.raw (F34),Peak Rating: mix_B50.raw (F35),Peak Rating: mix_B500.raw (F36),Peak Rating: mix_C5.raw (F37),Peak Rating: mix_C50.raw (F38),Peak Rating: mix_C500.raw (F39),Peak Rating: QC.raw (F40),Peak Rating: QC1.raw (F41),Peak Rating: QC2.raw (F42),Peak Rating: QC3.raw (F43)
,FALSE,1-Dodecyl-2-pyrrolidinone,C16 H31 N O,Full match,Full match,No results,-0.34,253.24048,254.24775,22.289,2056232385,1,73.4,8.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,276238033.9,535216721.9,844718506.2,1839763938,1345922927,1410638758,1155163548,1098131995,1032679196,1288523059,1509206481,1360016882,1326748060,1320017513,858758696.3,989347179.8,801452766.2,1101134916,861543088.2,745446513.4,1511886884,1716893776,2056232385,1270544020,1684666955,1312364807,1618419017,1425812175,1249458946,1120884628,1217578074,8.9,9.5,9.5,7.8,8.9,7.8,8.9,8.4,9.5,8.9,9.5,8.9,8.4,8.4,8.9,8.9,7.8,8.9,8.9,8.4,9.5,9.5,8.6,7.8,,8.9,8.6,9.5,8.9,8.4,8.9,9.5,9.5,8.9,9.5,8.9,9.5,9.5,9.5,,8.9,9.5,8.9
,FALSE,Ethylenediaminetetraacetic acid (EDTA),C10 H16 N2 O8,Full match,Full match,No results,-0.43,292.09054,293.09782,1.544,1881586518,1,88.2,81.1,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,257050121.8,59372526.48,24112221.42,15174988.54,15713335.03,14654279.33,44370622.85,20322653.06,,37698316.36,66078896.08,29760790.73,18823057.63,,17171204.31,38717415.43,763957128,24326347.43,526623395.2,218159056.8,26299625.31,26252716.07,21371688.45,40410237.01,104390915.6,8429506.497,9536694.077,15995674.56,4827658.937,9453667.336,736720581.4,9.5,8.4,8.4,8.4,8.4,8.4,7.3,7.8,,8.4,8.4,7.3,8.4,,7.8,8.4,8.4,7.8,8.4,8.4,8.4,9.5,,,,,,,,,8.4,8.4,8.4,7.8,8.9,8.4,8.4,8.4,7.8,10,9.5,8.4,8.4
,FALSE,Dodecyltrimethylammonium,C15 H33 N,Full match,Full match,No results,-0.2,227.26125,228.26853,21.34,1801768045,1,88.7,9.4,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1550790724,1801768045,1530684126,683727826.6,474362116.4,635373389.8,409560374.3,471261441.4,497676232.4,99477326.2,133357230.2,93618463.92,83010889.27,74014235.98,58365516.6,50771098.05,592003848.1,812886814,1500612545,1431539032,22513375,20568113.92,33517501.46,17246436.75,16487693.97,,22753848.4,7297978.091,9627868.525,9462753.712,19788144.71,8.4,8.4,8.4,8.9,8.9,8.9,7.8,7.8,8.9,8.4,10,9.5,8.9,9.5,8.4,7.8,8.4,7.8,7.3,7.3,8.4,8.4,,,,,,,,,10,8.4,7.8,,8.4,9.5,5.7,6.7,8.4,,7.8,8.9,7.8
,FALSE,O-Arachidonoyl ethanolamine,C22 H37 N O2,Full match,Full match,No results,0.34,347.28255,348.28982,19.051,1619887080,3,78,48.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,26195311.99,35984550.88,37039843.73,,1619887080,,209781.9043,,,3054766.46,,159903051.7,,2922214.024,4609469.94,,,,,,,9681291.414,298644.2036,,,54196.40076,,,,,,5.1,4.6,8.4,,6.2,,3,,,5.1,,6.7,,8.4,5.7,,,,,,,6.2,,,,,,,,,7.4,,,0.5,,,,,,,,,
,FALSE,Octadecanamine,C18 H39 N,Full match,Full match,No results,-0.13,269.30821,270.31549,21.78,1405561003,2,91.4,9.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,959640454.3,1405561003,377005963.6,241774735.3,323142700.6,,387512330,494782698.8,364566691.2,210414134.6,250463307.5,236720842.7,63752606.71,61633212.31,58142943.77,72030906.04,451247712.9,440441053.4,829132827.7,882122671,3715400.723,4805791.623,12310646.5,6232112.04,5326441.15,,5237071.436,2146618.169,1603413.682,1780028.596,2806428.411,8.4,8.4,10,8.4,9.5,,8.4,9.5,9.5,8.4,10,8.4,8.4,7.8,8.4,8.4,8.4,8.4,8.4,9.5,6.2,4.6,,,,,2.2,2.7,,,6.2,5.1,5.1,,5.1,4.8,2.6,2.6,4.6,,,,
,FALSE,Solanidine,C27 H43 N O,Full match,Full match,No results,-0.07,397.33444,398.34171,18.83,1278517588,1,85.3,9.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,96730451.88,92804611.69,92026564.02,1209469911,710830164.4,731782755,529399146.4,589733633.8,523231563.1,321464248.3,185457258.3,426856016.5,,,,1056597.961,1278517588,727518325.6,785018429.9,717321336.9,,,290035.2244,,,,,,,,,4.6,4.6,7.8,7.8,9.5,9.5,7.8,8.9,9.5,8.4,8.9,7.8,,,,2.6,7.8,8.4,6.7,8.4,,,,,,,,,,,7.9,,,,,,,,,8.4,7.8,8.9,7.8
,FALSE,Trimethyl phosphate,C3 H9 O4 P,Full match,Full match,No results,0.79,140.02396,141.03124,5.661,1159650051,1,89.9,55.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,676709192,1159650051,858762548.5,708623292.9,616835599,721345864.5,379982322.5,409344324.1,467892736.4,758404973,779116196.8,804262505.9,710532060.2,369999062.5,585805477.1,541846826.1,448088163.3,493321496.2,474198577.8,704188248.7,323802076.7,291492148.6,528008945.3,385478522.3,213597203.5,282382408.6,114543375.1,151185020.6,328464811.4,99274214.5,109429233.2,7.8,6.7,7.8,7.8,7.8,8.4,6.7,7.8,7.8,7.8,8.4,8.4,8.4,8.4,7.8,7.8,7.8,8.4,7.8,6.2,8.4,8.4,,,,,,,,,8.4,7.8,8.4,8.4,7.8,7.8,7.8,7.8,7.8,6.7,7.8,7.8,8.4
,FALSE,Octadecanamine,C18 H39 N,Full match,Full match,No results,-0.23,269.30819,270.31546,20.506,1094633118,2,82.9,9.1,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,412856559.5,526565305.8,435129506.8,738466193,774773625.7,810202272.6,695878210.4,899906174.4,776306007.5,1017138787,994371512,928171658.1,1045001023,1094633118,720749941.9,970705781.5,920607617.5,777919108.3,899365983.6,946088025.3,,,1775596.383,,,,,,,,321062.0245,9.5,8.9,7.8,9.5,9.5,8.4,9.5,9.5,9.5,8.4,7.8,8.9,8.9,8.4,9.5,7.8,8.9,8.4,8.9,9.5,,,,,,,,,,,9.1,,,,,,,,4.1,8.4,9.5,7.8,9.5
,FALSE,Dodecylamine,C12 H27 N,Full match,Full match,No results,0.21,185.21439,186.22166,24.298,1088901090,4,92.4,9.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,
,FALSE,Oleamide,C18 H35 N O,Full match,Full match,No results,0.19,281.27192,282.27919,24.136,978480516.2,3,94.1,83.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,20887811.66,978480516.2,,,,,,,,,,,,,,100413692.6,46366728.23,91468190.54,,,,,,,,,,,,243972119.6,,2.9,5.1,,,,,,,,,,,,,,1.3,8.4,4,,,,,,,,,,,,,,,,,,,,2.9,,,,,
,FALSE,N-Methyldioctylamine,C17 H37 N,Full match,Full match,No results,-0.16,255.29256,256.29984,21.827,951723010.5,1,71.8,8.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,760909777.2,951723010.5,430588352,171701373.3,239282574.7,281551241.9,197624287.1,482020863.2,206913060.7,27534473.59,33457572.22,27051729.94,52308994.84,51808077.43,7475556.386,6436676.307,289777323.1,319984822.6,538904423.2,605685016.8,2913662.317,3959818.933,10195395.93,4564585.867,3526068.41,,2863518.753,2284375.414,981547.8107,1042515.932,1752371.678,8.4,10,8.4,10,7.8,9.5,9.5,6.7,8.4,8.9,9.5,9.5,8.9,8.9,8.9,8.9,8.9,9.5,8.4,8.4,6.2,5.1,,,,,,2.2,,,7.3,6.2,6.7,,6.7,5.9,3.9,4.8,5.9,,7.8,9.5,9.5
,FALSE,Galaxolidone,C18 H24 O2,Full match,Full match,No results,0.01,272.17763,273.1849,25.131,906821786,4,90.3,75.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,2269729.672,,2141172.044,3774691.557,3213100.083,,,6239385.868,6915111.337,,4143082.35,,5569025.763,5206490.16,5805739.972,,3834198.206,,,1960306.465,,,203899.0231,,,,,,,,,3.2,,2.1,3.5,4.6,,,4,3.5,,4,,2.9,2.4,4,,5.7,,,2.1,,,,,,,,,,,2.5,,,,,,,,,8.4,2.6,,
,FALSE,Solanidine,C27 H43 N O,Not the top hit,Full match,No results,-0.09,397.33443,398.34171,19.589,852147787,1,84,9.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,6394556.595,,2510760.795,3679161.484,,15842387.51,19492063.22,4103504.742,6646230.001,3380241.721,493293304.6,852147787,585509344.5,298072694.7,,17221759.39,6810947.195,9882507.66,,,,,,,,,,,,,,5.7,,8.6,8.4,,7.3,7.8,5.1,6.2,6.2,8.4,8.4,7.3,8.9,,5.7,5.7,8.4,,,,,,,,,,,,,,,,,,,,7.8,8.4,6.7,8.9
,FALSE,Oleamide,C18 H35 N O,Full match,Full match,No results,0.03,281.27187,282.27915,24.788,811331679.4,3,94,83.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,9424698.114,,,63612188.72,,,,,,,,16798442.69,,,,,,811331679.4,,45028287.61,,,,,69796109.23,,,,,,,8.4,,,7.3,,,,,,,,7.8,,,,,,,,,,,,,,5.1,,7.8,,,,,7.3,,,,
,FALSE,Solanidine,C27 H43 N O,Not the top hit,Full match,No results,-0.01,397.33446,398.34174,18.182,798917490.4,1,85.1,9.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,538429330.9,546860637.7,637522544.5,11220006.57,521914950.2,543489390.5,,,,139171564.9,238878193.9,224468949.6,6980953.454,,16632821.59,5239793.499,413863797.2,540331351.5,546563131.4,798917490.4,119347.7273,,,,37533.2457,,,,,,,6.7,5.7,8.9,1.8,8.9,8.9,,,,7.8,7.3,9.5,3.5,,3.5,3.5,9.5,10,10,9.5,4.9,,,,,,,,,,,,7.6,,,,,,,8.4,8.4,7.8,8.9
,FALSE,Bis(4-ethylbenzylidene)sorbitol,C24 H30 O6,Full match,Full match,No results,-0.24,414.20414,415.21151,18.729,745187572.1,5,85,9.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,2989449.844,3668793.28,3094663.834,,16203257.87,8686009.8,199256579.8,2742758.676,,,5019337.999,179625874.3,201850679.4,244420712.3,189890521.4,157666130.1,3757779.134,8784503.647,7168338.265,7633793.26,707631508.7,745187572.1,,10708191.5,278289670.4,177275236.9,14706364.31,276680810.5,529641613,581746171.1,8475908.12,8.9,4.6,8.9,,6.2,7.3,7.8,5.1,,,6.7,8.9,9.5,9.5,9.5,9.5,7.3,9.5,8.4,5.1,10,10,,,,4.3,3.6,5.8,,,,10,10,8.9,10,10,10,10,10,7.8,9.5,9.5,9.5
,FALSE,PPG n7,C21 H44 O8,Not the top hit,Full match,No results,0.1,424.30366,447.29286,17.138,702296977.3,1,84.1,9.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+Na]+1,160332704.2,111763627.6,227467637.9,305656477.7,206641141.3,370380433.3,116194587.8,138791223.5,126807404.2,69007841.87,43358196.57,50752429.76,344551821.1,333760853.2,343513216.9,484440099.4,349224600.3,702296977.3,269911145.7,458752170.7,19787544.57,19129186.35,22382361.21,19125169.54,20038965.51,8311765.394,13099067.15,14793939.43,15602852,6954911.897,9199759.939,9.5,8.9,8.4,8.4,8.9,7.8,7.8,7.8,7.8,5.1,7.3,6.7,8.9,6.7,7.8,7.8,8.9,7.8,7.3,7.3,8.9,6.7,,,3,,,,,,7.8,7.8,6.2,7.8,8.4,7.3,7.3,6.7,8.4,8.9,7.8,6.7,7.8
,FALSE,Dodecyltrimethylammonium,C15 H33 N,Full match,Full match,No results,-0.09,227.26128,228.26856,20.9,697564628.5,1,92.2,9.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,44512031.97,51500083.28,52261072.01,1283576.431,1255905.369,1032743.502,,1080148.664,1746057.002,,1556048.45,1250742.907,,,,,,4263065.466,1849175.326,,18141613.77,1487186.006,850467.2822,604098.4652,909455.439,,718599.3567,729839.0868,455518.52,620330.5767,539595.0964,8.4,7.8,8.9,7,5.3,4.2,,8,4.2,,8.6,8.6,,,,,,3.5,1,,8.4,4.2,,,,,,,,,4.5,2.8,3.9,,2.3,2.8,0.9,2.3,3.4,8.9,5.1,3.5,7.5
,FALSE,Poly THF n8,C32 H66 O9,Not the top hit,Full match,No results,0.55,594.47101,617.46019,23.917,696026759.4,1,76.1,8.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+Na]+1,696026759.4,310131842.4,613545161,606637807.3,457817661.9,556201486,570965420.2,461530373.1,585826658.9,181945148.2,278532830.5,262317204.5,192722344.7,213811508.8,127043464.3,92078809.24,352833096.1,194579822,669654193.4,444128380.1,,,,,,3696617.833,,,,,,8.9,8.9,8.4,8.4,8.4,6.7,6.2,6.7,6.7,6.7,8.4,8.4,8.4,6.2,8.4,5.7,5.1,8.9,8.4,5.1,,,,,,,,,,,,,,5.7,,,,,,,8.4,8.9,5.1
,FALSE,Stearamide,C18 H37 N O,Full match,Full match,No results,-0.01,283.28751,284.29477,24.213,682204940.3,1,91.9,62.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,479674936.5,465839357.2,322373603.4,429443699.2,466874971.7,456558832.8,317461376.4,436899296.6,384389534.8,452272257.6,593760880.4,502052586.1,623422650.6,525246634.7,429698854.9,402672875.9,166456228.2,404447564.1,302423234.1,328117689.5,220432476.2,284772884.2,523611089.3,591624366.6,453902263.4,560087057.1,612601909.8,682204940.3,476352438.8,543605301.8,609601892.5,9.5,9.5,8.4,8.4,9.5,8.4,9.5,9.5,8.4,8.4,8.9,8.4,8.4,8.4,8.4,8.4,9.5,9.5,9.5,8.9,8.4,8.4,,,8,9.1,8.6,5,8.6,7,8.4,8.9,8.9,9.5,8.4,8.4,8.4,8.4,9.5,,9.5,8.4,7.8
,FALSE,Solanidine,C27 H43 N O,Not the top hit,Full match,No results,0.02,397.33447,398.34175,18.649,674749846.2,1,86.8,9.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,8385727.943,79765622.15,136208234.4,90590231.37,,345029480.2,255069890.4,105470035.6,180342536.2,137466292,,,,,,173712264.8,,53507322.45,,,,,,,,,,,,,,7.8,8.4,8.4,8.4,,6.2,7.8,8.4,7.8,8.4,,,,,,8.4,,7.8,,,,,,,,,,,,,,,,,,,,7.3,8.4,,8.4
,FALSE,Solanidine,C27 H43 N O,Full match,Full match,No results,-0.08,397.33443,398.34171,19.779,670443966.1,1,84.9,9.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,670443966.1,,,,,1988241.092,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,6.4,,,,,,,,,,,,,,,,,,,,,7.2,,
