Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: KPS_NPL,Mass List Match: KPS_Psychoactive Substances_v2,Mass List Match: KPS_Pharmaceuticals_Oct22,MS2,Reference Ion,Group Area: 1_feedpumpA,Group Area: 2_feedpumpB,Group Area: 3_feedpumpC,Group Area: 4_centrinA,Group Area: 5_centrinB,Group Area: 6_centrinC,Group Area: 7_newdryA,Group Area: 8_newdryB,Group Area: 9_newdryC,Group Area: 10_olddryA,Group Area: 11_olddryB,Group Area: 12_olddryC,Group Area: 13_digester1A,Group Area: 14_digester1B,Group Area: 15_digester2A,Group Area: 16_digester2B,Group Area: 17_digester3A,Group Area: 18_digester3B,Group Area: 19_digester4A,Group Area: 20_digester4B,Group Area: 21_controlA,Group Area: 22_controlB,Group Area: mix_A5,Group Area: mix_A50,Group Area: mix_A500,Group Area: mix_B5,Group Area: mix_B50,Group Area: mix_B500,Group Area: mix_C5,Group Area: mix_C50,Group Area: mix_C500,Peak Rating: 1_feedpumpA.raw (F1),Peak Rating: 2_feedpumpB.raw (F2),Peak Rating: 3_feedpumpC.raw (F3),Peak Rating: 4_centrinA.raw (F4),Peak Rating: 5_centrinB.raw (F5),Peak Rating: 6_centrinC.raw (F6),Peak Rating: 7_newdryA.raw (F7),Peak Rating: 8_newdryB.raw (F8),Peak Rating: 9_newdryC.raw (F9),Peak Rating: 10_olddryA.raw (F10),Peak Rating: 11_olddryB.raw (F11),Peak Rating: 12_olddryC.raw (F12),Peak Rating: 13_digester1A.raw (F13),Peak Rating: 14_digester1B.raw (F14),Peak Rating: 15_digester2A.raw (F15),Peak Rating: 16_digester2B.raw (F16),Peak Rating: 17_digester3A.raw (F17),Peak Rating: 18_digester3B.raw (F18),Peak Rating: 19_digester4A.raw (F19),Peak Rating: 20_digester4B.raw (F20),Peak Rating: 21_controlA.raw (F21),Peak Rating: 22_controlB.raw (F22),Peak Rating: blank1.raw (F23),Peak Rating: blank2.raw (F24),Peak Rating: blank3.raw (F25),Peak Rating: blank4.raw (F26),Peak Rating: blank5.raw (F27),Peak Rating: blank6.raw (F28),Peak Rating: blank7.raw (F29),Peak Rating: blank8.raw (F30),Peak Rating: mix_A5.raw (F31),Peak Rating: mix_A50.raw (F32),Peak Rating: mix_A500.raw (F33),Peak Rating: mix_B5.raw (F34),Peak Rating: mix_B50.raw (F35),Peak Rating: mix_B500.raw (F36),Peak Rating: mix_C5.raw (F37),Peak Rating: mix_C50.raw (F38),Peak Rating: mix_C500.raw (F39),Peak Rating: QC.raw (F40),Peak Rating: QC1.raw (F41),Peak Rating: QC2.raw (F42),Peak Rating: QC3.raw (F43)
,FALSE,(+-)-alminoprofen,C13 H17 N O2,Not the top hit,Partial match,Full match,0.09,219.12595,220.13322,1.26,571074.9112,2,66.8,47.5,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,126729.1008,,,,,,,,,,,,,,,,,,,,433015.568,571074.9112,,,298130.0731,,,134781.6317,,,,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3.9,,,3.4,,,5.8,,,,,
,FALSE,(+/-)-Cannabichromene-d9,C21 H21 [2]H9 O2,No match,Full match,No results,4.34,323.28247,324.28978,20.121,788247.7841,1,70.3,8.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,370670.6889,,,73148.20871,,42796.28551,,45683.43901,71258.70649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,7.1,,4.3,,4.9,7.1,1,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,0.09,258.162,259.16922,20.09,8287673.008,3,81.7,64.1,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,182063.805,,,,,,,,,,,,,,103114.8971,,,,,1192779.193,8287673.008,,,,,,,,,,,2.5,,,,,,,,,,,,,,6,,,,,,,,,,,,,7.5,7.8,,,,,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,0.58,258.16213,259.16922,20.043,16872099.93,3,81.4,63.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,756805.9374,,,,,,,,,684556.308,,,,,1152693.774,,151153.756,328802.291,2470185.847,11648144.01,7928206.217,167523.2574,,16872099.93,14307691.09,10951429.96,1365523.926,,,,,3.7,,,,,,,,,3.7,,,,,3.7,,8.5,6.1,,,,,,,,,10,7.8,9.5,3.6,,7.8,7.3,7.8,9.1,,5.5,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Not the top hit,Full match,No results,-0.02,258.16197,259.16924,20.108,3149102.467,3,82.3,64.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,131694.4478,803706.4945,,,,,,,,,,,,,,,,2945538.935,,,,,,,,3149102.467,,,,,,4.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,,,,8.4,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Not the top hit,Full match,No results,0.09,258.162,259.16924,19.875,12643371.61,3,79.8,61.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,42500.92003,,,416112.7287,,,,,,,,,,,,,,,,,,,241985.0211,10720301.88,12643371.61,,468917.5838,400216.3312,8430389.932,99136.11229,192556.2562,3.3,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,10,9.5,,3.9,1.2,8.4,0.5,8.5,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,-0.01,258.16198,259.16926,19.954,3682642.648,3,79.2,60.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,1587618.554,,,,225929.8576,,,,286282.9681,,,,,,,,,,,,,3682642.648,,,,,,,,,,3.7,,,,4.7,,,,4.7,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,-0.12,258.16195,259.16923,20.234,2066679.467,3,82.2,64.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,220992.9198,246687.1682,,,,,2066679.467,,,,208123.753,,,,,,,,,,,,,,,,,,,,,6.3,3.6,,,,,9.5,,,,,,,,,,,,3,,,,,,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,-0.18,258.16193,259.16921,20.207,2011316.681,3,82.8,65.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,107250.311,,,,,,,,,,,,,,,,2011316.681,135494.7559,44387.90368,,,297833.8761,,,,,,,,,,3.3,,,,,,,,,,,,,,,,9.5,,,,,,,,,3.6,2.7,,,6.6,,,,,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,0.05,258.16199,259.16922,20.226,1654047.326,3,82.9,77.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,304381.0389,,334425.3283,63372.27145,98109.56916,,243049.7228,256433.5839,161495.5305,,319218.4367,,,,321210.5621,,574956.1967,1654047.326,,,,,,,,,,,,,,8.8,,5.5,0.5,4.9,,8.5,8.5,4.1,,3.4,,,,5,,6.6,7.5,,,,,,,,,,,,,,,,,,,,8.3,6.6,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Not the top hit,Full match,No results,-0.02,258.16198,259.16925,20.199,1285298.949,3,78.1,59.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,58810.75368,,,,,,,,,,,,,,,,,1285298.949,133484.1403,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,8.6,7.4,,,,,,,,,,,,,,,,,,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Not the top hit,Full match,No results,-0.02,258.16197,259.16925,19.635,1887188.601,3,81.2,63.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1689830.363,,1887188.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,0.04,258.16199,259.16925,20.255,1394094.727,3,76.3,72.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,1068991.713,1382103.032,1036920.127,,755963.0554,524679.3036,716495.3724,808029.273,855472.2902,829786.0005,661296.3314,828943.0332,479701.0753,578763.3453,545505.3904,778991.669,764448.599,,,,,,92134.99545,85977.28643,,,,,,,,7.5,9.1,7,,7,5,7.5,7,7,7.5,6.6,5.9,6.6,5,7.2,7,7,,,,,,,,,,,,,,1.1,1.1,,,,,,7,9.1,9.1
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Not the top hit,Full match,No results,-0.15,258.16194,259.16922,19.371,1953329.866,3,76.8,48.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,455746.1263,,,1953329.866,,407103.9898,,,,1169782.864,,,,,,,404261.0133,866838.9797,,,,,403150.706,434006.4958,210363.1856,,349608.5905,269879.7956,94622.96854,311939.2456,166948.2917,2.8,,,4,,7.2,,,,1.5,,,,,,,5,4.2,,,,,,,,,,,,,7.7,7.2,6.8,,5,6.8,7.1,8.3,6.8,,,,
,FALSE,(+/-)-Cannabichromeorcin,C17 H22 O2,Full match,Full match,No results,0.17,258.16202,259.1693,17.46,1052764.852,3,78.6,74.1,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,425485.9848,,,,,,,,,,,,,,,,,,1052764.852,,175053.1009,247342.6928,,88052.42462,78845.60731,,,,,,,7.2,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,5.2,0.9,,3.8,7.1,,,,,,,,
,FALSE,"(+/-)-CP 47,497-C7-Hydroxy metabolite",C21 H34 O3,Not the top hit,Full match,No results,2.26,334.25155,335.25867,19.978,1486193.814,1,74.9,8.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,80700.6769,,,,,,303834.1153,,696277.5972,,,,,,,1486193.814,,,,,,213101.073,,,115110.9091,,,,,,,0,,,,,,8.8,,3.2,,,,,,,4.2,,,,,,,,,,,,,,2.5,,,4.7,,,,,,,,,
,FALSE,"(+/-)-CP 47,497-C7-Hydroxy metabolite",C21 H34 O3,No match,Full match,No results,1.28,334.25122,335.2585,19.092,757173.4039,1,77.4,8.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,711877.4949,427965.1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,
,FALSE,"(+/-)-CP 47,497-C7-Hydroxy metabolite",C21 H34 O3,Unused,Full match,No results,2.2,334.25153,335.25881,19.53,827004.4691,1,68.6,8.4,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,827004.4691,,,,,,,,,,,,,,,,,,,,,519879.4795,,,,596223.5397,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,3.9,,,,
,FALSE,(+/-)5(6)-EET Ethanolamide,C22 H37 N O3,Not the top hit,Full match,No results,0.39,363.27749,364.28476,18.746,21900672.34,3,80.2,75.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,3532725.881,21900672.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,
,FALSE,(+/-)5(6)-EET Ethanolamide,C22 H37 N O3,Not the top hit,Full match,No results,0.37,363.27748,364.28475,18.337,24863259.92,3,81,9.1,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,9736325.945,14221406.4,15168420.84,872250.0942,,,,2062022.747,,,,,,24863259.92,16065710.44,,23566820.59,,,,,,,,,,,235823.8334,,,,8.9,7.8,8.4,7.5,,,,3.5,,,,,,7.8,7.8,,1.3,,,,,,,,,,,,,,,,,,,7.9,,4,,
,FALSE,(+/-)5(6)-EET Ethanolamide,C22 H37 N O3,Full match,Full match,No results,0.48,363.27752,364.2848,16.224,13958772.21,3,80.4,9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,13958772.21,,2678337.929,,,2463951.476,,,,,,,974779.5676,,,195920.1572,126589.2464,178480.7547,629844.3284,377813.8848,220058.6454,59472.4557,,121269.634,47864.70184,,,,,,,4.6,,6.7,,,2.4,,,,,,,4.2,,,7.4,7.4,6.8,,,,,,,,,8.3,5.5,3.6,7.6,,7.4,7.1,,,,7.8,,
,FALSE,(+/-)5(6)-EET Ethanolamide,C22 H37 N O3,Full match,Full match,No results,0.36,363.27747,364.28475,17.844,29026834.72,3,78.2,73.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,1352427.057,,29026834.72,,,,,,,,,1575818.404,,2790019.189,,93650.65067,,61934.10003,,,,,,,,,,,,,,7.5,,4.6,,,,,,,,,3.2,,4,,5.4,,,,,,,,,,7.1,,,,,,,,,6.7,2.9,,
,FALSE,(+/-)5(6)-EET Ethanolamide,C22 H37 N O3,Not the top hit,Full match,No results,0.17,363.2774,364.28468,15.664,9334292.756,3,76.5,72.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,7525935.263,7970112.853,6424560.921,5142218.612,9334292.756,8134588.11,5457418.894,,5972475.646,,,,,6642749.676,,,,,78495.33896,37108.92027,,,,,,,,226623.5538,,,,4.6,6.2,5.7,7.3,4,4,5.7,,3.5,,,,,6.7,,,,,6.5,,,,,,,,,6.5,,,,,,,,3.6,8.4,5.7,2.9,
,FALSE,(-)-Fustin,C15 H12 O6,No match,Full match,No results,0.18,288.06344,289.0707,8.302,3900631.462,13,82.9,51.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,87739.62962,267472.826,86254.94901,272850.4932,255402.3071,423817.4202,292121.5201,352558.3987,526392.6035,1434141.464,1058336.397,3900631.462,371050.2923,380727.2911,630300.9231,1383303.796,420124.7141,623082.595,1033984.128,1620443.874,,,,,,,,,,,,3.8,4.1,6.5,3.6,2.5,7.7,4.7,8.3,5.5,7,6.4,7.8,2.8,5,2.3,4.8,4.5,6.6,7,4.8,,,,,,,,,,,,,,,,,,,,5.9,4.1,2.8,5.3
,FALSE,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18 H32 O5,Full match,Full match,No results,1.09,328.22533,346.25913,20.286,1384085.195,2,68.9,47.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+NH4]+1,,,,,,,,,,,,,,,,,,,,,1384085.195,422732.1043,,,,147879.5792,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.8,,,,,,,,,,,,7.4,,,,,,,,,
,FALSE,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18 H32 O5,Not the top hit,Full match,No results,0.48,328.22513,329.23252,17.167,1578983.351,19,83.6,9.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1535066.306,1578983.351,1463679.99,261842.5908,,,,,,,,,,,,,682595.1663,,,,,,,,,,,,,,,6.4,7,5.3,7.9,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,2,,
,FALSE,"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid",C18 H32 O5,Not the top hit,Full match,No results,0.56,328.22516,351.21437,19.08,5526127.211,19,85.8,9.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+Na]+1,5526127.211,,,,,,,,,,,,,,304292.1477,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7
,FALSE,"(1aR,2E,4aR,6S,7S,7aR,8R,11aS)-1,1,3,6-Tetramethyl-9-methylene-4-oxo-1,1a,4,5,6,7,7a,8,9,10,11,11a-dodecahydro-4aH-cyclopenta[a]cyclopropa[f][11]annulene-4a,7,8-triyl triacetate",C26 H36 O7,No match,Full match,No results,4.54,460.24819,461.25547,15.566,1082891.252,3,70.3,44.4,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1082891.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
,FALSE,"(1E)-5-hydroxy-1,7-diphenylhept-1-en-3-one",C19 H20 O2,Not the top hit,Full match,No results,0.12,280.14636,281.15365,19.09,1004709.347,10,79.9,9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1004709.347,985190.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,69495.66752,,,5.3,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,,,,,,8.3
,FALSE,"(1H-Indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",C16 H19 N O,Not the top hit,Full match,No results,-0.04,241.14666,242.15393,18.395,2988199.558,3,76.7,48.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,694790.7544,,,,,,,,,721503.1281,,,,,,,,,2467389.555,2988199.558,1315623.841,936301.0219,1727213.542,449156.7491,295892.6805,797644.478,,282926.9161,,,,4.2,,,,,,,,,2.1,,,,,,,,,7.8,5.1,,,,,,,,,8,8,3.7,3.9,7.2,5.9,,2.5,,,,,
,FALSE,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid",C20 H26 O4,Not the top hit,Full match,No results,0.67,330.18333,331.19061,20.394,6689363.218,8,76.8,57.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,1120784.587,,,2352258.634,2585907.118,,2097487.914,,,2566241.737,2500091.408,,1758444.805,6689363.218,5994145.386,3688259.182,2695855.967,2749531.774,,,,,,,,,,,,,,9.1,,,10,7.8,,7.8,,,8.9,9.5,,7.5,7.8,7.8,9.5,7.8,7.8,,,,,,,,,,,,,,,,,,,,,,7.8,9.5,8.9
,FALSE,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid",C20 H26 O4,Not the top hit,Full match,No results,0.8,330.18337,331.19065,20.295,2607438.465,4,78,59.1,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,2607438.465,,,,34743.28317,,,,33219.559,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,7.1,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,FALSE,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid",C20 H26 O4,Not the top hit,Full match,No results,0.58,330.1833,331.19057,18.743,10193185.18,6,80.8,62.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,10193185.18,5117465.229,4079875.232,,,,427436.2479,,241801.087,,,,,,,,,,,,,,,,,,,,,,,8.4,7.3,8.9,,,,2.8,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
