"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
5593,"17beta-Trenbolone","C18 H22 O2",0.43,270.1621,271.16937,19.466,"kps_psychoactive_substances_v2",524805.601774734,"maun beach (before) surface water"
5593,"17beta-Trenbolone","C18 H22 O2",0.43,270.1621,271.16937,19.466,"kps_psychoactive_substances_v2",1392034.89686855,"maun beach (after) surface water"
1197,"17beta-Trenbolone","C18 H22 O2",0.29,270.16206,271.16933,17.597,"kps_psychoactive_substances_v2",2001937.26824841,"glen valley (reclamation) surface water"
1197,"17beta-Trenbolone","C18 H22 O2",0.29,270.16206,271.16933,17.597,"kps_psychoactive_substances_v2",1334198.33059972,"glen valley (recreational) surface water"
6978,"2,4,5-TRIMEO AMPHETAMINE","C12 H19 N O3",0.35,225.13657,226.14385,4.451,"kps_psychoactive_substances_v2",996547.784484857,"kasane wwtp (overflow) surface water"
2505,"2,4-Di-tert-butylphenol","C14 H22 O",0.03,206.16707,207.17435,18.368,"kps_psychoactive_substances_v2",3152671.29663703,"maun wwtp (main) waste water"
6342,"2-Acetylphenyl 4-methylbenzenesulfonate","C15 H14 O4 S",0.8,290.06151,291.06879,1.251,"kps_psychoactive_substances_v2",904085.21798893,"palapye wwtp (eff) waste water"
6342,"2-Acetylphenyl 4-methylbenzenesulfonate","C15 H14 O4 S",0.8,290.06151,291.06879,1.251,"kps_psychoactive_substances_v2",839418.25668021,"palapye wwtp surface water"
6342,"2-Acetylphenyl 4-methylbenzenesulfonate","C15 H14 O4 S",0.8,290.06151,291.06879,1.251,"kps_psychoactive_substances_v2",228621.260754574,"lotsane dam surface water"
6342,"2-Acetylphenyl 4-methylbenzenesulfonate","C15 H14 O4 S",0.8,290.06151,291.06879,1.251,"kps_psychoactive_substances_v2",1288423.84715099,"francistown wwtp surface water"
6342,"2-Acetylphenyl 4-methylbenzenesulfonate","C15 H14 O4 S",0.8,290.06151,291.06879,1.251,"kps_psychoactive_substances_v2",470175.754174301,"kasane (recreational) surface water"
34,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one","C12 H15 N O3",0.36,221.10527,222.11255,12.001,"kps_psychoactive_substances_v2",3957362.42723324,"palapye wwtp (eff) waste water"
34,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one","C12 H15 N O3",0.36,221.10527,222.11255,12.001,"kps_psychoactive_substances_v2",3045252.72749365,"palapye wwtp surface water"
34,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one","C12 H15 N O3",0.36,221.10527,222.11255,12.001,"kps_psychoactive_substances_v2",2326864.40585074,"kasane wwtp (main) surface water"
34,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one","C12 H15 N O3",0.36,221.10527,222.11255,12.001,"kps_psychoactive_substances_v2",1697475.37572127,"kasane wwtp (overflow) surface water"
34,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one","C12 H15 N O3",0.36,221.10527,222.11255,12.001,"kps_psychoactive_substances_v2",92267252.1800245,"maun wwtp (main) waste water"
34,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one","C12 H15 N O3",0.36,221.10527,222.11255,12.001,"kps_psychoactive_substances_v2",4874513.02063941,"glen valley (reclamation) surface water"
34,"2-Ethylamino-1-(3,4-methylenedioxyphenyl)propan-1-one","C12 H15 N O3",0.36,221.10527,222.11255,12.001,"kps_psychoactive_substances_v2",37332418.1172929,"glen valley (recreational) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",6497560.60000349,"palapye wwtp (eff) waste water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",22542380.9931539,"francistown wwtp surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",24379562.9495139,"kasane wwtp (main) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",146378034.070024,"kasane wwtp (overflow) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",16670120.6475039,"kasane (main) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",10246901.0824582,"kasane (recreational) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",85969310.2795385,"maun beach (before) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",11518554.0396183,"maun beach (after) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",24909068.6083035,"maun wwtp (main) waste water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",4249213.73125281,"glen valley (reclamation) surface water"
19,"2-Ethylmethcathinone","C12 H17 N O",0.2,191.13105,192.13833,14.641,"kps_psychoactive_substances_v2",13774538.0994998,"glen valley (recreational) surface water"
2059,"2C-G","C12 H19 N O2",-0.05,209.14157,210.14884,6.329,"kps_psychoactive_substances_v2",904257.919046954,"lecheng spring surface water"
2059,"2C-G","C12 H19 N O2",-0.05,209.14157,210.14884,6.329,"kps_psychoactive_substances_v2",4204520.81637482,"kasane wwtp (overflow) surface water"
2059,"2C-G","C12 H19 N O2",-0.05,209.14157,210.14884,6.329,"kps_psychoactive_substances_v2",2828509.21967062,"maun beach (after) surface water"
2059,"2C-G","C12 H19 N O2",-0.05,209.14157,210.14884,6.329,"kps_psychoactive_substances_v2",2320231.14336198,"maun wwtp (main) waste water"
1283,"2C-P","C13 H21 N O2",0.41,223.15732,224.1646,6.715,"kps_psychoactive_substances_v2",924953.696907112,"lecheng spring surface water"
2328,"2C-P","C13 H21 N O2",0.44,223.15733,224.1646,5.458,"kps_psychoactive_substances_v2",1638480.45500664,"palapye wwtp (eff) waste water"
2328,"2C-P","C13 H21 N O2",0.44,223.15733,224.1646,5.458,"kps_psychoactive_substances_v2",2131125.84372434,"palapye wwtp surface water"
1283,"2C-P","C13 H21 N O2",0.41,223.15732,224.1646,6.715,"kps_psychoactive_substances_v2",6611382.56216773,"kasane wwtp (overflow) surface water"
1283,"2C-P","C13 H21 N O2",0.41,223.15732,224.1646,6.715,"kps_psychoactive_substances_v2",1456695.88375772,"maun beach (after) surface water"
1283,"2C-P","C13 H21 N O2",0.41,223.15732,224.1646,6.715,"kps_psychoactive_substances_v2",1724059.54490512,"maun wwtp (main) waste water"
2328,"2C-P","C13 H21 N O2",0.44,223.15733,224.1646,5.458,"kps_psychoactive_substances_v2",1355369.53085122,"glen valley (reclamation) surface water"
2630,"3-Benzoylindole","C15 H11 N O",0.37,221.08415,222.09142,15.802,"kps_psychoactive_substances_v2",3403003.10731976,"francistown wwtp surface water"
5076,"3-[2-(Diethylamino)ethyl]-1H-indol-4-yl acetate","C16 H22 N2 O2",0.32,274.16822,275.17549,13.578,"kps_psychoactive_substances_v2",599129.257889944,"palapye wwtp (eff) waste water"
5076,"3-[2-(Diethylamino)ethyl]-1H-indol-4-yl acetate","C16 H22 N2 O2",0.32,274.16822,275.17549,13.578,"kps_psychoactive_substances_v2",1200571.21841255,"palapye wwtp surface water"
5076,"3-[2-(Diethylamino)ethyl]-1H-indol-4-yl acetate","C16 H22 N2 O2",0.32,274.16822,275.17549,13.578,"kps_psychoactive_substances_v2",1796153.52634018,"francistown wwtp surface water"
7489,"3-{2-[Di(propan-2-yl)amino]ethyl}-1H-indol-4-ol","C16 H24 N2 O",0.42,260.18897,261.19625,9.317,"kps_psychoactive_substances_v2",813159.466663567,"francistown wwtp surface water"
7489,"3-{2-[Di(propan-2-yl)amino]ethyl}-1H-indol-4-ol","C16 H24 N2 O",0.42,260.18897,261.19625,9.317,"kps_psychoactive_substances_v2",861999.583321026,"kasane (main) surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",6150060.93663603,"lecheng spring surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",26615679.7589015,"palapye wwtp (eff) waste water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",29660433.0589186,"palapye wwtp surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",5356078.19438059,"francistown wwtp surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",1932642.05871764,"kasane wwtp (main) surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",540992.467093695,"kasane wwtp (overflow) surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",711714.874825655,"maun beach (after) surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",14626583.7082123,"maun wwtp (main) waste water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",2569210.49688901,"glen valley (reclamation) surface water"
205,"3alpha-Androstanediol","C19 H32 O2",0.29,292.24031,315.22951,22.16,"kps_psychoactive_substances_v2",1700117.01582617,"glen valley (recreational) surface water"
5110,"4,17beta-Dihydroxy-4-androstene-3-one","C19 H28 O3",0.57,304.20402,305.2113,16.925,"kps_psychoactive_substances_v2",1060474.27062999,"francistown wwtp surface water"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",1361470.35489126,"lecheng spring surface water"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",532546.9350283,"palapye wwtp (eff) waste water"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",211392.85860157,"lotsane dam surface water"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",2202277.60931317,"francistown wwtp surface water"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",621296.084410828,"kasane wwtp (main) surface water"
1121,"4-Androstenediol","C19 H30 O2",0.54,290.22474,291.23201,17.365,"kps_psychoactive_substances_v2",7387672.6086153,"maun beach (after) surface water"
1531,"4-Androstenediol","C19 H30 O2",0.61,290.22476,291.23203,19.892,"kps_psychoactive_substances_v2",4102255.97689742,"maun wwtp (main) waste water"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",282801.310341615,"glen valley (reclamation) surface water"
2750,"4-Androstenediol","C19 H30 O2",0.5,290.22473,291.23202,21.565,"kps_psychoactive_substances_v2",370422.832371816,"glen valley (recreational) surface water"
7354,"4-HO-MET","C13 H18 N2 O",0.37,218.14199,219.14927,6.658,"kps_psychoactive_substances_v2",927026.714427269,"maun wwtp (main) waste water"
8792,"4-HO-MiPT","C14 H20 N2 O",0.44,232.15766,233.16494,17.832,"kps_psychoactive_substances_v2",487462.886192978,"glen valley (reclamation) surface water"
8792,"4-HO-MiPT","C14 H20 N2 O",0.44,232.15766,233.16494,17.832,"kps_psychoactive_substances_v2",526347.431974468,"glen valley (recreational) surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",558173.310558136,"lecheng stream surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",755706.462638047,"lecheng spring surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1132780.41347204,"palapye wwtp (eff) waste water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1448492.92849077,"palapye wwtp surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1313471.31317785,"lotsane dam surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1757007.41591212,"francistown wwtp surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1022615.19031533,"kasane wwtp (overflow) surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1816134.49681421,"kasane (main) surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1800305.53262215,"kasane (recreational) surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",584124.607803941,"maun beach (before) surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",2098731.63467131,"maun beach (after) surface water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",2133120.87885881,"maun wwtp (main) waste water"
2785,"4-Methoxyamphetamine","C10 H15 N O",0.68,165.11548,166.12266,4.618,"kps_psychoactive_substances_v2",1942061.72601488,"glen valley (reclamation) surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",2308853.74882189,"lecheng stream surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",796064.012423954,"lecheng spring surface water"
2879,"5F-PB-22","C23 H21 F N2 O2",-1.05,376.15831,377.16559,5.494,"kps_psychoactive_substances_v2",1748367.59304722,"palapye wwtp (eff) waste water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",691657.956465961,"palapye wwtp surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",982266.389970536,"lotsane dam surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",919742.388005056,"francistown wwtp surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",935103.116471791,"kasane wwtp (main) surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",1709399.65576761,"kasane (main) surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",1258356.38675626,"kasane (recreational) surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",1089769.02563028,"maun beach (before) surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",1122575.15729727,"maun beach (after) surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",1376154.46844479,"maun wwtp (main) waste water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",1341557.34223233,"glen valley (reclamation) surface water"
1463,"5F-PB-22","C23 H21 F N2 O2",2.39,376.15961,377.16683,21.424,"kps_psychoactive_substances_v2",6142055.99021141,"glen valley (recreational) surface water"
1375,"8-Hydroxy-delta(9)-tetrahydrocannabinol (OH-THC)","C21 H30 O3",-0.18,330.21943,331.22667,19.316,"kps_psychoactive_substances_v2",2342162.49671221,"palapye wwtp (eff) waste water"
1375,"8-Hydroxy-delta(9)-tetrahydrocannabinol (OH-THC)","C21 H30 O3",-0.18,330.21943,331.22667,19.316,"kps_psychoactive_substances_v2",6424248.76267738,"palapye wwtp surface water"
1375,"8-Hydroxy-delta(9)-tetrahydrocannabinol (OH-THC)","C21 H30 O3",-0.18,330.21943,331.22667,19.316,"kps_psychoactive_substances_v2",642115.21221324,"kasane wwtp (main) surface water"
2813,"8-Hydroxy-delta(9)-tetrahydrocannabinol (OH-THC)","C21 H30 O3",0.11,330.21953,331.22681,17.469,"kps_psychoactive_substances_v2",3415388.12236597,"maun beach (after) surface water"
4368,"AH 7921","C16 H22 Cl2 N2 O",-4.5,328.10944,329.11672,5.638,"kps_psychoactive_substances_v2",2162689.21034097,"francistown wwtp surface water"
1100,"AM-1235","C24 H21 F N2 O3",2.39,404.15459,405.16186,19.367,"kps_psychoactive_substances_v2",1710584.66592261,"lecheng stream surface water"
2207,"AM-1235","C24 H21 F N2 O3",2.14,404.15449,405.16176,20.023,"kps_psychoactive_substances_v2",220162.910427005,"lecheng spring surface water"
1100,"AM-1235","C24 H21 F N2 O3",2.39,404.15459,405.16186,19.367,"kps_psychoactive_substances_v2",1310154.03700919,"kasane wwtp (main) surface water"
1100,"AM-1235","C24 H21 F N2 O3",2.39,404.15459,405.16186,19.367,"kps_psychoactive_substances_v2",2843110.45814231,"kasane (main) surface water"
1100,"AM-1235","C24 H21 F N2 O3",2.39,404.15459,405.16186,19.367,"kps_psychoactive_substances_v2",1272529.24264055,"kasane (recreational) surface water"
1100,"AM-1235","C24 H21 F N2 O3",2.39,404.15459,405.16186,19.367,"kps_psychoactive_substances_v2",1117172.94643866,"maun beach (after) surface water"
501,"AM-1235","C24 H21 F N2 O3",2.39,404.15459,405.16186,18.842,"kps_psychoactive_substances_v2",4420096.09388682,"maun wwtp (main) waste water"
1100,"AM-1235","C24 H21 F N2 O3",2.39,404.15459,405.16186,19.367,"kps_psychoactive_substances_v2",7952787.00754146,"glen valley (recreational) surface water"
5785,"AM-2201","C24 H22 F N O",-0.83,359.16824,360.17552,11.341,"kps_psychoactive_substances_v2",1451325.29531361,"palapye wwtp (eff) waste water"
8909,"APP-FUBINACA","C24 H21 F N4 O2",2.63,416.16595,417.17323,10.741,"kps_psychoactive_substances_v2",361818.677818121,"kasane (main) surface water"
1550,"Acetylfentanyl","C21 H26 N2 O",3.15,322.20553,323.2129,5.546,"kps_psychoactive_substances_v2",5934035.36803854,"glen valley (recreational) surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",1872547.09793191,"lecheng stream surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",995448.472397642,"lecheng spring surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",6016882.27739465,"palapye wwtp (eff) waste water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",5992379.86781826,"palapye wwtp surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",3879995.90357437,"lotsane dam surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",5074970.28278796,"francistown wwtp surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",2859393.89015648,"kasane wwtp (main) surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",2053080.49073963,"kasane wwtp (overflow) surface water"
2960,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.29,275.18861,276.19589,19.435,"kps_psychoactive_substances_v2",191304.68620263,"kasane (main) surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",3543752.15966419,"kasane (recreational) surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",1371271.41760394,"maun beach (before) surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",3854269.54396873,"maun beach (after) surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",2513124.42845331,"maun wwtp (main) waste water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",3268974.98853369,"glen valley (reclamation) surface water"
1519,"Alphameprodine [INN:BAN:DCF]","C17 H25 N O2",0.19,275.18858,276.19586,15.99,"kps_psychoactive_substances_v2",3497887.88593627,"glen valley (recreational) surface water"
183,"Alphaprodine","C16 H23 N O2",0.31,261.17296,262.18023,8.813,"kps_psychoactive_substances_v2",24888242.8575428,"palapye wwtp (eff) waste water"
183,"Alphaprodine","C16 H23 N O2",0.31,261.17296,262.18023,8.813,"kps_psychoactive_substances_v2",32651434.2880058,"palapye wwtp surface water"
8565,"Alphaprodine","C16 H23 N O2",0.4,261.17298,262.18026,7.611,"kps_psychoactive_substances_v2",595901.514602913,"lotsane dam surface water"
183,"Alphaprodine","C16 H23 N O2",0.31,261.17296,262.18023,8.813,"kps_psychoactive_substances_v2",5357143.55627921,"francistown wwtp surface water"
6573,"Alphaprodine","C16 H23 N O2",0.49,261.17301,262.18028,9.351,"kps_psychoactive_substances_v2",1209923.628389,"kasane wwtp (main) surface water"
183,"Alphaprodine","C16 H23 N O2",0.31,261.17296,262.18023,8.813,"kps_psychoactive_substances_v2",3369332.65721557,"glen valley (reclamation) surface water"
5491,"Alphaxalone","C21 H32 O3",0.16,332.2352,333.24247,17.368,"kps_psychoactive_substances_v2",1230930.1903485,"maun beach (after) surface water"
3085,"Amphetamine","C9 H13 N",0.62,135.10488,136.11216,3.454,"kps_psychoactive_substances_v2",3095748.50344779,"kasane (main) surface water"
9374,"Amphetamine","C9 H13 N",0.77,135.1049,136.11218,9.089,"kps_psychoactive_substances_v2",328441.779366686,"maun wwtp (main) waste water"
3131,"Androsta-1,4-diene-3,17-dione","C19 H24 O2",0.35,284.17773,285.18504,14.974,"kps_psychoactive_substances_v2",1797207.36651786,"palapye wwtp (eff) waste water"
3131,"Androsta-1,4-diene-3,17-dione","C19 H24 O2",0.35,284.17773,285.18504,14.974,"kps_psychoactive_substances_v2",3055615.15725616,"palapye wwtp surface water"
995,"Anileridine","C22 H28 N2 O2",2.66,352.21601,353.22329,2.184,"kps_psychoactive_substances_v2",471339.790126435,"francistown wwtp surface water"
2193,"Anileridine","C22 H28 N2 O2",0,352.21508,353.22237,15.558,"kps_psychoactive_substances_v2",2027025.8072806,"kasane (recreational) surface water"
2193,"Anileridine","C22 H28 N2 O2",0,352.21508,353.22237,15.558,"kps_psychoactive_substances_v2",2855348.85069094,"glen valley (reclamation) surface water"
2193,"Anileridine","C22 H28 N2 O2",0,352.21508,353.22237,15.558,"kps_psychoactive_substances_v2",3848429.00366573,"glen valley (recreational) surface water"
5647,"Anthranilic acid","C7 H7 N O2",0.7,137.04777,138.05505,7.319,"kps_psychoactive_substances_v2",1539927.68125736,"francistown wwtp surface water"
